,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Todd Gurley,ATL,19.6,17.0,18.3,94.4,80.0,89.6,1.0,0.8,0.9,5.0,3.7,4.1,46.5,36.6,41.5,0.4,0.0,0.2,0.0,0.2,0.1,22.5,18.0,19.9,13,RB
1,Christian McCaffrey,CAR,16.0,13.7,14.7,77.9,62.1,67.8,1.0,0.5,0.7,7.0,5.3,6.3,65.8,50.4,56.1,0.4,0.0,0.3,0.0,0.2,0.1,18.9,17.2,17.9,13,RB
2,Ezekiel Elliott,DAL,26.0,15.5,20.3,105.0,68.0,88.9,1.0,0.5,0.7,5.2,3.8,4.4,48.0,30.0,36.5,0.2,0.0,0.2,0.1,0.2,0.1,19.5,15.6,17.3,13,RB
3,Saquon Barkley,NYG,18.0,15.3,16.1,75.5,61.6,66.0,1.0,0.4,0.7,6.4,5.9,6.2,50.2,47.7,49.3,0.4,0.0,0.2,0.1,0.2,0.2,18.6,15.0,16.6,13,RB
4,James Conner,PIT,19.6,16.4,17.4,85.0,67.7,74.2,1.0,0.7,0.8,6.0,3.7,4.4,38.5,29.0,35.0,0.2,0.0,0.1,0.1,0.3,0.2,16.9,14.9,16.0,13,RB
5,Alvin Kamara,NO,14.0,11.9,13.0,65.0,52.0,58.4,1.0,0.5,0.7,5.8,4.2,5.2,52.3,37.3,46.0,0.4,0.0,0.2,0.0,0.1,0.1,17.0,14.1,15.9,13,RB
6,Aaron Jones,GB,17.8,13.6,16.3,84.0,69.9,79.0,1.0,0.6,0.8,3.2,2.3,2.9,27.3,16.0,23.3,0.2,0.0,0.1,0.0,0.1,0.1,16.9,14.3,15.6,13,RB
7,Nick Chubb,CLE,21.3,17.3,18.4,92.0,73.0,81.4,1.0,0.4,0.7,2.3,0.9,1.6,20.7,7.8,13.9,0.1,0.0,0.1,0.1,0.1,0.1,15.6,11.6,14.1,13,RB
8,Spencer Ware,CHI,19.0,13.7,15.1,85.0,60.6,69.1,1.0,0.4,0.6,3.0,2.2,2.5,35.1,20.9,27.0,0.2,0.0,0.1,0.1,0.2,0.1,17.0,12.8,13.9,13,RB
9,David Johnson,HOU,18.0,15.1,16.9,75.0,56.5,64.9,1.0,0.3,0.6,5.0,3.5,4.0,39.4,32.2,35.3,0.2,0.0,0.1,0.1,0.3,0.2,17.0,12.1,13.7,13,RB
10,Phillip Lindsay,DEN,19.0,12.6,14.8,85.0,65.3,72.8,1.0,0.4,0.6,3.2,2.4,2.8,25.0,17.1,21.7,0.1,0.0,0.1,0.0,0.1,0.0,17.0,12.1,13.4,13,RB
11,Joe Mixon,CIN,18.0,13.5,16.1,72.3,60.5,68.8,1.0,0.4,0.6,3.8,2.7,3.1,33.3,20.5,26.5,0.1,0.0,0.1,0.0,0.1,0.1,15.5,12.5,13.4,13,RB
12,Austin Ekeler,LAC,14.9,11.0,12.6,67.0,50.0,57.9,1.0,0.3,0.5,5.0,2.9,3.8,40.0,33.0,36.2,0.2,0.0,0.2,0.1,0.2,0.1,15.0,12.3,13.1,13,RB
13,Matt Breida,MIA,15.1,13.5,14.4,74.4,59.1,68.4,1.0,0.3,0.5,4.0,1.7,2.6,25.0,14.0,20.3,0.2,0.0,0.1,0.1,0.1,0.1,15.5,10.7,12.1,13,RB
14,Chris Carson,SEA,16.3,15.1,15.7,70.0,60.3,65.7,1.0,0.4,0.6,2.5,1.0,1.5,21.3,10.0,12.9,0.1,0.0,0.1,0.1,0.2,0.1,14.0,10.5,11.7,13,RB
15,Lamar Miller,WAS,18.0,14.1,15.5,79.6,55.1,65.9,1.0,0.3,0.5,2.6,1.9,2.2,20.8,14.2,16.8,0.1,0.0,0.1,0.1,0.2,0.1,13.5,9.9,11.5,13,RB
16,Gus Edwards,BAL,20.0,12.2,16.5,84.5,65.9,75.9,1.0,0.2,0.5,1.4,0.2,0.9,11.0,1.5,7.9,0.0,0.0,0.0,0.0,0.1,0.0,15.0,9.1,11.5,13,RB
17,Adrian Peterson,DET,17.7,13.2,15.3,83.0,57.0,65.9,1.0,0.4,0.6,2.0,1.0,1.5,17.9,10.0,13.5,0.1,0.0,0.0,0.0,0.3,0.1,13.3,9.1,11.2,13,RB
18,Mark Ingram,BAL,13.0,10.9,11.9,55.6,47.0,51.2,0.5,0.0,0.4,4.0,2.2,2.9,35.0,17.0,23.6,1.0,0.1,0.3,0.1,0.3,0.2,14.5,9.1,11.0,13,RB
19,Josh Adams,NYJ,19.0,12.6,14.8,75.0,56.6,63.9,1.0,0.4,0.6,1.9,0.0,1.2,14.3,0.0,9.3,0.1,0.0,0.0,0.1,0.3,0.2,13.5,9.8,10.7,13,RB
20,Dalvin Cook,MIN,13.0,11.7,12.2,55.0,40.5,48.9,1.0,0.2,0.4,4.0,3.0,3.5,30.8,25.0,27.5,0.2,0.0,0.1,0.1,0.3,0.2,14.0,9.4,10.5,13,RB
21,Marlon Mack,IND,18.0,11.2,14.2,80.0,52.6,62.9,0.5,0.0,0.4,2.7,1.0,1.9,23.1,10.0,15.8,0.1,0.0,0.1,0.0,0.1,0.1,11.6,9.0,10.4,13,RB
22,Sony Michel,NE,17.2,15.1,16.2,72.9,58.6,65.5,0.7,0.0,0.5,1.4,0.0,0.9,10.5,0.0,7.1,0.1,0.0,0.0,0.0,0.2,0.1,12.7,6.5,10.1,13,RB
23,Tarik Cohen,CHI,7.3,5.7,6.1,33.0,23.9,27.2,0.3,0.0,0.2,6.0,3.8,4.5,50.0,34.0,40.5,1.0,0.2,0.4,0.0,0.2,0.1,13.5,8.5,9.9,13,RB
24,James White,NE,8.0,3.9,4.9,30.0,13.2,19.0,1.0,0.1,0.4,6.0,4.6,5.1,44.8,40.0,41.3,0.4,0.0,0.3,0.1,0.3,0.2,13.0,8.3,9.7,13,RB
25,TJ Yeldon,BUF,11.0,5.7,7.5,44.6,23.1,30.3,0.3,0.0,0.2,6.0,3.5,4.5,45.0,35.0,37.5,1.0,0.1,0.3,0.1,0.1,0.1,13.0,7.0,9.6,13,RB
26,Peyton Barber,WAS,15.0,12.5,13.6,60.0,46.2,53.6,1.0,0.3,0.5,1.8,0.8,1.3,15.4,6.8,10.6,0.1,0.0,0.0,0.0,0.1,0.1,13.0,7.1,9.3,13,RB
27,Dion Lewis,NYG,13.6,10.3,11.9,56.1,35.3,46.4,0.4,0.0,0.3,4.0,3.0,3.6,32.0,23.5,27.1,0.2,0.0,0.1,0.1,0.2,0.1,11.0,8.0,9.2,13,RB
28,Tevin Coleman,SF,12.7,9.0,11.4,48.8,39.9,43.7,0.3,0.0,0.2,3.4,2.0,2.6,30.7,20.0,24.7,0.3,0.0,0.2,0.0,0.1,0.1,10.5,6.0,9.2,13,RB
29,LeSean McCoy,TB,15.2,12.4,13.9,59.1,46.8,53.1,0.3,0.0,0.2,3.0,2.5,2.8,25.7,17.7,22.6,0.1,0.0,0.0,0.0,0.1,0.1,9.8,7.9,8.9,13,RB
30,Carlos Hyde,SEA,16.0,11.9,14.4,65.0,47.0,55.4,0.5,0.0,0.4,2.0,1.2,1.6,20.0,6.7,12.1,0.1,0.0,0.0,0.1,0.3,0.2,10.2,8.0,8.9,13,RB
31,Jordan Howard,PHI,15.8,13.0,14.2,62.7,50.0,56.5,0.6,0.0,0.4,1.4,0.7,1.1,11.9,5.6,8.8,0.1,0.0,0.0,0.0,0.1,0.1,10.5,6.0,8.8,13,RB
32,Kenyan Drake,ARI,10.0,7.7,8.5,40.0,29.2,34.3,0.4,0.0,0.2,4.4,3.0,3.7,32.6,25.0,27.7,0.4,0.0,0.2,0.1,0.2,0.1,9.4,6.5,8.5,13,RB
33,Frank Gore,NYJ,16.0,12.3,13.8,60.0,51.0,54.7,0.4,0.0,0.2,1.5,1.0,1.2,11.7,9.0,10.0,0.1,0.0,0.0,0.0,0.1,0.1,8.7,7.0,8.0,13,RB
34,Derrick Henry,TEN,12.7,9.0,10.7,52.3,30.0,42.0,1.0,0.3,0.5,1.0,0.8,0.9,9.0,4.3,6.8,0.1,0.0,0.0,0.0,0.1,0.1,9.5,6.2,7.9,13,RB
35,Theo Riddick,LV,5.0,2.8,4.0,20.0,11.2,16.5,0.1,0.0,0.1,6.0,4.9,5.5,46.7,36.8,42.6,0.2,0.0,0.1,0.1,0.1,0.1,8.4,6.5,7.0,13,RB
36,Jalen Richard,LV,6.0,2.6,4.1,26.7,7.6,17.2,0.2,0.0,0.1,5.5,3.4,4.5,47.0,31.9,37.9,0.2,0.0,0.1,0.0,0.1,0.1,7.5,5.5,6.6,13,RB
37,Duke Johnson,HOU,5.5,2.6,3.7,21.8,10.5,14.0,0.2,0.0,0.1,4.4,3.8,4.1,41.0,30.0,36.9,0.2,0.0,0.1,0.1,0.2,0.1,8.7,4.5,6.1,13,RB
38,Elijah McGuire,KC,8.7,6.3,7.6,30.5,28.2,29.4,0.2,0.0,0.1,3.0,2.0,2.5,29.6,15.0,23.0,0.1,0.0,0.1,0.1,0.2,0.1,7.1,4.5,6.0,13,RB
39,Royce Freeman,DEN,9.8,8.0,8.7,48.1,30.0,37.5,0.4,0.0,0.3,1.1,0.8,0.9,8.6,5.0,6.8,0.0,0.0,0.0,0.0,0.1,0.0,8.0,3.5,5.9,13,RB
40,Nyheim Hines,IND,6.8,5.6,6.1,30.2,22.4,25.2,0.1,0.0,0.1,4.0,2.3,2.9,35.0,16.5,22.6,0.1,0.0,0.1,0.0,0.1,0.1,6.3,5.1,5.6,13,RB
41,Justin Jackson,LAC,9.5,4.7,7.0,40.5,18.0,29.4,0.4,0.1,0.2,1.5,1.4,1.4,14.0,9.0,12.3,0.1,0.0,0.1,0.0,0.1,0.1,8.5,4.2,5.6,13,RB
42,Chris Thompson,JAC,4.9,2.0,3.5,21.6,10.0,15.9,0.1,0.0,0.1,4.5,1.0,3.4,35.7,10.0,28.7,0.2,0.0,0.1,0.0,0.1,0.1,7.2,2.0,5.5,13,RB
43,Ito Smith,ATL,7.7,5.0,6.7,30.0,20.0,25.1,0.3,0.0,0.2,2.4,1.0,1.7,17.5,8.0,12.5,0.1,0.0,0.0,0.1,0.1,0.1,6.3,3.0,4.9,13,RB
44,Latavius Murray,NO,10.5,5.1,7.3,36.2,21.3,28.1,0.4,0.0,0.2,1.5,0.0,1.0,11.0,0.0,7.3,0.1,0.0,0.0,0.0,0.1,0.0,7.0,2.5,4.6,13,RB
45,Ty Montgomery,NO,5.4,1.0,3.6,23.9,5.0,16.1,0.2,0.0,0.1,3.6,1.9,2.4,32.2,14.5,19.8,0.1,0.0,0.1,0.0,0.2,0.1,5.7,2.9,4.3,13,RB
46,Giovani Bernard,CIN,5.7,2.8,4.0,23.2,10.0,16.3,0.2,0.0,0.1,2.9,1.7,2.2,20.7,14.3,18.4,0.1,0.0,0.0,0.0,0.2,0.1,5.0,3.0,4.2,13,RB
47,Damien Williams,KC,7.0,3.2,5.4,30.0,14.5,22.4,0.3,0.0,0.1,1.8,0.5,1.1,14.7,4.3,8.9,0.1,0.0,0.1,0.0,0.1,0.1,6.1,2.5,4.1,13,RB
