,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Robby Anderson,Julio Jones,Dante Pettis,Eric Ebron,Elijah McGuire,Philadelphia Eagles,153.82400000000004,49900
1,Ben Roethlisberger,Ezekiel Elliott,Tevin Coleman,Robby Anderson,Julio Jones,Dante Pettis,David Njoku,Eric Ebron,New England Patriots,152.15200000000002,50000
2,Matt Ryan,Tevin Coleman,Elijah McGuire,Robby Anderson,Julio Jones,Dante Pettis,George Kittle,Saquon Barkley,New England Patriots,151.814,49500
3,Ben Roethlisberger,Ezekiel Elliott,Tevin Coleman,Robby Anderson,Julio Jones,Dante Pettis,David Njoku,George Kittle,Philadelphia Eagles,151.52200000000002,49900
4,Matt Ryan,Elijah McGuire,Saquon Barkley,Julio Jones,Dante Pettis,Antonio Brown,David Njoku,Austin Hooper,New England Patriots,151.124,50000
5,Ben Roethlisberger,Tevin Coleman,Elijah McGuire,Robby Anderson,Julio Jones,Dante Pettis,George Kittle,Saquon Barkley,Philadelphia Eagles,150.86200000000002,49700
6,Ben Roethlisberger,Ezekiel Elliott,Elijah McGuire,Robby Anderson,Dante Pettis,Antonio Brown,David Njoku,George Kittle,New England Patriots,150.502,49800
7,Matt Ryan,Saquon Barkley,Christian McCaffrey,Robby Anderson,Julio Jones,Dante Pettis,David Njoku,Austin Hooper,Philadelphia Eagles,150.354,49900
8,Ben Roethlisberger,Ezekiel Elliott,Elijah McGuire,Robby Anderson,Dante Pettis,Antonio Brown,Austin Hooper,George Kittle,New England Patriots,150.192,49700
9,Matt Ryan,Ezekiel Elliott,Elijah McGuire,Robby Anderson,Dante Pettis,DeAndre Hopkins,David Njoku,George Kittle,New England Patriots,149.974,49500
