"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","6.1","99.6","0.7","1.0","6.3","0.0","0.0","15.0"
"Davante Adams","GB","7.0","99.5","0.8","0.0","0.0","0.0","0.0","14.6"
"Julio Jones","ATL","7.5","110.6","0.6","0.1","0.5","0.0","0.1","14.6"
"DeAndre Hopkins","HOU","7.1","99.7","0.7","0.1","0.4","0.0","0.1","14.2"
"Antonio Brown","PIT","7.1","96.5","0.7","0.0","0.0","0.0","0.0","13.7"
"JuJu Smith-Schuster","PIT","6.6","91.2","0.6","0.0","0.2","0.0","0.0","12.7"
"Michael Thomas","NO","7.0","82.5","0.7","0.0","0.0","0.0","0.1","12.3"
"T.Y. Hilton","IND","5.7","84.5","0.6","0.0","0.0","0.0","0.0","12.1"
"Amari Cooper","DAL","5.6","78.5","0.6","0.1","0.8","0.0","0.1","11.7"
"Robert Woods","LAR","6.0","79.0","0.6","0.7","4.9","0.0","0.0","11.6"
"Mike Evans","TB","5.5","85.4","0.5","0.0","0.0","0.0","0.1","11.4"
"Brandin Cooks","LAR","5.5","77.3","0.5","0.5","2.6","0.0","0.0","11.3"
"Stefon Diggs","MIN","6.0","73.0","0.6","0.7","3.2","0.0","0.0","11.0"
"Adam Thielen","MIN","6.8","84.3","0.4","0.1","1.0","0.0","0.1","10.7"
"Julian Edelman","NE","6.1","67.0","0.5","0.5","3.9","0.0","0.1","10.2"
"Odell Beckham Jr.","NYG","5.0","69.5","0.5","0.3","1.5","0.0","0.1","10.0"
"Kenny Golladay","DET","4.6","68.9","0.5","0.0","0.2","0.0","0.0","10.0"
"Alshon Jeffery","PHI","4.8","65.0","0.5","0.0","0.0","0.0","0.0","9.7"
"Tyler Lockett","SEA","3.9","59.3","0.5","0.6","4.6","0.0","0.0","9.6"
"Robby Anderson","NYJ","3.8","59.6","0.6","0.1","0.4","0.0","0.0","9.2"
"Keenan Allen","LAC","5.3","62.4","0.5","0.5","2.7","0.0","0.1","9.2"
"D.J. Moore","CAR","4.7","56.9","0.4","0.9","7.8","0.0","0.1","9.0"
"Doug Baldwin","SEA","4.3","53.4","0.6","0.2","0.8","0.0","0.0","9.0"
"Corey Davis","TEN","4.0","55.0","0.5","0.2","1.8","0.0","0.0","8.8"
"Allen Robinson","CHI","4.1","58.2","0.5","0.0","0.0","0.0","0.0","8.7"
"Jarvis Landry","CLE","5.0","63.1","0.3","0.2","1.7","0.0","0.0","8.4"
"Tyler Boyd","CIN","5.8","68.8","0.3","0.1","0.7","0.0","0.1","8.4"
"Dante Pettis","SF","3.9","54.3","0.5","0.1","0.0","0.0","0.0","8.3"
"Mike Williams","LAC","3.1","46.5","0.6","0.3","1.6","0.0","0.0","8.2"
"Dede Westbrook","JAC","4.0","52.5","0.4","0.4","3.0","0.0","0.0","7.9"
"Robert Foster","BUF","3.2","56.3","0.4","0.0","0.0","0.0","0.0","7.8"
"DaeSean Hamilton","DEN","4.2","51.5","0.4","0.0","0.1","0.0","0.0","7.8"
"Mohamed Sanu","ATL","4.2","51.5","0.4","0.3","1.4","0.0","0.0","7.7"
"Kenny Stills","MIA","3.1","51.4","0.3","0.0","0.0","0.0","0.0","7.1"
"Calvin Ridley","ATL","3.8","49.9","0.3","0.4","1.7","0.0","0.0","6.9"
"Larry Fitzgerald","ARI","4.7","53.9","0.3","0.0","0.0","0.0","0.0","6.9"
"Courtland Sutton","DEN","3.0","51.9","0.2","0.1","0.3","0.0","0.0","6.7"
"Chris Godwin","TB","3.9","53.5","0.2","0.0","0.0","0.0","0.0","6.6"
"Curtis Samuel","CAR","3.3","45.8","0.2","0.8","6.5","0.0","0.1","6.6"
"Golden Tate","PHI","3.6","41.1","0.4","0.2","1.2","0.0","0.0","6.5"
"Tim Patrick","DEN","3.5","50.2","0.2","0.2","1.3","0.0","0.0","6.5"
"Adam Humphries","TB","4.9","54.3","0.2","0.1","0.5","0.0","0.0","6.5"
"Jordy Nelson","OAK","3.9","50.2","0.2","0.1","0.4","0.0","0.0","6.3"
"Josh Reynolds","LAR","3.3","45.2","0.3","0.1","0.6","0.0","0.0","6.2"
"Tyrell Williams","LAC","2.9","47.2","0.2","0.1","0.5","0.0","0.0","6.1"
"Sterling Shepard","NYG","4.0","48.0","0.2","0.0","0.5","0.0","0.0","6.1"
"Demaryius Thomas","HOU","3.6","47.3","0.2","0.0","0.0","0.0","0.0","6.0"
"Taylor Gabriel","CHI","3.8","43.7","0.2","0.6","3.3","0.0","0.0","5.8"
"Jamison Crowder","WAS","3.7","46.0","0.1","0.4","2.3","0.0","0.0","5.6"
"John Ross","CIN","2.9","37.8","0.3","0.3","2.0","0.0","0.0","5.5"
"Randall Cobb","GB","4.0","42.9","0.2","0.2","0.7","0.0","0.1","5.4"
"Zay Jones","BUF","3.1","39.7","0.2","0.0","-0.1","0.0","0.0","5.3"
"Antonio Callaway","CLE","2.8","38.2","0.2","0.1","0.9","0.0","0.0","5.1"
"Donte Moncrief","JAC","2.9","41.7","0.2","0.0","0.0","0.0","0.0","5.1"
"Danny Amendola","MIA","4.0","40.6","0.2","0.0","0.1","0.0","0.0","5.0"
"Isaiah McKenzie","BUF","2.6","31.2","0.1","2.2","11.4","0.1","0.1","5.0"
"Chris Conley","KC","3.0","36.4","0.2","0.0","0.0","0.0","0.0","4.8"
"Josh Doctson","WAS","3.1","41.3","0.1","0.0","-0.1","0.0","0.0","4.7"
"Taywan Taylor","TEN","2.8","39.8","0.1","0.0","0.2","0.0","0.0","4.7"
"Michael Gallup","DAL","2.4","37.1","0.2","0.0","0.1","0.0","0.0","4.7"
"Seth Roberts","OAK","3.0","35.8","0.2","0.1","0.6","0.0","0.0","4.6"
"David Moore","SEA","1.7","30.7","0.2","0.0","0.1","0.0","0.0","4.6"
"Nelson Agholor","PHI","3.1","35.4","0.1","0.1","0.7","0.0","0.0","4.5"
"Anthony Miller","CHI","2.1","30.9","0.2","0.2","1.1","0.0","0.0","4.4"
"Michael Crabtree","BAL","3.0","33.8","0.2","0.0","0.0","0.0","0.0","4.4"
"Tre'Quan Smith","NO","2.0","29.9","0.2","0.0","0.0","0.0","0.0","4.3"
"Jermaine Kearse","NYJ","2.8","33.7","0.2","0.0","0.0","0.0","0.0","4.3"
"John Brown","BAL","2.0","32.1","0.2","0.2","1.2","0.0","0.0","4.3"
"Devante Parker","MIA","2.7","34.9","0.1","0.0","0.0","0.0","0.0","4.3"
"Quincy Enunwa","NYJ","2.6","32.9","0.2","0.0","0.1","0.0","0.1","4.2"
"Rashard Higgins","CLE","2.3","32.1","0.2","0.0","0.0","0.0","0.0","4.1"
"Willie Snead","BAL","3.2","35.1","0.1","0.2","0.9","0.0","0.0","4.0"
"DeSean Jackson","TB","1.7","29.3","0.2","0.2","1.0","0.0","0.0","4.0"
"Marcell Ateman","OAK","2.5","32.2","0.1","0.0","0.1","0.0","0.0","3.9"
"Dontrelle Inman","IND","2.4","29.5","0.2","0.0","0.0","0.0","0.0","3.9"
"Cody Latimer","NYG","2.1","31.9","0.1","0.0","0.0","0.0","0.0","3.8"
"Bruce Ellington","DET","3.1","31.4","0.1","0.1","0.4","0.0","0.0","3.8"
"Devin Funchess","CAR","1.9","26.1","0.2","0.0","0.0","0.0","0.0","3.7"
"Alex Erickson","CIN","2.6","29.3","0.1","0.1","0.6","0.0","0.0","3.7"
"Cole Beasley","DAL","2.6","28.7","0.1","0.0","0.0","0.0","0.0","3.6"
"Trent Sherfield","ARI","2.3","29.6","0.1","0.0","0.1","0.0","0.0","3.6"
"Marquise Goodwin","SF","1.8","27.5","0.1","0.1","0.3","0.0","0.0","3.6"
"Marquez Valdes-Scantling","GB","1.9","27.8","0.1","0.1","0.6","0.0","0.0","3.5"
"Aldrick Robinson","MIN","1.6","25.0","0.2","0.0","0.0","0.0","0.0","3.5"
"Kendrick Bourne","SF","2.7","28.2","0.1","0.0","0.0","0.0","0.0","3.5"
"Cody Core","CIN","2.1","27.3","0.1","0.0","0.0","0.0","0.0","3.4"
"Jarius Wright","CAR","2.1","24.4","0.1","0.1","1.2","0.0","0.0","3.4"
"Zach Pascal","IND","2.0","24.2","0.1","0.1","0.6","0.0","0.0","3.4"
"DeAndre Carter","HOU","3.0","25.5","0.1","0.1","0.9","0.0","0.1","3.3"
"Breshad Perriman","CLE","1.6","25.6","0.1","0.2","0.5","0.0","0.0","3.3"
"Andy Jones","DET","1.7","21.8","0.2","0.0","0.1","0.0","0.0","3.2"
"Keith Kirkwood","NO","1.8","24.2","0.1","0.0","0.1","0.0","0.0","3.2"
"Demarcus Robinson","KC","2.0","25.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Cordarrelle Patterson","NE","1.5","16.5","0.1","1.2","6.0","0.0","0.0","3.1"
"Equanimeous St. Brown","GB","1.8","24.9","0.1","0.1","0.5","0.0","0.0","3.0"
"Chris Hogan","NE","1.6","21.6","0.1","0.0","0.1","0.0","0.0","3.0"
"Tajae Sharpe","TEN","1.8","23.4","0.1","0.0","0.3","0.0","0.0","3.0"
"Brice Butler","MIA","1.4","19.8","0.2","0.0","0.0","0.0","0.0","2.9"
"Keke Coutee","HOU","1.8","21.0","0.1","0.3","1.4","0.0","0.0","2.9"
"Ryan Switzer","PIT","1.9","21.3","0.1","0.4","1.7","0.0","0.0","2.8"
"Russell Shepard","NYG","1.4","21.8","0.1","0.0","0.1","0.0","0.0","2.8"
"Laquon Treadwell","MIN","2.3","23.9","0.1","0.0","0.0","0.0","0.0","2.8"
"Allen Hurns","DAL","1.3","19.4","0.1","0.0","0.0","0.0","0.0","2.8"
"Maurice Harris","WAS","2.0","22.4","0.1","0.1","0.2","0.0","0.0","2.7"
"Chad Williams","ARI","1.4","19.0","0.1","0.1","0.8","0.0","0.0","2.7"
"Bennie Fowler","NYG","1.5","19.5","0.1","0.0","0.0","0.0","0.0","2.5"
"Andre Roberts","NYJ","1.8","20.0","0.1","0.1","0.5","0.0","0.1","2.5"
"Keelan Cole","JAC","1.9","23.2","0.1","0.0","0.0","0.0","0.1","2.4"
"TJ Jones","DET","1.5","20.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Chester Rogers","IND","1.7","17.8","0.1","0.0","0.1","0.0","0.0","2.3"
"Ryan Grant","IND","1.6","17.2","0.1","0.0","0.0","0.0","0.0","2.3"
"Andre Holmes","DEN","1.0","15.3","0.1","0.0","0.0","0.0","0.0","2.2"
"Travis Benjamin","LAC","1.0","16.2","0.1","0.4","2.1","0.0","0.0","2.2"
"Kelvin Benjamin","KC","0.9","15.3","0.1","0.0","0.0","0.0","0.0","2.2"
"D.J. Chark","JAC","1.4","18.1","0.1","0.0","0.0","0.0","0.1","2.1"
"James Washington","PIT","1.0","15.8","0.1","0.0","0.0","0.0","0.0","2.1"
"J.J. Nelson","ARI","1.2","16.1","0.0","0.2","0.8","0.0","0.0","1.9"
"Jaron Brown","SEA","0.7","10.9","0.1","0.0","0.0","0.0","0.0","1.9"
"Jalen Tolliver","ARI","1.2","14.1","0.1","0.1","0.7","0.0","0.0","1.9"
"Eli Rogers","PIT","1.3","14.7","0.1","0.1","0.3","0.0","0.0","1.9"
"Chris Moore","BAL","1.0","11.8","0.1","0.3","1.2","0.0","0.0","1.7"
