,Player,Salary
0,Cam Newton,6200
1,Josh Gordon,6100
2,Aaron Jones,5900
3,Kerryon Johnson,5200
4,Carson Wentz,5000
5,Devonta Freeman,4500
6,Tyler Bray,4000
7,Jimmy Garoppolo,4000
8,Marcus Murphy,3900
9,DeVante Parker,3600
10,Ito Smith,3600
11,Frank Gore,3300
12,Chris Herndon,3100
13,Ronald Jones,3100
14,Reece Fountain,3000
15,Matt Hazel,3000
16,Buddy Howell,3000
17,Jay Ajayi,3000
18,Will Fuller,3000
19,Sammie Coates,3000
20,Mike Wallace,3000
21,Corey Grant,3000
22,Albert Wilson,3000
23,Danny Vitale,3000
24,Bilal Powell,3000
25,Geronimo Allison,3000
26,Terrance Williams,3000
27,C.J. Ham,3000
28,Cody Hollister,3000
29,Matthew Slater,3000
30,Elijah Hood,3000
31,Matt Dayes,3000
32,Pharoh Cooper,3000
33,KhaDarel Hodge,3000
34,Le'Veon Bell,3000
35,Simmie Cobbs,3000
36,Ted Ginn,3000
37,Niles Paul,2500
38,Tyler Eifert,2500
39,Tyler Conklin,2500
40,Josiah Price,2500
41,Kevin McDermott,2500
42,Patrick Scales,2500
43,Johnny Mundt,2500
