,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan (11817367),Ezekiel Elliott (11817423),Tevin Coleman (11817463),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),Eric Ebron (11817939),Elijah McGuire (11817467),Eagles  (11818122),153.82400000000004,153.82400000000004
1,Ben Roethlisberger (11817358),Ezekiel Elliott (11817423),Tevin Coleman (11817463),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),David Njoku (11817949),Eric Ebron (11817939),Patriots  (11818111),152.15200000000002,152.15200000000002
2,Matt Ryan (11817367),Tevin Coleman (11817463),Elijah McGuire (11817467),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),George Kittle (11817935),Saquon Barkley (11817427),Patriots  (11818111),151.814,151.814
3,Ben Roethlisberger (11817358),Ezekiel Elliott (11817423),Tevin Coleman (11817463),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),David Njoku (11817949),George Kittle (11817935),Eagles  (11818122),151.52200000000002,151.52200000000002
4,Matt Ryan (11817367),Elijah McGuire (11817467),Saquon Barkley (11817427),Julio Jones (11817631),Dante Pettis (11817707),Antonio Brown (11817637),David Njoku (11817949),Austin Hooper (11817953),Patriots  (11818111),151.124,151.124
5,Ben Roethlisberger (11817358),Tevin Coleman (11817463),Elijah McGuire (11817467),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),George Kittle (11817935),Saquon Barkley (11817427),Eagles  (11818122),150.86200000000002,150.86200000000002
6,Ben Roethlisberger (11817358),Ezekiel Elliott (11817423),Elijah McGuire (11817467),Robby Anderson (11817699),Dante Pettis (11817707),Antonio Brown (11817637),David Njoku (11817949),George Kittle (11817935),Patriots  (11818111),150.502,150.502
7,Matt Ryan (11817367),Saquon Barkley (11817427),Christian McCaffrey (11817425),Robby Anderson (11817699),Julio Jones (11817631),Dante Pettis (11817707),David Njoku (11817949),Austin Hooper (11817953),Eagles  (11818122),150.354,150.354
8,Ben Roethlisberger (11817358),Ezekiel Elliott (11817423),Elijah McGuire (11817467),Robby Anderson (11817699),Dante Pettis (11817707),Antonio Brown (11817637),Austin Hooper (11817953),George Kittle (11817935),Patriots  (11818111),150.192,150.192
9,Matt Ryan (11817367),Ezekiel Elliott (11817423),Elijah McGuire (11817467),Robby Anderson (11817699),Dante Pettis (11817707),DeAndre Hopkins (11817633),David Njoku (11817949),George Kittle (11817935),Patriots  (11818111),149.974,149.974
