,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
0,Ryan Fitzpatrick,MIA,QB,5400.0,Ryan Fitzpatrick (15512448) (LOCKED),21.82,15.409999999999998,22.325,27.72,13.160000000000002,19.1,23.82,14.46,20.2,24.62,350.4218040233615,241.88129899216133,194.80519480519482,10,3,1,1,1,4,26.3,52.41,205.3231939163498
1,Dak Prescott,DAL,QB,7200.0,Dak Prescott (15512429) (LOCKED),34.3,18.870999999999995,26.656,31.36,16.575999999999997,22.855999999999998,28.36,17.476,23.456,28.36,381.53780933707816,270.10804321728693,229.59183673469386,1,1,2,2,1,3,42.28,4.9,170.29328287606432
2,Drew Brees,NO,QB,5800.0,Drew Brees (15512440) (LOCKED),18.24,17.25,21.035,25.280000000000005,15.600000000000005,18.31,22.280000000000005,16.300000000000004,18.81,22.280000000000005,336.231884057971,275.73092464939384,229.4303797468354,12,4,3,2,2,6,16.54,0.76,350.6650544135429
3,Cam Newton,NE,QB,6400.0,Cam Newton (15512434),25.49,23.07,23.07,23.07,19.92,19.92,19.92,21.12,21.12,21.12,277.41655830082357,277.41655830082357,277.41655830082357,7,3,4,2,2,5,0.0,0.0,1000.0
4,Matthew Stafford,DET,QB,5900.0,Matthew Stafford (15512439) (LOCKED),19.04,17.779999999999994,21.009,24.2,15.33,17.804000000000002,20.500000000000004,16.33,18.604,21.1,331.8335208098988,280.8320243705079,243.80165289256198,13,4,5,2,2,6,23.34,2.87,252.78491859468724
5,Deshaun Watson,HOU,QB,6600.0,Deshaun Watson (15512432) (LOCKED),19.87,18.479,23.011999999999997,26.98400000000001,16.174,20.522,24.404000000000003,17.174,21.322,25.10400000000001,357.1621841008713,286.80688336520075,244.58938630299426,8,3,6,3,3,6,23.9,26.63,276.1506276150628
6,Patrick Mahomes,KC,QB,7400.0,Patrick Mahomes (15512427),31.31,20.72,25.512,30.628,18.27,22.421999999999997,27.628,19.07,23.022,27.628,357.1428571428572,290.05957980558173,241.608985242262,3,2,7,3,2,5,0.0,0.0,1000.0
7,Gardner Minshew,JAC,QB,5900.0,Gardner Minshew II (15512438) (LOCKED),21.36,15.872,20.181,24.47,14.372,18.336,21.87,15.372,19.035999999999998,22.37,371.7237903225807,292.3541945394183,241.11156518185533,14,4,8,3,3,7,24.94,0.09,236.56776263031273
8,Josh Allen,BUF,QB,7300.0,Josh Allen (15512428) (LOCKED),33.08,16.76,24.949000000000005,31.48,15.260000000000002,22.744,27.88,16.26,23.644,28.68,435.56085918854416,292.59689767124934,231.8932655654384,4,2,9,3,2,5,25.42,2.25,287.17545239968524
9,Joe Burrow,CIN,QB,6300.0,Joe Burrow (15512435) (LOCKED),22.08,14.68,21.462999999999994,25.7,13.080000000000002,19.228,23.15,14.080000000000002,19.928,23.450000000000006,429.15531335149865,293.52839770768315,245.13618677042805,11,4,10,3,3,7,19.1,0.94,329.84293193717275
10,Russell Wilson,SEA,QB,7800.0,Russell Wilson (15512426) (LOCKED),33.48,19.77,26.126,31.69,18.67,23.156,28.59,19.27,23.656,28.59,394.53717754173,298.5531654290745,246.13442726412117,2,1,11,3,1,4,24.9,3.72,313.2530120481928
11,Jared Goff,LAR,QB,6700.0,Jared Goff (15512431) (LOCKED),19.6,15.827999999999998,22.409,26.26,14.168,19.054,22.46,15.168,19.854000000000006,23.16,423.30048016173873,298.987014146102,255.14089870525515,9,3,12,3,3,6,11.7,0.66,572.6495726495726
12,Kyler Murray,ARI,QB,7000.0,Kyler Murray (15512430) (LOCKED),27.32,16.540000000000006,23.149999999999995,30.629999999999995,15.24,21.7,28.430000000000003,16.340000000000003,22.6,29.13,423.2164449818621,302.37580993520527,228.53411687887692,6,3,13,3,3,6,24.12,2.29,290.2155887230514
13,Kirk Cousins,MIN,QB,5600.0,Kirk Cousins (15512445) (LOCKED),15.16,13.812000000000001,17.92,21.05,12.512,16.520000000000003,19.100000000000005,13.512,17.320000000000004,19.700000000000006,405.44454097885904,312.49999999999994,266.03325415676966,17,5,14,4,4,9,14.9,0.09,375.83892617449663
14,Daniel Jones,NYG,QB,5100.0,Daniel Jones (15512452) (LOCKED),12.56,12.49,16.204,20.47,10.29,14.524,18.67,11.59,15.624000000000002,19.57,408.32666132906326,314.73710195013575,249.14509037616023,20,7,15,4,4,11,11.1,0.04,459.4594594594595
15,Derek Carr,LV,QB,5300.0,Derek Carr (15512450) (LOCKED),19.52,11.82,16.625999999999998,21.342,10.42,15.105999999999998,19.052,11.42,15.806,19.552,448.39255499153967,318.77781787561656,248.3366132508669,19,6,16,4,4,10,24.44,0.34,216.85761047463174
16,Teddy Bridgewater,CAR,QB,5600.0,Teddy Bridgewater (15512446) (LOCKED),18.97,13.28,17.550999999999995,22.696,11.73,15.456,20.376000000000005,12.73,16.256,20.976,421.68674698795184,319.07013845364946,246.7395135706733,18,5,17,4,4,9,27.24,0.33,205.58002936857562
17,Baker Mayfield,CLE,QB,5800.0,Baker Mayfield (15512442) (LOCKED),14.16,13.02,17.958999999999996,23.28,11.52,16.204,19.78,12.82,17.204,20.58,445.4685099846389,322.9578484325409,249.14089347079042,16,5,18,4,4,9,15.2,0.44,381.5789473684211
18,Tom Brady,TB,QB,6100.0,Tom Brady (15512436) (LOCKED),23.37,13.98,18.512,23.429999999999996,12.98,16.822000000000006,21.48,13.68,17.322000000000006,21.48,436.3376251788269,329.5159896283492,260.3499786598379,15,5,19,5,5,10,36.46,0.25,167.3066374108612
19,Lamar Jackson,BAL,QB,8100.0,Lamar Jackson (15512425) (LOCKED),21.56,18.350000000000005,24.484,33.584,17.25,23.684,33.484,17.950000000000006,24.184,33.484,441.41689373296987,330.8282960300605,241.18627918056214,5,2,20,5,2,7,26.02,0.81,311.29900076863953
20,Philip Rivers,IND,QB,5500.0,Philip Rivers (15512447) (LOCKED),13.89,10.68,15.772999999999998,21.79,9.48,14.238,18.44,10.48,15.138,19.24,514.9812734082399,348.69714068344643,252.4093620927031,23,7,21,6,6,13,11.2,0.02,491.0714285714286
21,Nick Foles,CHI,QB,5700.0,Nick Foles (15512444) (LOCKED),15.54,11.69,16.005,19.73,10.09,14.429999999999998,17.630000000000006,11.29,15.329999999999998,18.23,487.59623609923005,356.1387066541706,288.90015205271163,22,7,22,7,7,14,12.86,0.08,443.2348367029549
22,Justin Herbert,LAC,QB,5800.0,Justin Herbert (15512441) (LOCKED),23.31,11.56,16.092,24.81,9.759999999999998,14.102000000000002,20.81,10.86,15.102000000000002,21.71,501.7301038062283,360.4275416355952,233.776702942362,21,7,23,7,7,14,24.0,0.03,241.66666666666666
23,Brian Hoyer,NE,QB,4100.0,Brian Hoyer (15512477),0.0,0.2600000000000001,11.242,18.84,-1.14,10.242,17.14,-0.039999999999999925,11.042,17.340000000000003,15769.230769230766,364.70378936132363,217.6220806794055,24,8,24,7,7,15,0.0,0.0,1000.0
24,Ronald Jones,TB,RB,4700.0,Ronald Jones II (15512555) (LOCKED),13.0,10.87,15.31,19.32,9.72,13.86,17.62,10.67,15.21,19.22,432.3827046918123,306.9888961463096,243.2712215320911,13,4,1,1,1,5,21.8,26.53,215.59633027522935
25,Alvin Kamara,NO,RB,8000.0,Alvin Kamara (15512493) (LOCKED),32.68,17.32,25.01,32.8,14.320000000000002,21.31,28.75,17.12,24.91,32.8,461.8937644341801,319.87205117952817,243.9024390243903,1,1,2,1,1,2,20.9,91.36,382.7751196172249
26,Mike Davis,CAR,RB,5700.0,Mike Davis (15512527) (LOCKED),15.18,11.91,17.349999999999998,26.11,9.909999999999998,14.900000000000002,22.610000000000007,11.71,17.25,26.01,478.5894206549118,328.53025936599425,218.30716200689392,6,3,3,1,1,4,22.1,56.52,257.91855203619906
27,Ezekiel Elliott,DAL,RB,7800.0,Ezekiel Elliott (15512495) (LOCKED),22.55,15.94,22.940000000000005,30.649999999999995,14.239999999999998,19.53,25.2,15.74,21.480000000000004,27.7,489.3350062735257,340.01743679163025,254.4861337683524,2,1,4,1,1,2,21.5,60.86,362.7906976744186
28,Darrell Henderson,LAR,RB,5800.0,Darrell Henderson Jr. (15512523) (LOCKED),11.88,11.66,15.99,21.0,10.86,14.89,19.1,11.46,15.89,20.6,497.42710120068614,362.72670419011877,276.1904761904762,10,4,5,2,2,6,4.8,13.45,1208.3333333333335
29,Myles Gaskin,MIA,RB,5000.0,Myles Gaskin (15512543) (LOCKED),12.12,7.52,13.7,19.38,6.0200000000000005,11.6,16.38,7.32,13.6,19.38,664.8936170212767,364.963503649635,257.99793601651186,17,5,6,2,2,7,9.2,1.75,543.4782608695652
30,Clyde Edwards-Helaire,KC,RB,6400.0,Clyde Edwards-Helaire (15512513),18.07,12.860000000000005,17.45,22.8,11.06,15.550000000000002,20.700000000000006,12.660000000000002,17.35,22.700000000000006,497.66718506998427,366.76217765042986,280.7017543859649,5,3,7,2,2,5,0.0,0.0,1000.0
31,Joe Mixon,CIN,RB,5800.0,Joe Mixon (15512525) (LOCKED),18.32,10.07,15.65,24.0,8.819999999999997,14.3,20.1,9.87,15.55,21.6,575.9682224428998,370.60702875399363,241.66666666666669,12,4,8,2,2,6,45.1,1.26,128.6031042128603
32,Josh Jacobs,LV,RB,6800.0,Josh Jacobs (15512507) (LOCKED),17.5,12.600000000000005,18.33,23.8,11.250000000000002,16.520000000000003,20.5,12.400000000000002,18.020000000000003,22.2,539.6825396825395,370.97654118930717,285.7142857142857,4,3,9,2,2,5,10.3,1.09,660.1941747572815
33,Kenyan Drake,ARI,RB,6000.0,Kenyan Drake (15512519) (LOCKED),9.6,11.22,16.11,21.85,10.52,14.86,19.9,11.02,16.01,21.75,534.75935828877,372.43947858473,274.59954233409616,8,4,10,2,2,6,3.5,7.04,1714.2857142857142
34,Dalvin Cook,MIN,RB,7600.0,Dalvin Cook (15512497) (LOCKED),25.1,14.7,20.04,26.04,13.25,17.45,21.84,14.5,19.15,23.84,517.0068027210884,379.2415169660679,291.8586789554532,3,2,11,2,2,4,31.6,10.27,240.50632911392404
35,Chris Carson,SEA,RB,6300.0,Chris Carson (15512515) (LOCKED),20.0,12.400000000000002,16.439999999999998,20.56,11.2,14.989999999999998,18.960000000000004,12.2,16.34,20.460000000000004,508.0645161290322,383.2116788321168,306.420233463035,7,4,12,2,2,6,25.0,0.67,252.0
36,David Montgomery,CHI,RB,5500.0,David Montgomery (15512535) (LOCKED),12.05,9.19,14.16,20.21,8.139999999999999,12.81,18.46,8.99,14.06,20.110000000000007,598.4766050054408,388.4180790960452,272.14250371103407,14,5,13,2,2,7,10.7,0.31,514.018691588785
37,David Johnson,HOU,RB,5600.0,David Johnson (15512531) (LOCKED),12.68,8.3,13.920000000000002,18.97,7.1000000000000005,12.47,16.92,8.1,13.820000000000002,18.87,674.6987951807229,402.2988505747126,295.2029520295203,16,5,14,3,3,8,11.2,3.76,500.00000000000006
38,James Robinson,JAC,RB,6500.0,James Robinson (15512511) (LOCKED),19.9,12.970000000000002,16.07,20.6,11.62,14.670000000000002,19.0,12.77,15.970000000000002,20.5,501.15651503469536,404.48039825762294,315.5339805825243,9,4,15,3,3,7,14.7,4.97,442.17687074829934
39,Antonio Gibson,WAS,RB,4500.0,Antonio Gibson (15512563) (LOCKED),13.85,6.19,10.94,17.140000000000004,5.1400000000000015,9.79,15.74,5.99,10.840000000000002,17.140000000000004,726.9789983844911,411.33455210237656,262.5437572928821,19,6,16,3,3,9,22.8,0.13,197.36842105263156
40,Jonathan Taylor,IND,RB,6600.0,Jonathan Taylor (15512509) (LOCKED),14.75,9.400000000000002,15.94,21.224999999999994,8.15,14.54,19.55,9.2,15.84,21.05,702.1276595744679,414.0526976160602,310.9540636042404,11,4,17,3,3,7,8.9,0.83,741.5730337078652
41,Devin Singletary,BUF,RB,5900.0,Devin Singletary (15512521) (LOCKED),13.65,10.25,14.060000000000002,20.67,9.05,12.51,18.87,10.05,13.960000000000004,20.57,575.609756097561,419.63015647226166,285.43783260764394,15,5,18,3,3,8,18.6,1.54,317.2043010752688
42,Kareem Hunt,CLE,RB,6200.0,Kareem Hunt (15512517) (LOCKED),17.42,8.18,13.44,19.32,6.829999999999999,11.64,16.82,8.08,13.34,19.32,757.9462102689488,461.3095238095239,320.9109730848861,18,5,19,4,4,9,19.1,0.11,324.6073298429319
43,Adrian Peterson,DET,RB,4700.0,Adrian Peterson (15512559) (LOCKED),9.4,4.95,9.31,14.46,4.55,8.510000000000002,12.760000000000002,4.75,9.21,14.36,949.4949494949493,504.83351235230936,325.03457814661135,21,7,20,5,5,12,9.6,0.2,489.58333333333337
44,Nyheim Hines,IND,RB,4700.0,Nyheim Hines (15512557) (LOCKED),11.25,5.3100000000000005,8.780000000000001,12.06,3.96,6.980000000000001,9.81,5.21,8.680000000000001,12.06,885.1224105461392,535.3075170842824,389.7180762852405,25,7,21,6,6,13,6.2,0.07,758.0645161290322
45,D'Andre Swift,DET,RB,4300.0,D'Andre Swift (15512571) (LOCKED),10.4,4.53,8.03,12.170000000000002,3.43,6.630000000000001,10.22,4.43,8.03,12.170000000000002,949.2273730684326,535.4919053549191,353.327855382087,26,8,22,6,6,14,15.2,0.05,282.89473684210526
46,Rex Burkhead,NE,RB,4800.0,Rex Burkhead (15512549),15.63,4.3100000000000005,8.940000000000003,14.16,3.3600000000000003,7.489999999999998,12.31,4.21,8.840000000000002,14.16,1113.68909512761,536.9127516778523,338.9830508474576,23,7,23,6,6,13,0.0,0.0,1000.0
47,Devonta Freeman,NYG,RB,4800.0,Devonta Freeman (15512551) (LOCKED),5.9,2.4,8.82,13.92,2.3,7.77,12.27,2.3,8.72,13.82,2000.0,544.2176870748299,344.82758620689657,24,7,24,6,6,13,10.8,0.03,444.4444444444444
48,Mark Ingram,BAL,RB,5700.0,Mark Ingram II (15512529) (LOCKED),8.08,6.88,10.46,17.599999999999994,6.2799999999999985,9.56,15.900000000000002,6.7799999999999985,10.36,17.5,828.4883720930233,544.9330783938814,323.86363636363643,20,6,25,6,6,12,10.7,0.21,532.7102803738318
49,James White,NE,RB,5200.0,James White (15512539),8.2,5.0,9.22,14.3,3.7,7.42,11.3,4.9,9.22,14.3,1040.0,563.9913232104121,363.6363636363636,22,7,26,7,7,14,0.0,0.0,1000.0
50,JD McKissic,WAS,RB,4000.0,J.D. McKissic (15512703) (LOCKED),6.25,3.72,6.950000000000001,9.21,2.77,5.7,7.91,3.62,6.8500000000000005,9.21,1075.268817204301,575.5395683453237,434.31053203040176,28,8,27,7,7,15,10.6,0.01,377.35849056603774
51,Duke Johnson,HOU,RB,4000.0,Duke Johnson (15512627) (LOCKED),4.45,3.12,6.780000000000001,10.38,2.52,5.780000000000001,8.98,3.02,6.780000000000001,10.38,1282.0512820512822,589.9705014749262,385.3564547206166,29,8,28,8,8,16,7.5,0.0,533.3333333333334
52,Giovani Bernard,CIN,RB,4400.0,Giovani Bernard (15512569) (LOCKED),6.18,3.54,7.370000000000001,12.11,2.2900000000000005,5.87,10.11,3.3400000000000003,7.27,12.11,1242.9378531073446,597.0149253731342,363.3360858794385,27,8,29,8,8,16,1.9,0.06,2315.789473684211
53,Tyler Lockett,SEA,WR,7000.0,Tyler Lockett (15512743) (LOCKED),20.7,16.6,20.35,27.5,13.750000000000002,16.28,20.5,16.500000000000004,19.380000000000006,24.5,421.68674698795184,343.980343980344,254.54545454545453,2,1,1,1,1,2,5.9,45.97,1186.4406779661017
54,DJ Moore,CAR,WR,5600.0,DJ Moore (15512789) (LOCKED),12.45,12.63,16.009999999999998,21.6,10.130000000000004,13.11,17.65,12.53,15.91,20.7,443.3887569279493,349.7813866333542,259.2592592592593,10,3,2,1,1,4,8.9,68.38,629.2134831460673
55,DeVante Parker,MIA,WR,5700.0,DeVante Parker (15512785) (LOCKED),15.22,13.090000000000002,15.72,20.425,10.64,13.12,17.17,12.990000000000002,15.72,20.17,435.4469060351413,362.5954198473282,279.06976744186045,13,3,3,1,1,4,24.0,20.55,237.5
