,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Ryan Fitzpatrick,MIA,QB,5400.0,Ryan Fitzpatrick (15512448) (LOCKED),15.409999999999998,22.324999999999996,27.72
1,Drew Brees,NO,QB,5800.0,Drew Brees (15512440) (LOCKED),17.25,21.035,25.280000000000005
2,Cam Newton,NE,QB,6400.0,Cam Newton (15512434),23.07,23.07,23.07
0,Ronald Jones,TB,RB,4700.0,Ronald Jones II (15512555) (LOCKED),10.870000000000001,15.31,19.32
1,Alvin Kamara,NO,RB,8000.0,Alvin Kamara (15512493) (LOCKED),17.32,25.009999999999998,32.8
2,Mike Davis,CAR,RB,5700.0,Mike Davis (15512527) (LOCKED),11.91,17.349999999999998,26.11
3,Ezekiel Elliott,DAL,RB,7800.0,Ezekiel Elliott (15512495) (LOCKED),15.940000000000001,22.940000000000005,30.649999999999995
4,Darrell Henderson,LAR,RB,5800.0,Darrell Henderson Jr. (15512523) (LOCKED),11.66,15.99,21.0
5,Myles Gaskin,MIA,RB,5000.0,Myles Gaskin (15512543) (LOCKED),7.5200000000000005,13.700000000000001,19.38
6,Clyde Edwards-Helaire,KC,RB,6400.0,Clyde Edwards-Helaire (15512513),12.860000000000003,17.45,22.8
7,Joe Mixon,CIN,RB,5800.0,Joe Mixon (15512525) (LOCKED),10.07,15.65,23.999999999999996
8,Josh Jacobs,LV,RB,6800.0,Josh Jacobs (15512507) (LOCKED),12.600000000000003,18.33,23.799999999999997
9,Kenyan Drake,ARI,RB,6000.0,Kenyan Drake (15512519) (LOCKED),11.22,16.11,21.849999999999998
0,Tyler Lockett,SEA,WR,7000.0,Tyler Lockett (15512743) (LOCKED),16.6,20.349999999999998,27.5
1,DJ Moore,CAR,WR,5600.0,DJ Moore (15512789) (LOCKED),12.63,16.009999999999998,21.599999999999998
2,DeVante Parker,MIA,WR,5700.0,DeVante Parker (15512785) (LOCKED),13.090000000000002,15.72,20.425
3,Amari Cooper,DAL,WR,6700.0,Amari Cooper (15512755) (LOCKED),14.120000000000001,18.399999999999995,27.1
4,Brandin Cooks,HOU,WR,4500.0,Brandin Cooks (15512837) (LOCKED),8.96,12.320000000000002,18.509999999999998
5,Keenan Allen,LAC,WR,6500.0,Keenan Allen (15512761) (LOCKED),15.56,17.749999999999993,28.6
6,Kenny Golladay,DET,WR,6000.0,Kenny Golladay (15512777) (LOCKED),12.8,15.959999999999999,23.75
7,Odell Beckham,CLE,WR,5800.0,Odell Beckham Jr. (15512783) (LOCKED),12.040000000000001,15.25,21.75
8,DeAndre Hopkins,ARI,WR,8500.0,DeAndre Hopkins (15512739) (LOCKED),17.924999999999997,22.275,27.7
9,Darius Slayton,NYG,WR,5000.0,Darius Slayton (15512813) (LOCKED),10.500000000000002,13.02,17.6
0,Darren Waller,LV,TE,5200.0,Darren Waller (15513101) (LOCKED),10.96,15.39,24.299999999999997
1,Hunter Henry,LAC,TE,4600.0,Hunter Henry (15513109) (LOCKED),9.950000000000001,12.91,20.849999999999998
2,Logan Thomas,WAS,TE,3500.0,Logan Thomas (15513131) (LOCKED),5.5200000000000005,8.770000000000001,11.86
0,Buccaneers,TB,DST,3400.0,Buccaneers  (15513311) (LOCKED),7.171428571428572,7.657142857142858,8.87142857142857
1,Ravens,BAL,DST,4000.0,Ravens  (15513305) (LOCKED),6.185714285714287,8.500000000000002,10.785714285714285
2,Texans,HOU,DST,2500.0,Texans  (15513326) (LOCKED),4.257142857142857,5.2714285714285705,7.157142857142857
