,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Davante Adams,GB,7.7,6.0,6.6,98.0,77.0,86.3,1.0,0.6,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.9,11.7,13.3,4,WR
1,Tyler Lockett,SEA,8.0,5.5,6.2,105.0,76.0,85.8,1.0,0.6,0.8,0.4,0.0,0.1,2.2,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,16.5,11.6,13.1,4,WR
2,DeAndre Hopkins,ARI,8.2,6.4,7.5,105.0,82.5,90.7,1.0,0.5,0.7,0.1,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,16.5,11.5,13.0,4,WR
3,Calvin Ridley,ATL,7.2,5.1,6.0,103.0,74.5,84.7,1.0,0.6,0.7,0.5,0.2,0.4,3.1,1.4,2.2,0.0,0.0,0.0,0.0,0.1,0.1,15.2,11.5,13.0,4,WR
4,Amari Cooper,DAL,8.0,5.2,6.2,101.0,66.2,82.8,1.0,0.4,0.6,0.1,0.0,0.1,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,16.1,8.8,11.8,4,WR
5,DK Metcalf,SEA,6.0,3.4,4.7,96.0,55.0,77.8,1.0,0.4,0.7,0.3,0.0,0.1,2.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.1,15.6,8.2,11.7,4,WR
6,Stefon Diggs,BUF,7.0,4.7,5.5,92.1,66.0,78.4,1.0,0.5,0.6,0.5,0.0,0.2,5.1,0.0,1.5,0.0,0.0,0.0,0.0,0.1,0.1,15.2,10.2,11.6,4,WR
7,Cooper Kupp,LAR,7.0,4.9,5.8,86.0,62.8,74.7,1.0,0.4,0.7,0.6,0.2,0.4,3.8,1.2,2.2,0.0,0.0,0.0,0.0,0.1,0.1,14.6,9.2,11.6,4,WR
8,Tyreek Hill,KC,6.0,3.9,5.0,85.0,50.0,69.9,1.0,0.5,0.6,1.0,0.3,0.6,6.9,2.0,4.5,0.1,0.0,0.0,0.0,0.1,0.0,14.5,8.8,11.3,4,WR
9,Robert Woods,LAR,6.5,4.5,5.5,86.2,60.8,72.3,1.0,0.1,0.4,1.7,0.9,1.4,10.9,6.7,8.8,0.1,0.1,0.1,0.0,0.1,0.1,14.4,9.4,11.1,4,WR
10,Kenny Golladay,DET,8.0,3.7,5.0,87.0,62.0,73.6,1.0,0.5,0.6,0.1,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,14.7,9.0,10.9,4,WR
11,Keenan Allen,LAC,9.1,6.4,7.0,105.0,74.6,81.8,1.0,0.3,0.4,0.3,0.0,0.2,1.9,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.1,13.7,9.5,10.8,4,WR
12,DeVante Parker,MIA,6.0,4.7,5.2,81.7,66.9,75.2,1.0,0.3,0.5,0.3,0.0,0.1,1.7,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,14.1,9.1,10.8,4,WR
