,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Alvin Kamara,NO,17.0,10.2,12.5,72.0,47.0,60.3,1.0,0.3,0.6,8.1,5.6,7.2,79.0,54.2,64.8,0.6,0.0,0.3,0.0,0.2,0.1,19.9,17.4,18.2,4,RB
1,Ezekiel Elliott,DAL,22.6,17.6,20.3,99.0,74.5,88.4,1.1,0.5,0.8,5.0,3.0,3.9,40.0,26.9,31.4,0.4,0.0,0.2,0.1,0.2,0.2,19.4,15.1,17.5,4,RB
2,Aaron Jones,GB,19.0,13.0,15.0,88.0,55.0,71.5,1.2,0.5,0.9,4.0,3.2,3.5,35.0,21.9,29.4,0.3,0.0,0.2,0.1,0.2,0.1,19.2,12.4,16.2,4,RB
3,Dalvin Cook,MIN,19.7,16.1,17.7,94.0,74.0,84.6,1.0,0.5,0.7,4.0,2.5,3.4,34.4,20.0,28.9,0.2,0.0,0.1,0.1,0.2,0.2,18.7,12.7,16.0,4,RB
4,Josh Jacobs,LV,22.0,14.4,18.5,90.0,68.0,81.4,1.0,0.3,0.7,3.4,2.3,3.0,28.0,19.0,22.8,0.2,0.0,0.1,0.1,0.2,0.1,17.1,12.7,14.7,4,RB
5,Clyde Edwards-Helaire,KC,18.0,14.2,16.3,75.0,66.0,71.5,1.0,0.1,0.5,4.0,3.2,3.6,36.0,26.6,32.0,0.3,0.0,0.1,0.1,0.2,0.1,16.2,11.9,13.9,4,RB
6,Miles Sanders,PHI,17.3,12.3,14.8,76.9,60.4,69.3,1.0,0.2,0.5,4.7,2.8,3.7,42.0,22.7,32.6,0.2,0.0,0.1,0.1,0.2,0.1,16.0,12.1,13.6,4,RB
7,Darrell Henderson,LAR,19.0,12.2,16.5,82.0,68.6,74.8,1.0,0.4,0.7,3.0,1.2,2.0,24.0,14.0,18.1,0.2,0.0,0.1,0.1,0.2,0.1,16.6,11.3,13.5,4,RB
8,Chris Carson,SEA,17.3,11.7,15.2,73.5,65.0,68.5,1.0,0.4,0.6,3.0,2.0,2.7,25.1,17.0,21.9,0.3,0.0,0.2,0.1,0.2,0.1,14.5,13.2,13.5,4,RB
9,Kenyan Drake,ARI,20.0,12.2,16.2,80.0,65.2,73.2,1.0,0.5,0.7,3.7,1.0,2.3,30.5,9.0,17.9,0.2,0.0,0.1,0.1,0.2,0.1,14.9,11.6,13.4,4,RB
10,James Robinson,JAC,18.0,14.3,16.0,77.0,67.0,70.2,1.0,0.4,0.6,3.0,2.3,2.6,28.0,17.7,23.5,0.2,0.0,0.1,0.1,0.2,0.1,15.5,11.9,13.4,4,RB
11,Jonathan Taylor,IND,18.9,12.9,16.4,80.5,46.0,70.1,1.0,0.2,0.6,3.0,2.1,2.6,30.0,17.0,22.3,0.2,0.0,0.1,0.1,0.2,0.1,15.9,10.1,13.2,4,RB
12,Melvin Gordon,DEN,19.0,12.6,16.7,76.5,56.0,67.0,1.0,0.3,0.6,3.8,2.0,3.0,30.1,17.0,23.5,0.3,0.0,0.2,0.1,0.3,0.1,15.1,11.4,13.1,4,RB
13,Joe Mixon,CIN,23.7,15.0,18.4,96.0,65.0,76.4,0.9,0.0,0.5,3.0,2.1,2.5,24.0,16.7,20.1,0.2,0.0,0.1,0.0,0.2,0.1,17.0,8.9,12.9,4,RB
14,Ronald Jones,TB,18.0,12.0,15.9,72.0,55.1,65.2,1.0,0.4,0.6,3.2,1.9,2.7,24.2,12.6,19.9,0.1,0.0,0.1,0.1,0.2,0.1,15.2,11.6,12.3,4,RB
15,Mike Davis,CAR,17.4,11.5,13.2,70.1,43.0,53.0,1.0,0.3,0.5,6.8,3.6,4.7,46.0,24.1,32.5,0.3,0.0,0.2,0.1,0.2,0.1,15.2,10.7,12.2,4,RB
16,Jerick McKinnon,SF,14.0,11.2,12.2,68.9,45.0,53.5,1.0,0.4,0.5,4.0,2.1,3.2,38.4,21.6,27.8,0.4,0.0,0.2,0.1,0.2,0.1,14.7,10.6,12.1,4,RB
17,Devin Singletary,BUF,15.2,10.6,12.7,72.3,46.5,58.9,1.0,0.3,0.4,3.4,2.0,2.9,29.4,20.0,23.7,0.2,0.0,0.1,0.1,0.2,0.1,14.0,9.7,11.4,4,RB
18,David Montgomery,CHI,18.0,12.5,15.3,73.0,52.0,63.1,1.0,0.2,0.5,3.3,1.7,2.5,25.1,12.9,18.5,0.2,0.0,0.1,0.1,0.2,0.1,15.8,9.6,11.4,4,RB
