,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Jaguars,3.0,2.5,2.9,1.5,1.1,1.3,1.0,0.5,0.7,1.3,0.8,1.1,0.4,0.2,0.2,0.1,0.0,0.0,16.5,14.6,15.5,259.0,282.4,270.7,10.1,9.3,9.3,4,DST
1,Chargers,3.2,2.8,3.1,1.3,0.9,1.2,0.7,0.4,0.6,0.9,0.6,0.8,0.3,0.2,0.2,0.1,0.0,0.0,24.1,17.1,19.7,312.0,373.6,342.8,9.7,7.7,9.0,4,DST
2,Packers,3.2,2.8,3.0,1.2,0.8,1.0,0.9,0.4,0.6,0.7,0.6,0.7,0.3,0.2,0.2,0.1,0.0,0.0,22.3,17.5,19.6,302.0,339.0,320.5,10.1,7.1,8.6,4,DST
3,Seahawks,2.8,2.2,2.5,1.5,0.9,1.1,0.8,0.4,0.6,1.1,0.6,0.9,0.3,0.2,0.2,0.1,0.0,0.0,18.3,13.9,16.0,255.0,279.6,267.3,9.4,6.7,8.4,4,DST
4,Bears,3.4,2.2,2.6,1.3,0.8,1.1,1.1,0.6,0.8,1.6,0.9,1.3,0.3,0.2,0.2,0.0,0.0,0.0,24.4,19.2,21.7,360.0,390.4,375.2,9.9,6.1,7.9,4,DST
5,Eagles,2.5,1.9,2.1,1.1,0.9,1.0,0.9,0.5,0.7,1.2,0.8,1.0,0.2,0.2,0.2,0.1,0.0,0.0,21.0,17.6,19.3,277.5,309.0,293.2,8.4,6.8,7.7,4,DST
6,Colts,3.3,2.5,2.8,1.2,0.7,1.0,0.8,0.5,0.7,1.2,0.8,1.0,0.3,0.2,0.2,0.0,0.0,0.0,24.6,22.6,23.9,367.0,376.8,371.9,8.5,5.9,7.5,4,DST
7,Rams,2.5,2.3,2.4,1.2,0.8,1.0,1.0,0.5,0.7,1.4,0.8,1.1,0.3,0.1,0.2,0.0,0.0,0.0,22.9,19.5,21.1,353.0,385.9,369.5,8.3,6.4,7.1,4,DST
8,Patriots,2.6,2.2,2.5,1.3,0.8,1.0,0.8,0.4,0.6,1.1,0.6,0.9,0.3,0.2,0.2,0.0,0.0,0.0,23.1,17.7,20.9,364.0,374.3,369.1,8.1,5.5,7.0,4,DST
9,Cardinals,3.2,2.0,2.7,1.1,0.8,0.9,0.8,0.5,0.6,1.0,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.1,21.8,20.8,21.2,324.0,350.0,337.0,8.1,6.9,7.0,4,DST
10,Steelers,2.9,2.2,2.6,1.1,0.8,1.0,0.7,0.5,0.6,0.8,0.7,0.8,0.3,0.1,0.2,0.0,0.0,0.0,24.0,23.9,24.0,338.0,367.5,352.7,7.4,5.6,6.9,4,DST
11,Cowboys,2.9,2.1,2.4,1.4,0.6,0.9,0.9,0.6,0.7,1.3,0.8,1.1,0.3,0.1,0.2,0.0,0.0,0.0,23.1,21.0,22.0,347.0,360.9,353.9,7.9,6.2,6.9,4,DST
12,Chiefs,2.7,1.7,2.1,1.1,0.9,1.0,0.8,0.5,0.6,1.2,0.8,1.0,0.4,0.2,0.2,0.0,0.0,0.0,25.5,22.1,23.3,334.5,392.0,363.2,7.8,5.3,6.8,4,DST
13,Saints,2.5,2.2,2.3,1.1,0.8,1.0,0.6,0.5,0.6,0.8,0.7,0.8,0.3,0.1,0.2,0.0,0.0,0.0,24.3,19.9,22.4,351.0,354.6,352.8,7.6,6.1,6.7,4,DST
14,Titans,2.7,2.1,2.5,1.0,0.7,0.8,1.0,0.5,0.7,1.3,0.8,1.1,0.3,0.1,0.2,0.0,0.0,0.0,25.4,22.3,23.4,365.0,373.5,369.3,7.3,5.7,6.6,4,DST
15,Ravens,2.1,1.9,2.0,1.4,0.9,1.0,0.8,0.5,0.7,1.1,0.8,1.0,0.3,0.1,0.2,0.1,0.0,0.1,27.0,22.9,24.9,354.0,360.2,357.1,8.3,5.6,6.6,4,DST
16,Buccaneers,2.6,2.2,2.4,1.0,0.7,0.9,1.2,0.5,0.7,1.6,0.8,1.2,0.2,0.1,0.2,0.0,0.0,0.0,24.5,20.4,22.7,323.0,355.7,339.4,7.6,6.5,6.6,4,DST
17,Raiders,3.2,2.2,2.6,1.0,0.7,0.8,0.8,0.4,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.0,0.0,0.0,25.6,20.3,22.3,359.5,363.0,361.2,7.6,6.0,6.6,4,DST
18,Texans,3.0,2.1,2.5,0.9,0.7,0.8,0.9,0.5,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.1,26.4,22.5,24.1,320.0,356.7,338.3,7.4,6.3,6.6,4,DST
19,Lions,2.6,1.8,2.3,1.1,0.7,0.8,0.9,0.4,0.6,1.2,0.5,0.9,0.3,0.1,0.2,0.0,0.0,0.0,23.0,22.5,22.8,312.0,369.0,340.5,7.4,5.5,6.3,4,DST
20,Browns,2.0,1.5,1.8,1.0,0.9,1.0,1.0,0.5,0.7,1.3,0.9,1.1,0.3,0.1,0.2,0.0,0.0,0.0,23.5,21.3,22.1,333.0,364.7,348.9,7.3,6.3,6.3,4,DST
