,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Giovani Bernard,Indianapolis Colts,145.816,50000
1,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Allen Robinson,Eric Ebron,Mike Williams,Indianapolis Colts,145.18200000000002,50000
2,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Mike Williams,Eric Ebron,Giovani Bernard,Indianapolis Colts,145.116,49900
3,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Michael Thomas,Calvin Ridley,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.95600000000002,50000
4,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Tyler Boyd,Mike Williams,Eric Ebron,Alvin Kamara,Indianapolis Colts,144.91200000000003,50000
5,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Calvin Ridley,Eric Ebron,Giovani Bernard,Chicago Bears,144.86599999999999,50000
6,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Calvin Ridley,Eric Ebron,Alvin Kamara,Indianapolis Colts,144.812,50000
7,Matt Ryan,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Allen Robinson,Indianapolis Colts,144.77600000000004,50000
8,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Michael Thomas,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.716,49700
9,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Michael Thomas,Geronimo Allison,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.67600000000002,49800
10,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Calvin Ridley,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.666,49600
11,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Giovani Bernard,Chicago Bears,144.626,49700
12,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Geronimo Allison,Eric Ebron,Giovani Bernard,Chicago Bears,144.58599999999998,49800
13,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Geronimo Allison,Eric Ebron,Alvin Kamara,Indianapolis Colts,144.532,49800
14,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Tyler Boyd,Michael Thomas,Eric Ebron,Calvin Ridley,Indianapolis Colts,144.45200000000003,49900
15,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Michael Thomas,Geronimo Allison,Eric Ebron,Calvin Ridley,Indianapolis Colts,144.412,50000
16,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Calvin Ridley,Chicago Bears,144.36200000000002,49900
17,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Geronimo Allison,Eric Ebron,Calvin Ridley,Chicago Bears,144.322,50000
18,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Allen Robinson,Jarvis Landry,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.246,50000
19,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Michael Thomas,Mike Williams,Eric Ebron,Giovani Bernard,Chicago Bears,144.216,50000
20,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Tyler Boyd,Michael Thomas,Eric Ebron,Geronimo Allison,Indianapolis Colts,144.17200000000003,49700
21,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Calvin Ridley,Indianapolis Colts,144.16200000000003,49500
22,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Geronimo Allison,Eric Ebron,Calvin Ridley,Indianapolis Colts,144.122,49600
23,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Mike Williams,Calvin Ridley,Eric Ebron,Alvin Kamara,Indianapolis Colts,144.11200000000002,49900
24,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Tyler Boyd,Allen Robinson,Eric Ebron,Saquon Barkley,Indianapolis Colts,144.10200000000003,49900
25,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Geronimo Allison,Chicago Bears,144.08200000000002,49700
26,Matt Ryan,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Allen Robinson,Eric Ebron,Mike Williams,Indianapolis Colts,144.07600000000002,49900
27,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Mike Williams,Eric Ebron,Alvin Kamara,Chicago Bears,144.072,50000
28,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Geronimo Allison,Allen Robinson,Eric Ebron,Saquon Barkley,Indianapolis Colts,144.062,50000
29,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Allen Robinson,Eric Ebron,Alvin Kamara,Indianapolis Colts,144.03600000000003,49800
30,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Michael Thomas,Eric Ebron,Allen Robinson,Indianapolis Colts,144.02600000000004,50000
31,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Michael Thomas,Mike Williams,Eric Ebron,Giovani Bernard,Indianapolis Colts,144.01600000000002,49600
32,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Geronimo Allison,Allen Robinson,Eric Ebron,Alvin Kamara,Indianapolis Colts,143.996,49900
33,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Allen Robinson,Eric Ebron,Calvin Ridley,Indianapolis Colts,143.97600000000003,49900
34,Matt Ryan,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Tyler Boyd,Eric Ebron,Allen Robinson,Chicago Bears,143.936,50000
35,Andy Dalton,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Odell Beckham Jr.,Mike Williams,Eric Ebron,Giovani Bernard,Chicago Bears,143.926,49600
36,Andy Dalton,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Michael Thomas,Allen Robinson,Eric Ebron,Calvin Ridley,Indianapolis Colts,143.91600000000003,50000
37,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Tyler Boyd,Mike Williams,Eric Ebron,Alvin Kamara,Indianapolis Colts,143.872,49600
38,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Geronimo Allison,Mike Williams,Eric Ebron,Alvin Kamara,Indianapolis Colts,143.83200000000002,49700
39,Drew Brees,Ezekiel Elliott,Tevin Coleman,Sterling Shepard,Jarvis Landry,Calvin Ridley,Eric Ebron,Giovani Bernard,Chicago Bears,143.832,49900
40,Andy Dalton,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Odell Beckham Jr.,Allen Robinson,Eric Ebron,Calvin Ridley,Chicago Bears,143.82600000000002,50000
41,Drew Brees,Ezekiel Elliott,Alvin Kamara,Sterling Shepard,Tyler Boyd,Allen Robinson,Eric Ebron,Calvin Ridley,Indianapolis Colts,143.77200000000002,50000
42,Drew Brees,Ezekiel Elliott,Giovani Bernard,Sterling Shepard,Michael Thomas,Mike Williams,Eric Ebron,Calvin Ridley,Indianapolis Colts,143.752,49800
