,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Alvin Kamara,NO,16.0,10.0,13.8,67.5,45.0,60.3,0.7,0.0,0.4,8.0,5.8,7.0,73.9,56.0,66.1,1.0,0.3,0.5,0.0,0.1,0.1,19.7,16.5,18.0,4,RB
1,Todd Gurley,ATL,19.9,18.0,19.0,88.2,76.0,82.3,1.0,0.7,0.8,4.4,3.8,4.1,42.9,35.0,39.1,0.3,0.0,0.2,0.2,0.2,0.2,19.8,17.2,17.8,4,RB
2,Ezekiel Elliott,DAL,24.0,18.4,20.0,103.2,82.0,94.3,1.0,0.6,0.8,4.2,2.7,3.6,31.3,18.9,25.7,0.1,0.0,0.1,0.1,0.2,0.2,18.5,15.4,16.8,4,RB
3,Melvin Gordon,DEN,18.3,16.5,17.4,73.0,65.0,68.1,1.0,0.5,0.7,5.5,3.6,4.5,51.5,32.2,39.3,0.3,0.0,0.2,0.1,0.1,0.1,17.8,14.4,15.9,4,RB
4,Saquon Barkley,NYG,18.0,14.4,16.8,75.5,64.9,69.1,1.0,0.3,0.6,5.5,3.0,4.9,45.0,25.0,39.1,0.3,0.0,0.2,0.1,0.2,0.1,15.9,14.2,15.2,4,RB
5,James Conner,PIT,19.6,15.9,17.7,80.0,64.1,71.1,1.0,0.5,0.7,4.0,3.1,3.5,27.5,24.0,25.3,0.1,0.0,0.1,0.0,0.2,0.1,15.0,11.9,13.8,4,RB
6,Tevin Coleman,SF,18.2,14.6,16.0,76.1,58.9,65.2,1.0,0.5,0.6,3.4,2.0,2.6,30.7,15.0,22.9,0.3,0.0,0.2,0.0,0.1,0.1,14.2,12.9,13.3,4,RB
7,Jordan Howard,PHI,21.0,16.2,18.2,94.9,66.0,74.8,1.0,0.5,0.6,3.0,2.0,2.3,23.9,12.6,18.2,0.1,0.0,0.0,0.1,0.1,0.1,16.0,11.4,13.1,4,RB
8,Giovani Bernard,CIN,15.0,12.4,14.3,70.0,55.9,62.7,0.5,0.0,0.3,6.0,3.6,4.2,45.0,25.7,32.0,1.0,0.1,0.3,0.0,0.1,0.1,16.5,11.7,13.1,4,RB
9,Leonard Fournette,TB,21.0,15.9,17.7,85.0,60.4,70.9,1.0,0.4,0.6,2.7,2.0,2.4,23.0,17.9,19.8,0.1,0.0,0.1,0.0,0.1,0.1,16.5,11.4,12.9,4,RB
10,David Johnson,HOU,16.4,13.0,14.8,67.3,45.6,55.5,1.0,0.2,0.5,4.1,3.1,3.8,37.7,29.0,33.5,0.3,0.0,0.2,0.1,0.1,0.1,15.0,10.7,12.9,4,RB
11,Kareem Hunt,CLE,16.9,14.3,15.5,67.0,56.4,62.3,1.0,0.4,0.7,3.2,1.4,2.1,28.1,11.0,18.2,0.2,0.0,0.1,0.0,0.1,0.0,14.5,11.3,12.5,4,RB
12,Carlos Hyde,SEA,19.0,15.4,16.6,75.0,62.0,69.5,1.0,0.4,0.6,3.2,1.0,1.8,22.9,10.0,13.0,0.1,0.0,0.0,0.0,0.2,0.1,14.5,10.0,11.8,4,RB
13,Sony Michel,NE,15.4,7.9,13.3,62.2,31.0,52.4,1.0,0.3,0.6,2.0,1.5,1.9,15.4,11.0,14.0,0.1,0.0,0.1,0.1,0.1,0.1,13.0,6.9,10.4,4,RB
14,Alex Collins,SEA,14.7,12.0,13.2,62.5,50.0,56.1,1.0,0.3,0.5,2.4,1.0,1.9,17.2,10.0,15.6,0.1,0.0,0.1,0.0,0.3,0.1,12.0,8.8,10.2,4,RB
15,Dion Lewis,NYG,13.0,9.0,10.8,50.0,31.8,42.6,1.0,0.2,0.4,5.0,2.7,3.6,35.0,17.1,27.0,0.1,0.0,0.1,0.0,0.2,0.1,14.5,8.5,9.6,4,RB
