,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Steelers,5.1,2.7,3.8,1.0,0.8,0.9,0.8,0.5,0.6,0.9,0.7,0.8,0.2,0.1,0.2,0.1,0.0,0.1,19.5,17.0,18.5,290.0,353.5,316.0,11.9,6.5,8.9,4,2022,DST
1,Giants,3.9,2.4,2.9,1.6,0.6,1.1,0.8,0.4,0.6,0.9,0.6,0.8,0.2,0.1,0.2,0.1,0.0,0.0,23.0,17.0,19.0,282.0,307.3,296.6,11.1,5.7,8.5,4,2022,DST
2,Packers,2.8,2.0,2.4,1.5,0.8,1.2,0.9,0.4,0.6,1.2,0.7,0.9,0.3,0.1,0.2,0.1,0.0,0.0,20.8,14.0,16.7,308.0,328.7,316.2,9.6,6.6,8.1,4,2022,DST
3,Cowboys,3.6,2.6,3.0,1.1,0.6,0.9,0.7,0.5,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.1,0.1,0.1,19.9,17.5,18.8,305.0,348.7,328.2,8.4,6.8,8.1,4,2022,DST
4,Dolphins,4.3,2.9,3.5,1.0,0.7,0.8,0.8,0.4,0.6,1.1,1.0,1.0,0.2,0.1,0.2,0.1,0.0,0.0,26.5,23.2,24.9,343.0,356.7,351.4,9.1,6.7,7.5,4,2022,DST
5,Chargers,2.6,2.2,2.5,1.1,0.8,0.9,0.6,0.5,0.6,0.8,0.8,0.8,0.2,0.1,0.2,0.1,0.0,0.0,22.5,17.1,20.0,280.0,343.1,316.1,7.6,6.3,7.4,4,2022,DST
6,Bills,3.9,2.5,3.1,1.2,0.6,0.9,0.8,0.4,0.6,1.1,0.6,0.9,0.2,0.1,0.2,0.0,0.0,0.0,23.8,21.1,23.0,361.3,374.0,368.0,8.9,5.8,7.2,4,2022,DST
7,Vikings,2.9,2.6,2.7,1.4,0.8,1.1,0.8,0.4,0.6,1.1,0.6,0.9,0.2,0.1,0.2,0.1,0.0,0.0,22.4,18.5,20.0,325.6,333.0,328.9,10.1,6.5,7.2,4,2022,DST
8,Eagles,2.4,1.7,2.1,1.0,0.8,0.9,0.6,0.5,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.0,22.3,17.1,19.1,309.0,347.1,322.7,8.0,5.9,7.1,4,2022,DST
9,Rams,3.2,2.2,2.5,1.2,0.7,0.9,1.0,0.5,0.7,1.3,0.8,1.0,0.2,0.1,0.2,0.0,0.0,0.0,23.0,20.2,21.5,334.0,356.8,347.1,8.9,6.0,6.9,4,2022,DST
10,Bears,3.4,2.7,2.9,0.9,0.7,0.8,0.8,0.6,0.7,1.1,0.9,1.0,0.2,0.1,0.2,0.0,0.0,0.0,21.8,19.9,20.8,300.0,346.3,324.9,8.2,6.2,6.8,4,2022,DST
11,49ers,3.1,2.3,2.6,1.1,0.8,1.0,0.8,0.3,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.0,0.0,0.0,21.7,18.0,20.3,298.0,353.1,331.0,8.5,6.3,6.7,4,2022,DST
12,Browns,2.6,2.1,2.5,1.4,0.7,1.0,0.9,0.5,0.6,1.2,0.8,1.0,0.2,0.1,0.1,0.1,0.0,0.1,23.8,21.7,23.1,305.0,331.2,320.0,8.4,5.8,6.7,4,2022,DST
13,Cardinals,3.0,2.1,2.6,0.9,0.7,0.8,1.0,0.5,0.7,1.4,0.9,1.1,0.2,0.1,0.2,0.1,0.0,0.0,23.6,20.9,22.0,332.0,334.0,333.2,8.1,6.0,6.6,4,2022,DST
14,Colts,2.8,1.8,2.3,1.1,0.7,0.9,1.1,0.5,0.7,1.5,0.8,1.1,0.2,0.1,0.2,0.1,0.0,0.0,20.8,19.5,20.2,332.2,345.0,338.9,8.3,5.6,6.5,4,2022,DST
15,Bengals,2.5,2.2,2.4,1.0,0.8,0.9,0.7,0.5,0.6,1.0,0.9,1.0,0.2,0.1,0.2,0.1,0.0,0.0,23.7,19.0,21.7,345.0,361.5,355.5,7.6,5.9,6.4,4,2022,DST
16,Broncos,2.8,1.8,2.3,1.1,0.7,0.9,0.9,0.5,0.6,1.2,0.9,1.1,0.2,0.1,0.2,0.0,0.0,0.0,24.0,20.9,22.6,329.0,353.8,344.6,8.0,6.1,6.4,4,2022,DST
17,Lions,3.3,2.6,2.8,1.1,0.6,0.8,0.7,0.4,0.6,0.8,0.7,0.7,0.2,0.1,0.1,0.1,0.0,0.0,22.5,21.4,22.1,338.8,346.9,342.9,7.7,5.8,6.4,4,2022,DST
18,Titans,2.9,2.4,2.6,0.9,0.6,0.8,0.6,0.5,0.6,0.8,0.8,0.8,0.2,0.1,0.1,0.0,0.0,0.0,25.0,22.3,23.4,335.0,350.7,344.9,7.1,6.1,6.3,4,2022,DST
19,Ravens,2.2,1.2,1.9,1.1,0.8,0.9,0.8,0.6,0.7,1.0,0.9,1.0,0.2,0.1,0.1,0.0,0.0,0.0,27.7,23.6,25.7,374.8,393.0,386.2,6.7,5.7,5.8,4,2022,DST
