,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Jonathan Taylor,IND,23.0,18.5,20.9,130.0,80.4,104.1,1.8,0.6,1.0,3.0,2.2,2.6,24.0,17.8,21.1,0.2,0.0,0.1,0.1,0.2,0.1,18.6,14.8,18.7,4,2022,RB
1,Saquon Barkley,NYG,23.0,16.0,19.1,110.0,64.0,85.0,1.5,0.4,0.7,4.8,3.5,4.2,34.8,25.0,29.8,0.4,0.0,0.2,0.0,0.2,0.1,18.1,12.3,16.7,4,2022,RB
2,Christian McCaffrey,CAR,22.0,15.9,18.0,95.0,73.6,81.3,1.0,0.4,0.6,6.0,3.0,4.6,56.0,25.0,38.8,0.3,0.0,0.2,0.0,0.2,0.1,18.0,14.9,16.5,4,2022,RB
3,Austin Ekeler,LAC,18.0,10.0,13.0,90.0,30.0,55.3,1.0,0.3,0.5,6.0,4.3,5.0,49.0,36.1,42.1,0.5,0.0,0.3,0.0,0.2,0.1,14.9,11.9,14.5,4,2022,RB
4,Leonard Fournette,TB,22.0,15.4,18.6,87.0,65.1,73.6,1.0,0.4,0.7,5.1,2.7,4.0,37.0,17.3,27.2,0.1,0.0,0.1,0.0,0.2,0.1,17.6,13.0,14.3,4,2022,RB
5,Nick Chubb,CLE,18.5,13.7,17.2,99.6,68.7,88.2,1.0,0.4,0.7,2.0,1.0,1.5,14.4,7.0,11.0,0.1,0.0,0.1,0.1,0.2,0.1,17.0,11.4,14.3,4,2022,RB
6,Derrick Henry,TEN,22.0,18.6,20.6,99.7,69.2,85.3,1.0,0.4,0.7,2.1,1.6,1.9,18.0,13.2,15.5,0.1,0.0,0.1,0.1,0.2,0.1,16.3,11.8,14.3,4,2022,RB
7,Joe Mixon,CIN,17.9,15.0,16.7,73.0,62.7,68.0,1.0,0.4,0.6,4.1,3.0,3.5,32.0,22.8,27.2,0.5,0.0,0.2,0.1,0.2,0.1,15.3,13.2,14.2,4,2022,RB
8,Aaron Jones,GB,14.0,10.2,12.2,82.0,46.0,61.8,1.0,0.3,0.5,4.1,3.0,3.6,38.1,27.0,31.8,0.3,0.0,0.2,0.0,0.2,0.1,14.7,10.9,13.2,4,2022,RB
9,Najee Harris,PIT,20.0,15.2,17.3,74.0,50.3,64.1,1.0,0.4,0.6,4.0,2.9,3.5,29.0,20.0,22.8,0.3,0.0,0.2,0.0,0.2,0.1,15.8,10.5,13.0,4,2022,RB
