,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Evan McPherson,CIN,2.3,1.5,1.9,2.6,2.0,2.3,3.0,2.0,2.5,10.2,6.4,8.1,4,2022,K
1,Tyler Bass,BUF,3.0,1.4,1.8,3.0,1.6,2.2,3.1,2.2,2.7,12.0,6.3,8.1,4,2022,K
2,Chase McLaughlin,IND,3.0,1.6,2.0,3.0,2.1,2.4,2.6,1.0,2.1,10.0,6.9,8.0,4,2022,K
3,Younghoe Koo,ATL,2.1,1.4,1.9,2.5,2.0,2.2,2.9,2.0,2.3,9.3,6.8,7.9,4,2022,K
4,Daniel Carlson,LV,2.1,1.5,1.9,2.5,2.0,2.2,3.0,1.7,2.2,9.6,6.8,7.9,4,2022,K
5,Ryan Succop,TB,2.1,1.5,1.7,2.5,1.9,2.1,3.0,2.2,2.6,9.0,7.2,7.8,4,2022,K
6,Robbie Gould,SF,2.0,1.5,1.8,2.4,1.7,2.1,3.0,2.0,2.5,9.0,6.7,7.8,4,2022,K
7,Brett Maher,DAL,2.0,1.7,1.8,2.4,1.9,2.1,3.0,2.0,2.4,9.0,7.0,7.8,4,2022,K
8,Dustin Hopkins,LAC,2.1,1.5,1.7,2.7,1.8,2.1,3.0,1.8,2.5,9.2,6.3,7.7,4,2022,K
9,Greg Joseph,MIN,2.1,1.7,1.8,2.5,2.0,2.2,3.0,1.7,2.3,9.0,6.7,7.7,4,2022,K
10,Jake Elliott,PHI,2.2,1.5,1.8,2.6,1.8,2.1,3.0,0.6,2.3,9.5,5.5,7.6,4,2022,K
11,Mason Crosby,GB,2.1,1.4,1.7,2.6,1.8,2.0,2.9,2.0,2.4,9.1,6.7,7.5,4,2022,K
12,Eddy Pineiro,CAR,2.0,1.5,1.8,2.4,1.7,2.0,2.3,1.7,2.0,8.4,6.3,7.4,4,2022,K
13,Matt Gay,LAR,2.0,1.3,1.7,2.3,1.4,2.0,4.0,1.8,2.3,10.0,5.9,7.3,4,2022,K
14,Matt Prater,ARI,2.0,1.4,1.7,2.3,1.9,2.1,2.4,1.9,2.1,8.6,6.4,7.3,4,2022,K
15,Jason Sanders,MIA,2.1,1.5,1.7,2.4,1.7,2.0,2.5,2.0,2.2,8.8,6.5,7.3,4,2022,K
16,Brandon McManus,DEN,2.0,1.4,1.7,2.4,1.8,2.0,2.6,1.9,2.2,8.4,6.4,7.3,4,2022,K
17,Dominik Eberle,DET,1.6,1.4,1.5,2.2,1.8,1.9,3.0,2.4,2.7,8.3,6.9,7.2,4,2022,K
18,Chris Boswell,PIT,2.0,1.0,1.6,2.4,1.0,1.9,3.1,1.9,2.3,9.1,5.0,7.2,4,2022,K
19,Justin Tucker,BAL,2.1,1.0,1.6,2.5,1.0,1.8,3.0,1.9,2.4,9.7,6.0,7.2,4,2022,K
20,James McCourt,JAC,1.8,1.8,1.8,2.2,2.2,2.2,1.7,1.7,1.7,7.3,7.3,7.1,4,2022,K
21,Jason Myers,SEA,2.0,1.2,1.6,2.4,1.5,1.9,3.3,2.0,2.3,8.9,6.1,7.1,4,2022,K
22,Ka'imi Fairbairn,HOU,2.0,1.5,1.7,2.3,1.7,2.0,2.6,1.5,1.9,8.0,6.4,7.0,4,2022,K
23,Graham Gano,NYG,2.2,1.0,1.7,2.5,1.0,2.0,2.0,1.3,1.8,8.6,5.0,6.9,4,2022,K
24,Cade York,CLE,2.2,1.0,1.5,2.6,1.0,1.8,3.0,1.5,2.3,9.4,5.6,6.9,4,2022,K
25,Randy Bullock,TEN,1.9,1.0,1.5,2.2,1.0,1.7,3.0,1.7,2.2,7.6,5.8,6.6,4,2022,K
26,Joey Slye,WAS,1.9,1.0,1.5,2.2,1.0,1.8,3.0,1.4,2.0,8.4,5.6,6.6,4,2022,K
27,Matthew Wright,KC,1.7,1.3,1.5,2.0,1.5,1.8,2.5,1.7,2.1,8.3,5.6,6.6,4,2022,K
28,Greg Zuerlein,NYJ,2.0,1.3,1.6,2.3,1.5,1.9,2.0,1.5,1.7,8.0,5.5,6.6,4,2022,K
29,Wil Lutz,NO,1.9,1.0,1.5,2.2,1.0,1.7,3.0,1.5,2.1,7.8,6.0,6.5,4,2022,K
30,Nick Folk,NE,2.0,1.0,1.5,2.0,1.2,1.8,2.1,1.3,1.8,8.0,4.4,6.4,4,2022,K
31,Michael Badgley,CHI,1.6,1.4,1.4,1.9,1.7,1.8,2.3,1.7,1.9,6.5,5.9,6.2,4,2022,K
32,Riley Patterson,JAC,1.6,1.0,1.3,1.9,1.0,1.5,2.2,1.4,1.9,7.1,5.0,5.8,4,2022,K
