,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
20,Jameis Winston,NO,36.0,29.3,33.1,24.0,17.8,20.9,257.0,186.0,231.6,2.0,1.3,1.6,0.8,1.3,1.0,3.6,2.0,3.0,21.3,8.0,12.5,0.2,0.0,0.1,0.1,0.3,0.2,21.7,13.4,15.8,3,2022,QB
21,Jimmy Garoppolo,SF,36.0,30.2,32.0,24.0,19.0,21.1,282.0,240.0,249.4,2.0,1.3,1.5,0.7,1.1,0.9,2.6,1.0,2.0,7.1,3.0,4.3,0.1,0.0,0.1,0.1,0.3,0.2,21.0,13.8,15.6,3,2022,QB
22,Trevor Lawrence,JAC,38.0,33.0,35.8,24.2,20.0,22.2,257.4,225.7,239.1,1.5,1.0,1.3,0.7,1.1,0.9,3.9,3.0,3.4,19.7,8.0,15.7,0.2,0.0,0.1,0.0,0.2,0.1,17.7,12.9,15.5,3,2022,QB
23,Justin Fields,CHI,31.0,24.6,26.8,18.0,15.0,16.2,228.0,172.3,191.3,1.3,1.0,1.1,0.6,1.4,1.0,10.0,6.0,7.4,41.5,16.0,33.8,0.4,0.0,0.2,0.1,0.4,0.3,16.4,13.6,15.5,3,2022,QB
24,Geno Smith,SEA,33.0,25.4,30.7,23.0,18.1,20.6,237.1,195.0,221.0,1.6,1.0,1.4,0.0,1.1,0.6,3.7,2.5,3.0,14.0,7.0,11.3,0.2,0.0,0.1,0.1,0.3,0.2,16.3,13.8,15.4,3,2022,QB
25,Mac Jones,NE,39.0,31.3,34.3,26.0,20.0,22.3,262.0,235.0,249.7,1.6,1.0,1.3,0.8,1.1,1.0,3.3,1.0,2.6,13.5,5.0,9.0,0.1,0.0,0.0,0.1,0.3,0.2,16.7,12.7,15.2,3,2022,QB
26,Daniel Jones,NYG,35.0,26.0,31.6,22.0,16.0,19.5,226.6,193.0,208.6,1.2,1.0,1.1,0.7,1.1,0.9,7.6,4.0,5.7,34.5,18.0,25.9,0.3,0.0,0.1,0.2,0.4,0.3,15.9,13.6,14.8,3,2022,QB
27,Jacoby Brissett,CLE,37.0,27.2,31.6,23.0,17.2,20.1,237.0,183.6,206.7,1.4,1.0,1.2,0.0,0.9,0.6,5.2,3.1,4.1,19.3,13.8,16.1,0.2,0.0,0.1,0.1,0.3,0.2,17.4,12.9,14.3,3,2022,QB
28,Mitch Trubisky,PIT,37.0,28.0,34.2,24.0,17.0,21.6,246.3,181.0,222.8,1.5,1.0,1.1,0.7,1.0,0.9,3.9,2.0,3.0,19.7,6.5,12.6,0.2,0.0,0.1,0.0,0.2,0.1,16.6,11.1,14.2,3,2022,QB
29,Davis Mills,HOU,36.0,31.0,33.9,23.0,20.0,21.6,251.5,209.6,227.0,2.0,1.1,1.4,0.6,1.2,0.8,2.1,1.0,1.8,8.8,3.3,6.3,0.1,0.0,0.0,0.1,0.4,0.2,20.1,10.8,14.2,3,2022,QB
30,Cooper Rush,DAL,36.5,29.0,33.9,22.0,18.0,20.8,253.0,216.0,229.1,1.5,1.0,1.2,0.7,1.0,0.9,4.0,1.6,2.4,17.1,2.0,7.9,0.2,0.0,0.1,0.1,0.2,0.2,15.6,11.9,13.9,3,2022,QB
31,Baker Mayfield,CAR,35.0,30.0,33.0,21.0,18.0,19.7,242.0,203.0,220.8,1.3,1.0,1.2,0.8,1.0,0.9,4.0,2.9,3.3,15.4,3.0,10.6,0.1,0.0,0.1,0.1,0.4,0.2,16.3,11.2,13.7,3,2022,QB
32,Chase Daniel,LAC,34.9,11.4,23.1,23.7,7.3,15.5,249.4,75.6,188.0,1.6,0.5,1.2,0.3,1.1,0.8,2.2,0.5,1.3,14.7,1.2,8.4,0.1,0.0,0.1,0.0,0.1,0.0,16.5,4.5,12.6,3,2022,QB
33,Drew Lock,SEA,2.8,2.8,2.8,2.0,2.0,2.0,21.6,21.6,21.6,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.3,3,2022,QB
