,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Cowboys,3.2,2.4,2.8,1.1,0.7,0.9,0.9,0.5,0.7,1.2,0.8,1.0,0.2,0.1,0.2,0.1,0.0,0.0,20.3,17.7,19.4,296.0,333.0,319.1,8.5,6.2,8.0,3,2022,DST
1,Texans,3.9,2.6,3.1,1.5,0.6,1.0,0.8,0.4,0.6,0.7,0.7,0.7,0.2,0.1,0.2,0.1,0.0,0.0,25.9,20.0,21.9,298.0,309.8,304.1,10.2,6.1,7.5,3,2022,DST
2,Bears,3.2,2.0,2.6,1.2,0.6,0.8,0.7,0.5,0.6,1.0,0.9,0.9,0.2,0.1,0.2,0.1,0.1,0.1,19.6,16.0,17.8,274.0,336.9,311.8,8.4,5.8,7.5,3,2022,DST
3,Chargers,2.5,1.5,2.2,1.0,0.7,0.9,0.7,0.5,0.6,1.0,0.9,1.0,0.2,0.1,0.2,0.1,0.0,0.0,20.1,18.9,19.6,319.0,349.0,333.7,7.1,6.2,7.2,3,2022,DST
4,Browns,2.5,2.1,2.3,1.0,0.7,0.9,0.6,0.4,0.5,0.9,0.8,0.8,0.2,0.1,0.2,0.1,0.0,0.0,20.2,16.5,17.5,264.0,333.4,305.9,8.4,5.8,7.2,3,2022,DST
5,Bengals,2.8,2.1,2.4,1.0,0.7,0.8,0.6,0.5,0.6,0.8,0.8,0.8,0.2,0.1,0.2,0.1,0.0,0.0,20.8,18.0,19.3,314.0,345.5,330.3,7.3,5.9,7.1,3,2022,DST
6,Saints,3.5,2.3,2.8,1.0,0.8,0.9,0.8,0.5,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.1,0.0,0.0,21.5,19.2,20.0,288.0,335.3,316.3,9.5,5.7,7.0,3,2022,DST
7,Buccaneers,3.2,2.2,2.6,0.8,0.3,0.5,1.0,0.4,0.7,1.4,0.9,1.1,0.2,0.1,0.2,0.0,0.0,0.0,21.6,18.5,20.0,324.0,345.3,336.8,7.7,5.8,7.0,3,2022,DST
8,Panthers,2.9,2.5,2.7,1.3,0.8,1.1,0.7,0.5,0.6,0.9,0.7,0.8,0.2,0.1,0.2,0.0,0.0,0.0,22.5,21.3,21.8,278.0,343.0,320.7,9.1,6.6,7.0,3,2022,DST
9,Jets,4.6,2.7,3.2,0.9,0.5,0.7,0.8,0.5,0.6,0.9,0.6,0.8,0.2,0.1,0.2,0.1,0.0,0.0,28.4,24.4,25.7,346.6,375.3,361.9,9.7,6.1,7.0,3,2022,DST
10,Bills,3.4,2.3,2.7,1.2,0.6,1.0,1.0,0.4,0.6,1.4,0.6,1.0,0.2,0.1,0.2,0.0,0.0,0.0,24.5,19.9,22.3,312.0,366.2,346.8,9.0,5.7,6.9,3,2022,DST
11,Chiefs,3.4,1.8,2.6,1.1,0.6,0.9,0.9,0.5,0.7,1.2,0.7,1.0,0.2,0.1,0.2,0.0,0.0,0.0,23.0,21.2,22.5,346.8,352.5,350.1,8.5,6.3,6.7,3,2022,DST
12,Rams,2.9,2.3,2.6,1.1,0.6,0.9,0.8,0.5,0.6,0.9,0.7,0.8,0.2,0.1,0.2,0.0,0.0,0.0,24.6,21.1,22.6,310.0,359.6,340.8,8.0,5.7,6.7,3,2022,DST
13,Eagles,2.8,2.0,2.6,1.0,0.6,0.8,0.6,0.6,0.6,0.9,0.8,0.8,0.2,0.1,0.2,0.0,0.0,0.0,23.3,19.7,21.2,305.0,347.2,326.9,8.0,6.0,6.4,3,2022,DST
14,Raiders,3.4,2.0,2.5,1.0,0.7,0.8,0.8,0.5,0.6,1.1,0.8,0.9,0.2,0.1,0.2,0.0,0.0,0.0,25.0,21.8,22.9,310.0,345.2,333.0,8.4,5.7,6.4,3,2022,DST
15,Vikings,2.9,2.0,2.5,0.9,0.7,0.8,0.7,0.4,0.6,0.9,0.7,0.8,0.2,0.1,0.2,0.1,0.0,0.0,23.0,19.4,21.6,326.2,348.6,336.3,7.4,5.3,6.3,3,2022,DST
16,Broncos,2.4,2.0,2.1,1.1,0.7,0.9,0.7,0.5,0.6,0.9,0.9,0.9,0.2,0.1,0.2,0.0,0.0,0.0,23.0,20.2,21.8,353.2,366.0,360.6,7.3,6.0,6.3,3,2022,DST
17,Patriots,2.9,2.2,2.5,1.0,0.7,0.8,0.6,0.5,0.5,0.8,0.7,0.8,0.2,0.1,0.1,0.0,0.0,0.0,25.7,20.2,23.1,360.1,378.0,368.4,7.6,5.5,6.2,3,2022,DST
18,49ers,3.1,2.5,2.8,0.9,0.5,0.7,0.9,0.5,0.6,1.3,0.7,1.0,0.2,0.1,0.2,0.0,0.0,0.0,23.1,19.5,21.2,301.0,357.0,335.8,7.6,5.6,6.2,3,2022,DST
19,Titans,2.7,2.0,2.4,1.0,0.7,0.8,0.8,0.5,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.0,0.0,0.0,24.2,20.6,23.3,358.7,371.0,366.6,7.5,6.1,6.2,3,2022,DST
20,Seahawks,3.2,1.4,2.3,1.1,0.6,0.8,0.8,0.5,0.6,1.1,0.7,0.9,0.2,0.1,0.2,0.1,0.0,0.1,21.3,17.9,20.0,324.0,340.8,332.1,8.0,5.6,6.2,3,2022,DST
21,Cardinals,2.7,1.5,2.2,1.1,0.8,1.0,0.8,0.3,0.6,1.1,1.0,1.0,0.2,0.1,0.2,0.0,0.0,0.0,26.5,22.3,25.3,361.6,369.0,366.0,7.2,5.1,6.2,3,2022,DST
22,Jaguars,3.0,2.0,2.4,1.1,0.8,0.9,0.6,0.3,0.5,0.8,0.4,0.6,0.2,0.1,0.1,0.0,0.0,0.0,27.4,23.0,24.9,335.7,365.5,350.1,7.8,5.0,6.1,3,2022,DST
23,Ravens,2.1,1.3,1.8,1.1,0.8,1.0,0.7,0.5,0.6,1.0,0.9,1.0,0.2,0.1,0.2,0.0,0.0,0.0,24.2,19.2,21.6,331.0,355.9,347.2,7.8,6.1,6.1,3,2022,DST
24,Dolphins,2.5,1.6,2.1,1.2,0.8,0.9,0.9,0.5,0.6,1.3,0.9,1.1,0.2,0.1,0.1,0.0,0.0,0.0,29.0,23.0,26.9,363.4,385.0,376.5,7.0,5.5,6.0,3,2022,DST
25,Giants,2.7,1.9,2.2,1.0,0.6,0.8,0.8,0.4,0.6,1.2,0.7,0.9,0.2,0.1,0.2,0.1,0.0,0.0,25.9,18.5,20.8,334.1,343.0,339.5,7.7,5.8,6.0,3,2022,DST
26,Falcons,3.2,2.0,2.6,1.1,0.5,0.7,0.7,0.5,0.6,0.9,0.8,0.8,0.2,0.1,0.1,0.0,0.0,0.0,24.0,21.5,22.4,320.0,335.5,329.0,7.5,5.2,5.9,3,2022,DST
27,Steelers,2.7,2.0,2.5,1.0,0.6,0.7,0.7,0.4,0.6,0.9,0.7,0.8,0.2,0.1,0.1,0.0,0.0,0.0,23.0,19.6,21.1,319.2,334.0,325.7,7.4,4.9,5.9,3,2022,DST
28,Commanders,2.3,1.6,2.1,0.8,0.7,0.8,0.7,0.5,0.6,0.8,0.7,0.8,0.2,0.1,0.1,0.0,0.0,0.0,27.0,22.4,25.5,364.0,383.6,376.9,6.2,5.2,5.6,3,2022,DST
29,Packers,2.2,1.8,2.0,1.0,0.6,0.8,0.6,0.4,0.5,0.8,0.6,0.7,0.2,0.1,0.1,0.0,0.0,0.0,25.6,21.0,22.7,337.0,379.5,351.8,6.7,5.0,5.5,3,2022,DST
30,Colts,2.2,1.0,1.7,0.8,0.6,0.6,0.9,0.5,0.6,1.3,0.8,1.0,0.2,0.1,0.1,0.0,0.0,0.0,28.5,22.8,26.6,368.4,397.0,386.9,5.9,4.5,5.2,3,2022,DST
31,Lions,2.3,1.6,1.9,0.9,0.6,0.7,0.7,0.4,0.5,0.7,0.6,0.7,0.1,0.1,0.1,0.0,0.0,0.0,29.9,26.1,28.3,353.9,394.0,377.0,6.1,4.3,5.2,3,2022,DST
