,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Cooper Kupp,LAR,9.0,7.7,8.3,116.9,93.5,105.1,1.0,0.7,0.9,0.2,0.0,0.2,1.9,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.1,17.9,13.7,15.7,3,2022,WR
1,Justin Jefferson,MIN,7.2,6.4,6.9,130.0,90.2,103.7,0.9,0.7,0.8,0.3,0.0,0.1,2.6,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.1,18.5,13.6,15.0,3,2022,WR
2,Davante Adams,LV,9.6,7.0,7.9,106.0,92.0,98.3,0.7,0.5,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.0,12.5,13.5,3,2022,WR
3,Deebo Samuel,SF,5.6,4.2,4.6,80.0,54.8,67.3,0.4,0.3,0.3,6.2,4.2,5.0,41.3,23.3,30.1,0.4,0.1,0.2,0.0,0.2,0.1,15.0,11.4,13.0,3,2022,WR
4,Ja'Marr Chase,CIN,6.1,5.4,5.8,96.5,81.2,88.9,0.7,0.5,0.6,0.9,0.3,0.6,5.2,1.0,2.8,0.0,0.0,0.0,0.0,0.1,0.1,14.1,12.1,12.8,3,2022,WR
5,Stefon Diggs,BUF,7.2,6.8,6.9,94.4,80.0,85.8,0.7,0.6,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,13.0,11.9,12.3,3,2022,WR
6,AJ Brown,PHI,5.6,5.3,5.4,84.6,71.5,81.0,0.6,0.4,0.5,0.3,0.0,0.1,1.9,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,12.1,10.6,11.3,3,2022,WR
7,Tyreek Hill,MIA,7.2,5.6,6.4,92.2,65.0,76.6,0.6,0.4,0.5,0.7,0.4,0.6,4.6,1.9,3.3,0.0,0.0,0.0,0.0,0.1,0.1,12.5,9.6,11.1,3,2022,WR
8,Amon-Ra St,DET,7.2,5.9,6.6,75.1,64.0,69.9,0.5,0.5,0.5,0.7,0.3,0.5,11.6,1.0,4.7,0.0,0.0,0.0,0.0,0.1,0.1,10.9,9.3,10.4,3,2022,WR
9,Tee Higgins,CIN,5.9,4.6,5.1,79.0,62.4,72.0,0.5,0.4,0.5,0.1,0.0,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,11.0,8.8,9.9,3,2022,WR
