,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Jonathan Taylor,IND,21.0,16.7,19.5,113.0,87.6,98.8,0.9,0.5,0.8,3.6,2.2,2.6,29.0,18.6,21.5,0.3,0.1,0.1,0.1,0.2,0.1,18.6,15.4,17.1,3,2022,RB
1,Dalvin Cook,MIN,18.9,16.7,17.8,83.6,75.1,79.8,0.8,0.6,0.7,3.7,2.8,3.2,28.4,19.0,24.0,0.3,0.0,0.1,0.1,0.2,0.1,17.0,13.4,14.7,3,2022,RB
2,Christian McCaffrey,CAR,17.2,15.0,16.5,79.0,61.8,71.6,0.6,0.3,0.4,5.4,4.3,4.8,44.7,31.0,38.9,0.2,0.2,0.2,0.0,0.2,0.1,16.8,13.3,14.7,3,2022,RB
3,Derrick Henry,TEN,24.2,20.3,22.5,110.5,69.7,95.0,0.8,0.5,0.7,1.6,1.0,1.4,12.8,7.9,10.4,0.1,0.0,0.1,0.1,0.3,0.1,17.2,11.6,14.6,3,2022,RB
4,Joe Mixon,CIN,21.5,17.4,20.1,87.9,61.3,78.3,0.7,0.5,0.6,3.6,2.5,3.1,30.6,18.0,24.5,0.2,0.1,0.1,0.1,0.2,0.1,16.2,13.6,14.6,3,2022,RB
5,Saquon Barkley,NYG,18.4,16.0,17.0,84.6,60.0,75.1,0.6,0.4,0.5,5.5,3.5,4.2,35.0,27.7,30.0,0.3,0.1,0.2,0.0,0.2,0.1,15.7,13.2,14.2,3,2022,RB
6,Austin Ekeler,LAC,14.1,12.4,13.3,61.8,38.0,53.1,0.5,0.3,0.5,6.3,3.9,4.7,55.0,30.5,40.8,0.5,0.2,0.3,0.0,0.2,0.1,14.2,13.3,13.6,3,2022,RB
7,Leonard Fournette,TB,19.8,14.8,16.7,82.4,58.0,69.4,0.5,0.4,0.5,4.0,2.8,3.6,31.6,20.0,24.8,0.2,0.1,0.1,0.0,0.2,0.1,14.3,10.1,12.9,3,2022,RB
8,Nick Chubb,CLE,17.4,14.6,16.4,94.6,72.8,83.1,0.6,0.4,0.5,1.9,1.2,1.6,15.5,10.2,12.4,0.1,0.1,0.1,0.1,0.2,0.1,14.3,11.2,12.8,3,2022,RB
9,David Montgomery,CHI,18.6,16.0,17.6,76.6,63.0,70.3,0.5,0.4,0.5,3.1,2.2,2.7,27.0,16.2,22.5,0.2,0.0,0.1,0.0,0.2,0.1,13.7,11.6,12.5,3,2022,RB
10,Alvin Kamara,NO,15.9,12.0,13.4,69.9,48.5,56.7,0.5,0.3,0.4,4.5,3.0,3.6,37.6,24.9,30.9,0.3,0.2,0.2,0.0,0.2,0.1,13.9,11.2,12.0,3,2022,RB
11,Aaron Jones,GB,11.5,9.4,10.2,60.8,44.5,53.1,0.3,0.2,0.3,4.5,3.4,4.1,42.3,26.7,34.3,0.3,0.2,0.2,0.0,0.1,0.1,13.7,10.3,11.5,3,2022,RB
