,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
60,Zach Gentry,PIT,1.3,0.7,1.1,13.0,7.2,10.5,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.7,1.3,3,2022,TE
61,Nick Boyle,BAL,0.8,0.8,0.8,6.8,6.8,6.8,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,3,2022,TE
62,Adam Trautman,NO,1.1,0.6,0.9,13.0,5.2,9.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.5,1.3,3,2022,TE
63,Jake Tonges,CHI,0.8,0.5,0.7,8.4,5.6,7.0,0.1,0.1,0.1,0.0,0.0,0.0,1.4,1.2,1.3,3,2022,TE
64,James Mitchell,DET,0.7,0.7,0.7,6.4,6.4,6.4,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
65,Tommy Sweeney,BUF,0.7,0.7,0.7,6.4,6.4,6.4,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
66,Ko Kieft,TB,1.0,0.7,0.8,10.8,7.2,8.7,0.1,0.0,0.1,0.0,0.0,0.0,1.6,1.0,1.2,3,2022,TE
67,Reggie Gilliam,BUF,0.8,0.8,0.8,6.2,6.2,6.2,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
68,Nick Vannett,NO,0.6,0.6,0.6,6.1,6.1,6.1,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
69,Cole Turner,WAS,0.7,0.7,0.7,5.9,5.9,5.9,0.1,0.1,0.1,0.0,0.0,0.0,1.2,1.2,1.2,3,2022,TE
70,Kendall Blanton,LAR,1.2,0.2,0.7,11.2,3.0,7.4,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.4,1.1,3,2022,TE
71,Chigoziem Okonkwo,TEN,1.1,0.6,0.9,11.0,5.4,8.2,0.1,0.0,0.1,0.0,0.0,0.0,1.6,0.5,1.1,3,2022,TE
72,Tre' McKitty,LAC,1.0,0.8,0.9,10.0,6.2,8.1,0.1,0.0,0.1,0.0,0.0,0.0,1.4,0.6,1.1,3,2022,TE
73,Josiah Deguara,GB,0.9,0.7,0.8,11.0,6.8,9.3,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.7,1.1,3,2022,TE
74,Tommy Tremble,CAR,1.4,0.5,1.0,11.7,4.0,7.9,0.1,0.0,0.1,0.0,0.0,0.0,1.8,0.6,1.1,3,2022,TE
75,Chris Myarick,NYG,0.7,0.6,0.7,6.0,3.7,4.9,0.2,0.0,0.1,0.0,0.0,0.0,1.6,0.8,1.1,3,2022,TE
76,Jordan Akins,HOU,1.3,0.5,0.9,11.0,4.6,8.4,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.5,1.1,3,2022,TE
77,Andrew Beck,DEN,0.9,0.3,0.6,11.1,3.0,7.1,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.5,1.0,3,2022,TE
78,Marcedes Lewis,GB,1.3,0.7,1.0,14.0,5.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,1.0,3,2022,TE
79,Mitchell Wilcox,CIN,0.8,0.4,0.7,8.4,4.0,6.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.6,1.0,3,2022,TE
80,Quintin Morris,BUF,0.7,0.6,0.7,7.3,6.0,6.7,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.9,1.0,3,2022,TE
81,Devin Asiasi,CIN,0.8,0.2,0.5,10.9,2.0,6.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.3,0.9,3,2022,TE
82,Taysom Hill,NO,1.2,0.3,0.8,14.8,3.0,8.9,0.1,0.0,0.1,0.0,0.3,0.2,2.1,1.3,0.9,3,2022,TE
83,Maxx Williams,ARI,0.7,0.4,0.6,7.5,4.0,5.8,0.1,0.0,0.1,0.0,0.0,0.0,1.4,0.5,0.9,3,2022,TE
84,Eric Tomlinson,DEN,0.8,0.3,0.6,8.0,2.8,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.1,0.3,0.8,3,2022,TE
85,Jesper Horsted,LV,0.8,0.2,0.5,8.8,2.0,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.5,0.3,0.8,3,2022,TE
86,Chris Manhertz,JAC,0.7,0.4,0.6,6.7,4.0,5.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.5,0.8,3,2022,TE
87,Richard Rodgers,LAC,0.7,0.7,0.7,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,3,2022,TE
88,Jeremy Ruckert,NYJ,0.7,0.2,0.5,6.7,3.0,4.9,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.3,0.8,3,2022,TE
89,Ben Ellefson,MIN,0.7,0.2,0.5,6.7,2.0,4.4,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.3,0.7,3,2022,TE
90,Grant Calcaterra,PHI,0.6,0.2,0.4,6.6,2.0,4.3,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.2,0.7,3,2022,TE
91,Stephen Sullivan,CAR,0.7,0.6,0.7,7.0,6.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,3,2022,TE
92,Trey McBride,ARI,0.7,0.0,0.4,6.6,0.0,3.3,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.1,0.6,3,2022,TE
93,Josh Oliver,BAL,0.7,0.6,0.7,6.0,5.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.6,3,2022,TE
94,Jack Stoll,PHI,0.6,0.5,0.6,5.5,5.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.5,3,2022,TE
95,Kevin Rader,TEN,0.6,0.6,0.6,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3,2022,TE
96,Trevon Wesco,CHI,0.4,0.4,0.4,5.0,4.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,3,2022,TE
97,Charlie Woerner,SF,0.6,0.3,0.5,6.1,3.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.5,3,2022,TE
98,Armani Rogers,WAS,0.7,0.2,0.5,6.5,2.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.4,3,2022,TE
99,Luke Farrell,JAC,0.7,0.2,0.5,6.1,2.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.4,3,2022,TE
100,Shane Zylstra,DET,0.7,0.1,0.4,6.9,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.4,3,2022,TE
101,Miller Forristall,CLE,0.4,0.4,0.4,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,3,2022,TE
102,Tanner Conner,MIA,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,3,2022,TE
103,Stephen Anderson,ARI,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,3,2022,TE
104,Giovanni Ricci,CAR,0.2,0.1,0.2,2.0,1.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,3,2022,TE
105,Connor Heyward,PIT,0.1,0.1,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,3,2022,TE
106,Jacob Harris,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,TE
