,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Tristan Vizcaino,NE,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,9.0,9.0,9.0,3,2022,K
1,Greg Joseph,MIN,2.5,1.0,1.9,2.8,1.0,2.1,3.0,2.3,2.7,10.5,6.0,8.3,3,2022,K
2,Evan McPherson,CIN,2.3,1.5,1.9,2.6,1.9,2.2,2.8,1.5,2.3,10.1,6.0,8.0,3,2022,K
3,Daniel Carlson,LV,2.2,1.4,1.9,2.5,1.9,2.2,3.0,2.0,2.4,9.2,6.4,8.0,3,2022,K
4,Justin Tucker,BAL,2.1,1.5,1.8,2.5,1.8,2.1,3.0,2.1,2.5,9.5,6.9,8.0,3,2022,K
5,Tyler Bass,BUF,2.4,1.0,1.6,2.8,1.0,1.9,3.0,2.1,2.7,10.4,6.0,7.6,3,2022,K
6,Robbie Gould,SF,2.1,1.6,1.8,2.4,1.9,2.1,2.3,2.0,2.1,9.2,7.0,7.6,3,2022,K
7,Younghoe Koo,ATL,2.1,1.4,1.8,2.4,1.9,2.1,2.6,1.9,2.1,9.0,6.8,7.6,3,2022,K
8,Randy Bullock,TEN,2.0,1.4,1.7,2.4,1.7,2.0,3.0,2.0,2.5,9.0,6.5,7.6,3,2022,K
9,Dustin Hopkins,LAC,2.1,1.4,1.7,2.5,1.7,2.0,3.2,2.0,2.4,8.8,6.5,7.5,3,2022,K
10,Chase McLaughlin,IND,2.1,1.4,1.7,2.5,1.7,2.0,3.0,2.0,2.3,9.0,6.5,7.5,3,2022,K
11,Matt Prater,ARI,2.0,1.4,1.7,2.4,1.8,2.0,3.0,2.0,2.4,9.0,6.4,7.5,3,2022,K
12,Matt Gay,LAR,2.1,1.0,1.7,2.7,1.0,2.0,3.0,1.9,2.6,9.3,6.0,7.5,3,2022,K
13,Ryan Succop,TB,2.0,1.3,1.7,2.4,1.6,2.0,3.1,2.0,2.5,9.0,6.1,7.5,3,2022,K
14,James McCourt,JAC,1.9,1.9,1.9,2.2,2.2,2.2,1.7,1.7,1.7,7.8,7.8,7.4,3,2022,K
15,Graham Gano,NYG,2.0,1.5,1.8,2.3,2.0,2.2,2.0,1.7,1.8,8.2,6.2,7.3,3,2022,K
16,Austin Seibert,DET,2.2,1.0,1.6,2.4,1.0,1.8,3.0,2.0,2.4,8.7,6.0,7.3,3,2022,K
17,Brandon McManus,DEN,2.0,1.4,1.7,2.4,1.7,2.0,3.0,1.6,2.1,9.0,6.0,7.3,3,2022,K
18,Jake Elliott,PHI,2.2,1.0,1.6,2.7,1.0,1.9,3.0,0.0,2.3,9.7,4.7,7.2,3,2022,K
19,Joey Slye,WAS,2.0,1.4,1.7,2.3,1.5,2.0,2.3,1.7,2.0,8.4,5.9,7.1,3,2022,K
20,Wil Lutz,NO,2.0,1.6,1.7,2.4,1.9,2.1,2.4,1.8,2.1,8.5,6.8,7.1,3,2022,K
21,Matt Ammendola,KC,2.1,1.0,1.5,2.9,1.0,1.9,2.9,2.0,2.6,8.6,5.0,7.0,3,2022,K
22,Jason Sanders,MIA,2.2,1.0,1.6,2.5,1.0,1.9,2.4,1.9,2.1,9.3,5.0,7.0,3,2022,K
23,Brett Maher,DAL,1.9,1.5,1.7,2.2,1.6,1.9,2.2,1.7,1.9,7.7,6.2,6.9,3,2022,K
24,Nick Folk,NE,2.0,1.0,1.5,2.3,1.0,1.8,3.0,1.9,2.4,8.2,5.8,6.9,3,2022,K
25,Jason Myers,SEA,2.0,1.0,1.5,2.4,1.0,1.8,3.0,2.0,2.4,8.9,6.0,6.9,3,2022,K
26,Eddy Pineiro,CAR,1.9,1.5,1.7,2.2,1.9,2.0,1.9,1.6,1.7,7.7,6.1,6.8,3,2022,K
27,Cairo Santos,CHI,2.0,1.0,1.5,2.3,1.0,1.8,2.9,1.8,2.2,8.5,5.0,6.8,3,2022,K
28,Mason Crosby,GB,1.9,1.0,1.4,2.3,1.0,1.7,4.0,1.8,2.5,7.9,5.3,6.7,3,2022,K
29,Riley Patterson,JAC,1.7,1.4,1.5,2.0,1.6,1.8,2.5,1.9,2.1,8.2,6.0,6.7,3,2022,K
30,Greg Zuerlein,NYJ,1.9,1.0,1.5,2.3,1.8,2.0,4.0,1.7,2.2,8.0,6.0,6.6,3,2022,K
31,Cade York,CLE,1.9,1.3,1.6,2.4,1.5,2.0,2.0,1.6,1.8,7.9,5.9,6.6,3,2022,K
32,Chris Boswell,PIT,1.8,1.0,1.5,2.1,1.0,1.7,3.0,1.4,1.9,7.8,5.3,6.4,3,2022,K
33,Ka'imi Fairbairn,HOU,1.8,1.3,1.5,2.2,1.5,1.8,1.9,1.4,1.7,7.5,5.3,6.3,3,2022,K
