QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST
Ryan Fitzpatrick (13974235),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Keenan Allen (13974490),Mike Williams (13974532),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Philip Rivers (13974241),Melvin Gordon III (13974322),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Courtland Sutton (13974498),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Matt Ryan (13974233),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Ryan Fitzpatrick (13974235),Adrian Peterson (13974332),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Tyler Boyd (13974510),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Philip Rivers (13974241),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Keenan Allen (13974490),Mike Williams (13974532),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Philip Rivers (13974241),Adrian Peterson (13974332),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Courtland Sutton (13974498),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Terry McLaurin (13974496),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Patrick Laird (13974340),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Philip Rivers (13974241),Adrian Peterson (13974332),Chris Carson (13974288),Michael Thomas (13974470),Mike Williams (13974532),Terry McLaurin (13974496),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
