"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.0","96.8","0.6","0.0","-0.1","0.0","0.1","13.3"
"Julio Jones","ATL","6.6","96.7","0.6","0.1","0.5","0.0","0.1","13.2"
"DeAndre Hopkins","HOU","7.4","89.3","0.7","0.1","0.6","0.0","0.1","12.9"
"Tyreek Hill","KC","5.4","81.8","0.6","1.0","5.8","0.0","0.1","12.4"
"Devante Parker","MIA","5.0","77.2","0.6","0.0","0.0","0.0","0.0","11.1"
"Tyler Lockett","SEA","5.1","70.1","0.6","0.3","1.6","0.0","0.0","10.9"
"Davante Adams","GB","6.2","76.2","0.5","0.0","0.3","0.0","0.1","10.7"
"A.J. Brown","TEN","4.6","73.6","0.5","0.2","1.2","0.0","0.0","10.7"
"Courtland Sutton","DEN","4.9","73.9","0.5","0.1","0.8","0.0","0.0","10.6"
"Keenan Allen","LAC","5.9","73.9","0.5","0.2","1.3","0.0","0.0","10.6"
"Breshad Perriman","TB","4.3","69.4","0.6","0.3","1.7","0.0","0.0","10.5"
"Amari Cooper","DAL","5.2","72.8","0.5","0.0","0.1","0.0","0.0","10.5"
"D.J. Moore","CAR","5.6","73.0","0.5","0.4","3.4","0.0","0.1","10.4"
"Stefon Diggs","MIN","4.8","72.0","0.5","0.4","2.4","0.0","0.0","10.4"
"Terry McLaurin","WAS","4.5","67.4","0.6","0.0","0.3","0.0","0.0","10.3"
"Adam Thielen","MIN","4.7","64.0","0.6","0.2","0.9","0.0","0.0","9.8"
"Allen Robinson","CHI","5.3","67.9","0.5","0.0","0.1","0.0","0.1","9.7"
"Julian Edelman","NE","6.2","68.1","0.4","0.6","3.6","0.0","0.1","9.7"
"Will Fuller","HOU","4.5","66.5","0.5","0.0","0.3","0.0","0.0","9.6"
"D.K. Metcalf","SEA","4.2","61.7","0.6","0.0","0.3","0.0","0.1","9.5"
"Jarvis Landry","CLE","5.3","67.0","0.4","0.1","0.9","0.0","0.1","9.2"
"Kenny Golladay","DET","4.2","64.3","0.4","0.1","0.6","0.0","0.0","9.1"
"Michael Gallup","DAL","4.2","64.7","0.4","0.0","0.0","0.0","0.0","9.1"
"Tyler Boyd","CIN","5.3","63.6","0.4","0.2","1.7","0.0","0.1","9.1"
"Mike Williams","LAC","3.5","61.7","0.5","0.1","0.5","0.0","0.0","9.0"
"T.Y. Hilton","IND","4.2","58.6","0.5","0.0","0.0","0.0","0.0","8.7"
"Marquise Brown","BAL","3.8","51.9","0.5","0.3","2.7","0.0","0.0","8.5"
"Sterling Shepard","NYG","4.8","57.7","0.4","0.4","3.2","0.0","0.1","8.5"
"Darius Slayton","NYG","3.5","54.4","0.5","0.1","0.5","0.0","0.0","8.4"
"John Brown","BUF","4.2","60.6","0.4","0.1","0.3","0.0","0.0","8.3"
"Jamison Crowder","NYJ","5.1","56.0","0.4","0.1","0.9","0.0","0.0","8.0"
"Emmanuel Sanders","SF","4.4","53.9","0.4","0.1","0.9","0.0","0.0","8.0"
"Cooper Kupp","LAR","5.1","61.1","0.3","0.2","1.0","0.0","0.1","7.8"
"Christian Kirk","ARI","4.6","52.8","0.4","0.5","4.5","0.0","0.1","7.7"
"Robert Woods","LAR","5.1","63.0","0.2","0.8","5.5","0.0","0.1","7.7"
"Anthony Miller","CHI","4.4","58.4","0.3","0.1","0.5","0.0","0.0","7.4"
"Odell Beckham Jr.","CLE","4.7","62.2","0.2","0.1","0.6","0.0","0.0","7.4"
"D.J. Chark","JAC","4.1","57.7","0.3","0.0","0.4","0.0","0.0","7.4"
"Dede Westbrook","JAC","4.4","50.9","0.4","0.3","1.9","0.0","0.1","7.3"
"Chris Conley","JAC","3.4","49.1","0.4","0.0","0.0","0.0","0.0","7.1"
"Tyrell Williams","OAK","3.6","47.6","0.4","0.0","0.3","0.0","0.0","7.0"
"Deebo Samuel","SF","4.1","50.7","0.2","0.5","3.7","0.0","0.0","6.9"
"Robby Anderson","NYJ","3.4","52.8","0.2","0.1","0.8","0.0","0.0","6.5"
"Justin Watson","TB","4.0","51.2","0.2","0.0","0.0","0.0","0.0","6.4"
"Curtis Samuel","CAR","3.4","42.6","0.2","1.0","7.3","0.0","0.0","6.3"
"Sammy Watkins","KC","3.8","49.4","0.2","0.1","0.5","0.0","0.0","6.2"
"John Ross","CIN","3.1","45.8","0.3","0.1","0.6","0.0","0.0","6.2"
"JuJu Smith-Schuster","PIT","3.3","41.7","0.3","0.0","0.2","0.0","0.0","6.2"
"Zach Pascal","IND","3.5","45.5","0.2","0.1","0.9","0.0","0.0","6.0"
"Golden Tate","NYG","4.0","48.9","0.2","0.1","0.8","0.0","0.0","6.0"
"Danny Amendola","DET","5.0","51.5","0.1","0.0","0.1","0.0","0.0","5.7"
"Cole Beasley","BUF","4.7","48.7","0.1","0.0","0.0","0.0","0.0","5.6"
"Corey Davis","TEN","3.2","44.3","0.2","0.1","0.6","0.0","0.0","5.5"
"Larry Fitzgerald","ARI","4.3","46.4","0.2","0.0","0.3","0.0","0.0","5.5"
"Albert Wilson","MIA","3.7","41.8","0.2","0.6","3.5","0.0","0.0","5.4"
"Kenny Stills","HOU","3.1","39.9","0.2","0.0","0.0","0.0","0.0","5.3"
"Greg Ward","PHI","3.7","39.2","0.2","0.3","1.9","0.0","0.1","5.2"
"James Washington","PIT","3.0","43.7","0.2","0.0","0.3","0.0","0.1","5.2"
"Russell Gage","ATL","3.7","39.7","0.2","0.3","1.8","0.0","0.1","5.2"
"Diontae Johnson","PIT","3.4","39.9","0.2","0.3","2.5","0.0","0.1","5.1"
"Randall Cobb","DAL","3.3","40.9","0.2","0.3","1.2","0.0","0.0","5.0"
"Alex Erickson","CIN","3.3","39.7","0.1","0.2","0.9","0.0","0.1","4.6"
"Brandin Cooks","LAR","2.6","36.8","0.1","0.3","2.0","0.0","0.0","4.4"
"Steven Sims","WAS","3.1","32.5","0.1","0.2","1.8","0.0","0.0","4.4"
"Allen Hurns","MIA","2.7","35.1","0.1","0.0","0.2","0.0","0.0","4.2"
"Kelvin Harmon","WAS","2.6","33.0","0.1","0.0","0.0","0.0","0.0","4.1"
"Vyncint Smith","NYJ","2.2","31.4","0.1","0.1","0.8","0.0","0.0","4.0"
"Mohamed Sanu","NE","3.2","32.8","0.1","0.2","0.7","0.0","0.0","4.0"
"Ted Ginn","NO","2.2","31.6","0.1","0.2","1.6","0.0","0.0","3.9"
"Isaiah Ford","MIA","2.5","31.2","0.1","0.0","0.2","0.0","0.0","3.8"
"Marcus Johnson","IND","2.2","29.2","0.1","0.1","0.2","0.0","0.0","3.8"
"Hunter Renfrow","OAK","2.8","30.7","0.1","0.0","0.0","0.0","0.0","3.7"
"Tim Patrick","DEN","2.4","31.4","0.1","0.0","0.2","0.0","0.0","3.7"
"Christian Blake","ATL","2.3","28.4","0.1","0.1","0.2","0.0","0.0","3.6"
"Allen Lazard","GB","2.4","30.2","0.1","0.0","0.5","0.0","0.0","3.6"
"Mecole Hardman","KC","1.6","27.3","0.1","0.3","1.8","0.0","0.0","3.5"
"Keelan Cole","JAC","1.9","26.7","0.1","0.0","0.4","0.0","0.0","3.4"
"Demarcus Robinson","KC","1.9","24.8","0.1","0.0","0.0","0.0","0.0","3.4"
"J.J. Arcega-Whiteside","PHI","2.3","27.3","0.1","0.1","0.4","0.0","0.0","3.4"
"Damiere Byrd","ARI","2.3","27.9","0.1","0.0","0.0","0.0","0.0","3.3"
"N'Keal Harry","NE","2.0","23.8","0.1","0.2","1.2","0.0","0.0","3.3"
"Phillip Dorsett","NE","2.2","25.7","0.1","0.1","0.7","0.0","0.0","3.3"
"Ishmael Hyman","TB","1.9","25.9","0.1","0.0","0.3","0.0","0.0","3.3"
"David Moore","SEA","1.7","23.9","0.1","0.1","0.1","0.0","0.0","3.1"
"Jeff Smith","NYJ","2.0","25.5","0.1","0.0","0.0","0.0","0.0","3.1"
"Malik Turner","SEA","1.7","23.7","0.1","0.0","0.0","0.0","0.0","3.1"
"Willie Snead","BAL","1.8","22.0","0.1","0.1","0.5","0.0","0.0","3.1"
"Tajae Sharpe","TEN","2.0","24.8","0.1","0.0","0.1","0.0","0.0","3.0"
"Kendrick Bourne","SF","2.0","22.6","0.1","0.0","0.0","0.0","0.0","3.0"
"Tre'Quan Smith","NO","1.6","21.8","0.1","0.0","0.0","0.0","0.0","3.0"
"Pharoh Cooper","ARI","1.9","20.4","0.1","0.0","0.1","0.0","0.0","2.7"
"Geronimo Allison","GB","2.1","23.4","0.1","0.1","0.6","0.0","0.1","2.7"
"DaeSean Hamilton","DEN","2.0","22.5","0.1","0.0","0.0","0.0","0.0","2.7"
"Seth Roberts","BAL","1.7","20.5","0.1","0.0","0.2","0.0","0.0","2.7"
"Josh Reynolds","LAR","1.5","18.6","0.1","0.4","2.6","0.0","0.0","2.5"
"Zay Jones","OAK","1.9","20.9","0.1","0.1","0.8","0.0","0.0","2.5"
"Jarius Wright","CAR","1.8","21.4","0.1","0.0","0.1","0.0","0.0","2.5"
"Andy Isabella","ARI","1.5","19.0","0.1","0.2","1.0","0.0","0.0","2.4"
"Dontrelle Inman","IND","1.5","18.8","0.1","0.0","0.1","0.0","0.0","2.4"
"Jaron Brown","SEA","1.3","17.2","0.1","0.0","0.1","0.0","0.0","2.4"
"Cordarrelle Patterson","CHI","1.4","14.2","0.1","0.8","5.0","0.0","0.0","2.4"
"Tavon Austin","DAL","1.2","14.2","0.1","0.7","4.0","0.0","0.1","2.3"
"Olabisi Johnson","MIN","1.7","18.8","0.1","0.0","0.2","0.0","0.0","2.3"
"Chris Lacy","DET","1.6","19.5","0.1","0.0","0.2","0.0","0.0","2.3"
"Jake Kumerow","GB","1.5","20.1","0.1","0.0","0.0","0.0","0.0","2.3"
"Kalif Raymond","TEN","1.4","18.7","0.1","0.0","0.1","0.0","0.0","2.3"
"Jakobi Meyers","NE","1.4","18.3","0.1","0.0","0.0","0.0","0.0","2.2"
"Marquez Valdes-Scantling","GB","1.1","18.3","0.0","0.1","0.7","0.0","0.0","2.1"
"Miles Boykin","BAL","1.5","17.5","0.0","0.0","0.0","0.0","0.0","2.0"
"Olamide Zaccheaus","ATL","1.1","17.0","0.0","0.0","0.2","0.0","0.0","1.9"
"Chris Hogan","CAR","1.1","15.5","0.1","0.0","0.1","0.0","0.0","1.9"
"Keelan Doss","OAK","1.4","15.8","0.0","0.0","0.2","0.0","0.0","1.8"
"Riley Ridley","CHI","1.3","15.0","0.1","0.0","0.1","0.0","0.0","1.8"
"Isaiah McKenzie","BUF","1.3","15.5","0.0","0.0","0.0","0.0","0.0","1.7"
"Cody Latimer","NYG","1.1","14.1","0.1","0.0","0.1","0.0","0.0","1.7"
"Damion Ratley","CLE","1.0","13.2","0.1","0.0","0.0","0.0","0.0","1.6"
"Andre Patton","LAC","1.0","12.1","0.1","0.1","0.5","0.0","0.0","1.6"
"Justin Hardy","ATL","1.1","12.2","0.0","0.0","0.1","0.0","0.0","1.5"
"Andre Roberts","BUF","1.0","12.1","0.0","0.1","0.7","0.0","0.0","1.4"
"Ashton Dulin","IND","1.0","13.4","0.0","0.0","0.1","0.0","0.0","1.4"
"Khadarel Hodge","CLE","0.8","9.6","0.1","0.0","0.0","0.0","0.0","1.3"
"Robert Foster","BUF","0.6","10.3","0.0","0.2","1.3","0.0","0.0","1.2"
"Dante Pettis","SF","0.5","6.9","0.1","0.0","0.0","0.0","0.0","1.2"
"Javon Wims","CHI","0.9","10.2","0.0","0.0","0.0","0.0","0.0","1.2"
"Braxton Berrios","NYJ","0.8","9.5","0.0","0.0","0.1","0.0","0.0","1.2"
"Cyril Grayson","TB","0.7","9.2","0.0","0.0","0.1","0.0","0.0","0.9"
"C.J. Board","JAC","0.6","7.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Rashard Higgins","CLE","0.6","7.2","0.0","0.0","0.0","0.0","0.0","0.8"
"Deonte Harris","NO","0.5","5.4","0.0","0.2","1.7","0.0","0.0","0.7"
"Deon Cain","PIT","0.5","6.6","0.0","0.0","0.0","0.0","0.0","0.7"
"Richie James","SF","0.4","5.3","0.0","0.0","0.0","0.0","0.0","0.7"
"Laquon Treadwell","MIN","0.5","6.4","0.0","0.0","0.1","0.0","0.0","0.7"
"Johnny Holton","PIT","0.4","5.8","0.0","0.0","0.0","0.0","0.0","0.6"
"Trevor Davis","MIA","0.4","4.8","0.0","0.0","0.0","0.0","0.0","0.6"
"Spencer Schnell","TB","0.4","5.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Diontae Spencer","DEN","0.4","4.1","0.0","0.2","1.1","0.0","0.0","0.5"
"Travis Fulgham","DET","0.4","5.0","0.0","0.0","0.1","0.0","0.0","0.5"
"Chad Williams","IND","0.3","3.5","0.0","0.0","0.0","0.0","0.0","0.5"
"KeeSean Johnson","ARI","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Mack Hollins","MIA","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Byron Pringle","KC","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Stanley Morgan Jr.","CIN","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Da'Mari Scott","NYG","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.4"
"Robert Davis","PHI","0.4","3.9","0.0","0.0","0.1","0.0","0.0","0.4"
"Cody Hollister","TEN","0.3","3.3","0.0","0.0","0.1","0.0","0.0","0.4"
"Brandon Zylstra","CAR","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.4"
"Marcell Ateman","OAK","0.3","3.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Jason Moore","LAC","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.3"
"DeAndre Carter","HOU","0.3","3.5","0.0","0.0","0.1","0.0","0.0","0.3"
"Damion Willis","CIN","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.3"
"Jalen Guyton","LAC","0.2","3.1","0.0","0.0","0.1","0.0","0.0","0.3"
"Cam Sims","WAS","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.3"
