Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13605664),Christian McCaffrey,13605664,RB/FLEX,9200,CAR@SF 10/27/2019 04:05PM ET,CAR,31.72
RB,Saquon Barkley (13605666),Saquon Barkley,13605666,RB/FLEX,8900,NYG@DET 10/27/2019 01:00PM ET,NYG,17.78
WR,DeAndre Hopkins (13605876),DeAndre Hopkins,13605876,WR/FLEX,8100,OAK@HOU 10/27/2019 04:25PM ET,HOU,17.83
WR,Michael Thomas (13605878),Michael Thomas,13605878,WR/FLEX,8000,ARI@NO 10/27/2019 01:00PM ET,NO,23.61
RB,Leonard Fournette (13605668),Leonard Fournette,13605668,RB/FLEX,7800,NYJ@JAX 10/27/2019 01:00PM ET,JAX,19.11
WR,Julio Jones (13605880),Julio Jones,13605880,WR/FLEX,7700,SEA@ATL 10/27/2019 01:00PM ET,ATL,18.44
RB,Alvin Kamara (13605670),Alvin Kamara,13605670,RB/FLEX,7600,ARI@NO 10/27/2019 01:00PM ET,NO,18.40
WR,Cooper Kupp (13605882),Cooper Kupp,13605882,WR/FLEX,7500,CIN@LAR 10/27/2019 01:00PM ET,LAR,20.66
RB,Todd Gurley II (13605672),Todd Gurley II,13605672,RB/FLEX,7400,CIN@LAR 10/27/2019 01:00PM ET,LAR,14.87
QB,Russell Wilson (13605603),Russell Wilson,13605603,QB,7200,SEA@ATL 10/27/2019 01:00PM ET,SEA,25.37
QB,Deshaun Watson (13605604),Deshaun Watson,13605604,QB,7100,OAK@HOU 10/27/2019 04:25PM ET,HOU,26.24
WR,Chris Godwin (13605884),Chris Godwin,13605884,WR/FLEX,7100,TB@TEN 10/27/2019 01:00PM ET,TB,26.2
RB,Chris Carson (13605674),Chris Carson,13605674,RB/FLEX,7000,SEA@ATL 10/27/2019 01:00PM ET,SEA,17.69
WR,Tyler Lockett (13605886),Tyler Lockett,13605886,WR/FLEX,7000,SEA@ATL 10/27/2019 01:00PM ET,SEA,16.81
RB,Le'Veon Bell (13605676),Le'Veon Bell,13605676,RB/FLEX,6900,NYJ@JAX 10/27/2019 01:00PM ET,NYJ,15.35
WR,Julian Edelman (13605888),Julian Edelman,13605888,WR/FLEX,6900,CLE@NE 10/27/2019 04:25PM ET,NE,16.68
QB,Jared Goff (13605605),Jared Goff,13605605,QB,6800,CIN@LAR 10/27/2019 01:00PM ET,LAR,17.77
WR,Mike Evans (13605890),Mike Evans,13605890,WR/FLEX,6600,TB@TEN 10/27/2019 01:00PM ET,TB,17.07
QB,Tom Brady (13605606),Tom Brady,13605606,QB,6600,CLE@NE 10/27/2019 04:25PM ET,NE,21.28
RB,Nick Chubb (13605678),Nick Chubb,13605678,RB/FLEX,6600,CLE@NE 10/27/2019 04:25PM ET,CLE,22.42
QB,Josh Allen (13605607),Josh Allen,13605607,QB,6500,PHI@BUF 10/27/2019 01:00PM ET,BUF,18.83
TE,George Kittle (13606166),George Kittle,13606166,TE/FLEX,6500,CAR@SF 10/27/2019 04:05PM ET,SF,13.73
WR,Odell Beckham Jr. (13605892),Odell Beckham Jr.,13605892,WR/FLEX,6500,CLE@NE 10/27/2019 04:25PM ET,CLE,14.32
WR,Keenan Allen (13605896),Keenan Allen,13605896,WR/FLEX,6400,LAC@CHI 10/27/2019 01:00PM ET,LAC,17.81
WR,Kenny Golladay (13605894),Kenny Golladay,13605894,WR/FLEX,6400,NYG@DET 10/27/2019 01:00PM ET,DET,15.58
RB,David Johnson (13605680),David Johnson,13605680,RB/FLEX,6400,ARI@NO 10/27/2019 01:00PM ET,ARI,17.36
WR,Robert Woods (13605898),Robert Woods,13605898,WR/FLEX,6300,CIN@LAR 10/27/2019 01:00PM ET,LAR,13.57
QB,Drew Brees (13605608),Drew Brees,13605608,QB,6300,ARI@NO 10/27/2019 01:00PM ET,NO,12.66
WR,Will Fuller V (13605900),Will Fuller V,13605900,WR/FLEX,6200,OAK@HOU 10/27/2019 04:25PM ET,HOU,14.29
QB,Kyler Murray (13605609),Kyler Murray,13605609,QB,6200,ARI@NO 10/27/2019 01:00PM ET,ARI,20.90
RB,Chase Edmonds (13605682),Chase Edmonds,13605682,RB/FLEX,6200,ARI@NO 10/27/2019 01:00PM ET,ARI,11.67
QB,Matthew Stafford (13605610),Matthew Stafford,13605610,QB,6100,NYG@DET 10/27/2019 01:00PM ET,DET,21.56
RB,Marlon Mack (13605684),Marlon Mack,13605684,RB/FLEX,6100,DEN@IND 10/27/2019 01:00PM ET,IND,14.47
WR,T.Y. Hilton (13605902),T.Y. Hilton,13605902,WR/FLEX,6100,DEN@IND 10/27/2019 01:00PM ET,IND,18.12
QB,Matt Ryan (13605611),Matt Ryan,13605611,QB,6000,SEA@ATL 10/27/2019 01:00PM ET,ATL,24.17
WR,Allen Robinson II (13605906),Allen Robinson II,13605906,WR/FLEX,6000,LAC@CHI 10/27/2019 01:00PM ET,CHI,18.07
WR,DJ Chark Jr. (13605904),DJ Chark Jr.,13605904,WR/FLEX,6000,NYJ@JAX 10/27/2019 01:00PM ET,JAX,18.44
RB,Derrick Henry (13605686),Derrick Henry,13605686,RB/FLEX,6000,TB@TEN 10/27/2019 01:00PM ET,TEN,15.51
WR,John Brown (13605908),John Brown,13605908,WR/FLEX,5900,PHI@BUF 10/27/2019 01:00PM ET,BUF,15.95
RB,Austin Ekeler (13605688),Austin Ekeler,13605688,RB/FLEX,5900,LAC@CHI 10/27/2019 01:00PM ET,LAC,23.66
TE,Darren Waller (13606168),Darren Waller,13606168,TE/FLEX,5900,OAK@HOU 10/27/2019 04:25PM ET,OAK,18.53
WR,A.J. Green (13605910),A.J. Green,13605910,WR/FLEX,5900,CIN@LAR 10/27/2019 01:00PM ET,CIN,0
QB,Teddy Bridgewater (13605613),Teddy Bridgewater,13605613,QB,5900,ARI@NO 10/27/2019 01:00PM ET,NO,15.95
QB,Jameis Winston (13605612),Jameis Winston,13605612,QB,5900,TB@TEN 10/27/2019 01:00PM ET,TB,20.77
QB,Daniel Jones (13605614),Daniel Jones,13605614,QB,5800,NYG@DET 10/27/2019 01:00PM ET,NYG,14.48
WR,Marvin Jones Jr. (13605912),Marvin Jones Jr.,13605912,WR/FLEX,5800,NYG@DET 10/27/2019 01:00PM ET,DET,17.02
WR,Golden Tate (13605914),Golden Tate,13605914,WR/FLEX,5800,NYG@DET 10/27/2019 01:00PM ET,NYG,14.5
RB,Josh Jacobs (13605692),Josh Jacobs,13605692,RB/FLEX,5800,OAK@HOU 10/27/2019 04:25PM ET,OAK,17.18
RB,Latavius Murray (13605690),Latavius Murray,13605690,RB/FLEX,5800,ARI@NO 10/27/2019 01:00PM ET,NO,10.07
RB,Kerryon Johnson (13605694),Kerryon Johnson,13605694,RB/FLEX,5700,NYG@DET 10/27/2019 01:00PM ET,DET,12.07
WR,Brandin Cooks (13605916),Brandin Cooks,13605916,WR/FLEX,5700,CIN@LAR 10/27/2019 01:00PM ET,LAR,11.61
QB,Jimmy Garoppolo (13605615),Jimmy Garoppolo,13605615,QB,5700,CAR@SF 10/27/2019 04:05PM ET,SF,13.93
