Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1686685687,Keesee123 (1/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Latavius Murray,RB,94.80%,39.7
1,1686685897,Keesee123 (2/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Deshaun Watson,QB,70.44%,27.76
1,1686691434,Keesee123 (3/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Michael Thomas,WR,65.44%,30.3
1,1686691565,Keesee123 (4/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Chris Carson,RB,64.49%,15
1,1686709200,Keesee123 (5/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Mike Williams,FLEX,59.74%,9.9
1,1686709255,Keesee123 (6/6),0,214.78,QB Matthew Stafford RB Leonard Fournette FLEX Chris Carson RB Latavius Murray WR Mike Evans WR Kenny Golladay WR Kenny Stills TE Jonnu Smith DST Chargers ,,Kenny Stills,WR,53.63%,5.2
1,1687045391,CharlesD81 (2/2),0,214.78,QB Matthew Stafford RB Chris Carson FLEX Latavius Murray RB Tevin Coleman WR DeAndre Hopkins WR Michael Thomas WR Mike Williams TE Jonnu Smith DST Colts ,,Leonard Fournette,RB,41.89%,20.6
8,1685653134,rmdbass81 (1/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Hunter Henry,TE,38.93%,8.7
8,1685653140,rmdbass81 (2/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jaguars ,DST,38.05%,15
8,1685653148,rmdbass81 (3/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Courtland Sutton,WR,30.85%,10.2
