"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Wayne Gallman","NYG","2.5","9.9","0.0","0.9","5.1","0.0","0.0","1.7"
"Kerrith Whyte","CHI","1.8","7.0","0.1","0.3","2.2","0.0","0.0","1.5"
"Alvin Kamara","NO","2.7","7.6","0.0","1.0","7.2","0.0","0.0","1.5"
"Reggie Bonnafon","CAR","2.8","10.7","0.0","0.4","2.8","0.0","0.0","1.5"
"CJ Ham","MIN","0.8","3.6","0.0","1.0","6.8","0.1","0.0","1.4"
"Tra Carson","DET","2.3","7.9","0.0","0.5","3.4","0.0","0.0","1.4"
"John Kelly","LAR","2.8","10.0","0.0","0.4","1.2","0.0","0.0","1.4"
"Zach Zenner","ARI","2.2","7.7","0.0","1.0","5.1","0.0","0.0","1.3"
"Zach Line","NO","1.0","4.1","0.0","0.8","5.4","0.0","0.0","1.2"
"Kenjon Barner","ATL","2.2","7.7","0.0","0.6","2.1","0.0","0.0","1.2"
"Justin Jackson","LAC","2.7","8.3","0.0","0.7","3.0","0.0","0.0","1.1"
"Alfred Morris","ARI","2.3","7.1","0.0","0.7","3.2","0.0","0.0","1.1"
"Qadree Ollison","ATL","1.8","6.0","0.1","0.5","1.5","0.0","0.0","1.0"
"Dan Vitale","GB","0.8","2.7","0.0","0.9","7.4","0.0","0.0","1.0"
"Andy Janovich","DEN","0.4","1.6","0.0","0.8","5.6","0.0","0.0","0.9"
"David Johnson","ARI","2.0","5.5","0.0","0.8","3.8","0.0","0.0","0.9"
"Ameer Abdullah","MIN","1.9","6.5","0.0","0.5","2.4","0.0","0.0","0.9"
"Roosevelt Nix","PIT","0.2","0.7","0.0","0.3","2.2","0.0","0.0","0.8"
"Travis Homer","SEA","1.2","4.4","0.0","0.3","1.6","0.0","0.0","0.8"
"Patrick DiMarco","BUF","0.7","2.2","0.0","0.7","5.2","0.0","0.0","0.8"
"Alex Armah","CAR","0.9","3.6","0.0","0.5","1.8","0.0","0.0","0.7"
"Bilal Powell","NYJ","1.2","4.8","0.0","0.6","2.1","0.0","0.0","0.7"
"Mike Davis","CHI","1.7","4.8","0.0","0.6","2.1","0.0","0.0","0.7"
"Elijhaa Penny","NYG","1.3","4.6","0.0","0.3","2.0","0.0","0.0","0.7"
