"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Darren Waller","OAK","6.6","68.4","0.4","0.1","9.3"
"Evan Engram","NYG","5.1","63.5","0.4","0.0","8.9"
"George Kittle","SF","5.4","63.4","0.4","0.1","8.9"
"Hunter Henry","LAC","5.3","61.4","0.5","0.1","8.8"
"Travis Kelce","KC","5.1","62.7","0.4","0.0","8.7"
"Austin Hooper","ATL","5.7","57.3","0.5","0.1","8.5"
"Jimmy Graham","GB","3.4","40.2","0.4","0.0","6.5"
"Zach Ertz","PHI","5.3","55.7","0.2","0.1","6.5"
"Greg Olsen","CAR","3.8","45.1","0.2","0.0","5.4"
"Gerald Everett","LAR","3.3","39.9","0.2","0.0","5.0"
"T.J. Hockenson","DET","3.4","38.0","0.2","0.0","4.8"
"Eric Ebron","IND","3.1","36.0","0.2","0.0","4.6"
"Cameron Brate","TB","3.2","34.7","0.2","0.0","4.5"
"Jonnu Smith","TEN","3.0","36.6","0.1","0.0","4.4"
"Vance McDonald","PIT","3.0","32.3","0.2","0.0","4.4"
"Josh Hill","NO","3.5","34.3","0.2","0.1","4.3"
"Benjamin Watson","NE","2.8","31.0","0.1","0.0","4.0"
"Darren Fells","HOU","2.5","27.7","0.2","0.0","3.9"
"Kyle Rudolph","MIN","2.8","27.9","0.2","0.0","3.8"
"Dawson Knox","BUF","2.7","30.4","0.1","0.0","3.8"
"Dallas Goedert","PHI","3.1","31.9","0.1","0.1","3.7"
"Mike Gesicki","MIA","2.9","33.2","0.1","0.0","3.6"
"Noah Fant","DEN","2.8","30.9","0.1","0.0","3.5"
"Irv Smith Jr.","MIN","2.5","26.9","0.1","0.0","3.5"
"Ricky Seals-Jones","CLE","1.9","27.0","0.1","0.0","3.5"
"Jordan Akins","HOU","2.1","27.8","0.1","0.0","3.4"
"Jack Doyle","IND","3.2","28.4","0.1","0.1","3.4"
"Trey Burton","CHI","2.8","25.9","0.1","0.0","3.0"
"Dan Arnold","NO","1.9","22.2","0.1","0.0","2.9"
"Foster Moreau","OAK","2.2","22.8","0.1","0.0","2.8"
"Tyler Eifert","CIN","2.1","22.4","0.1","0.0","2.8"
"Jacob Hollister","SEA","1.8","19.4","0.1","0.0","2.7"
"Jeremy Sprinkle","WAS","2.5","23.5","0.1","0.0","2.7"
"Tyler Higbee","LAR","1.9","20.4","0.1","0.0","2.6"
"Marcedes Lewis","GB","1.6","18.5","0.1","0.0","2.5"
"Luke Willson","SEA","1.9","19.9","0.1","0.0","2.4"
"Charles Clay","ARI","1.7","17.6","0.1","0.0","2.2"
"Josh Oliver","JAC","1.9","18.4","0.1","0.0","2.2"
"C.J. Uzomah","CIN","1.7","18.1","0.0","0.0","2.1"
"Ryan Griffin","NYJ","1.7","16.9","0.1","0.0","2.1"
"Jesse James","DET","1.5","15.8","0.1","0.0","2.0"
"Jeff Heuerman","DEN","1.6","15.8","0.1","0.0","2.0"
"Tyler Kroft","BUF","1.4","14.7","0.1","0.0","1.9"
"Seth DeValve","JAC","1.4","17.1","0.0","0.0","1.9"
"Maxx Williams","ARI","1.4","14.0","0.1","0.0","1.8"
"Nick Vannett","PIT","1.4","13.3","0.1","0.0","1.8"
"Anthony Firkser","TEN","1.2","14.2","0.1","0.0","1.7"
"Adam Shaheen","CHI","1.3","13.1","0.1","0.0","1.7"
"Rhett Ellison","NYG","1.3","13.6","0.0","0.0","1.6"
"Demetrius Harris","CLE","1.2","11.7","0.1","0.0","1.5"
"Jace Sternberger","GB","0.7","8.4","0.1","0.0","1.4"
"Zach Gentry","PIT","0.8","8.0","0.1","0.0","1.4"
"Tommy Sweeney","BUF","1.0","10.4","0.1","0.0","1.4"
"MyCole Pruitt","TEN","0.8","8.4","0.1","0.0","1.2"
"Geoff Swaim","JAC","0.8","8.2","0.1","0.0","1.2"
"Mo Alie-Cox","IND","0.9","9.5","0.0","0.0","1.1"
"Derek Carrier","OAK","1.0","9.5","0.0","0.0","1.0"
"Logan Thomas","DET","1.0","8.7","0.0","0.0","1.0"
"Antony Auclair","TB","0.9","9.3","0.0","0.0","1.0"
"Virgil Green","LAC","0.9","9.1","0.0","0.0","1.0"
"Tanner Hudson","TB","0.6","6.6","0.1","0.0","1.0"
"Nick O'Leary","MIA","0.7","9.2","0.0","0.0","1.0"
"Luke Stocker","ATL","0.9","7.6","0.0","0.0","1.0"
"Andrew Beck","DEN","0.8","8.8","0.0","0.0","0.9"
"Ross Dwelley","SF","0.7","6.7","0.0","0.0","0.9"
"Drew Sample","CIN","0.8","8.0","0.0","0.0","0.9"
"Pharaoh Brown","CLE","0.7","8.0","0.0","0.0","0.8"
"Lee Smith","BUF","0.8","6.1","0.0","0.0","0.8"
"Levine Toilolo","SF","0.5","5.8","0.0","0.0","0.8"
"Robert Tonyan","GB","0.6","6.9","0.0","0.0","0.8"
"Durham Smythe","MIA","0.6","7.0","0.0","0.0","0.7"
"Deon Yelder","KC","0.4","5.1","0.0","0.0","0.7"
"Blake Bell","KC","0.6","6.1","0.0","0.0","0.7"
"Ben Koyack","JAC","0.7","6.2","0.0","0.0","0.6"
"Hale Hentges","WAS","0.7","6.0","0.0","0.0","0.6"
"Ian Thomas","CAR","0.4","4.7","0.0","0.0","0.6"
"Lance Kendricks","LAC","0.5","5.3","0.0","0.0","0.6"
"Ben Braunecker","CHI","0.5","5.4","0.0","0.0","0.6"
"Eric Tomlinson","NE","0.5","5.2","0.0","0.0","0.5"
"J.P. Holtz","CHI","0.4","4.4","0.0","0.0","0.5"
"Jaeden Graham","ATL","0.4","3.8","0.0","0.0","0.4"
"Tyler Conklin","MIN","0.4","3.9","0.0","0.0","0.4"
"Daniel Brown","NYJ","0.3","3.7","0.0","0.0","0.4"
"Troy Fumagalli","DEN","0.4","3.7","0.0","0.0","0.4"
"Chris Manhertz","CAR","0.3","3.4","0.0","0.0","0.3"
"Jerome Cunningham","WAS","0.3","2.5","0.0","0.0","0.3"
"Trevon Wesco","NYJ","0.3","3.1","0.0","0.0","0.3"
"Garrett Celek","SF","0.1","1.4","0.0","0.0","0.2"
"Cethan Carter","CIN","0.2","1.6","0.0","0.0","0.2"
"Johnny Mundt","LAR","0.1","0.9","0.0","0.0","0.1"
"Evan Baylis","GB","0.1","1.0","0.0","0.0","0.1"
"Darrell Daniels","ARI","0.1","0.9","0.0","0.0","0.1"
"Kaden Smith","NYG","0.0","0.0","0.0","0.0","0.0"
""
""
