,Player,Salary
0,Will Fuller,6200
1,Matt Ryan,6000
2,A.J. Green,5900
3,Kerryon Johnson,5700
4,Sterling Shepard,5400
5,Cam Newton,5400
6,Josh Gordon,5400
7,DeSean Jackson,5300
8,Malcolm Brown,5300
9,DJ Moore,4900
10,Nick Foles,4500
11,David Blough,4300
12,Ronald Jones,4300
13,Josh Dobbs,4200
14,Ito Smith,4100
15,Nate Sudfeld,4000
16,Easton Stick,4000
17,Alex Tanney,4000
18,DeShone Kizer,4000
19,Jake Dolegala,4000
20,Jared Cook,4000
21,Blaine Gabbert,4000
22,C.J. Beathard,4000
23,Chad Kelly,4000
24,Andrew Luck,4000
25,Duke Williams,3700
26,Delanie Walker,3600
27,Chris Herndon,3500
28,O.J. Howard,3300
29,Tre'Quan Smith,3200
30,Stanley Morgan,3100
31,John Ursua,3000
32,Gary Jennings,3000
33,Darren Sproles,3000
34,JJ Arcega-Whiteside,3000
35,Russell Shepard,3000
36,Isaiah Crowell,3000
37,Jalin Marshall,3000
38,Trenton Cannon,3000
39,Devine Ozigbo,3000
40,Roc Thomas,3000
41,C.J. Board,3000
42,D.J. Foster,3000
43,Scotty Miller,3000
44,Kyle Juszczyk,3000
45,Jordan Matthews,3000
46,Greg Dortch,3000
47,Devin Funchess,3000
48,Kareem Hunt,3000
49,James Develin,3000
50,KhaDarel Hodge,3000
51,Matthew Slater,3000
52,N'Keal Harry,3000
53,David Njoku,3000
54,Ben Watson,3000
55,Matt LaCosse,2900
56,Ryan Izzo,2900
57,Bradley Sowell,2600
58,Tyler Ott,2500
59,Patrick Scales,2500
60,Garrett Dickerson,2500
61,Logan Paulsen,2500
62,Matt Orzech,2500
63,Clark Harris,2500
64,Beau Brinkley,2500
65,Garrison Sanborn,2500
66,Rico Gathers,2500
