,Player,Salary,Position
16,Christian McCaffrey,9200.0,RB
43,Julio Jones,7400.0,WR
0,Dak Prescott,7200.0,QB
17,Nick Chubb,6900.0,RB
18,Austin Ekeler,6800.0,RB
19,Raheem Mostert,6500.0,RB
20,Saquon Barkley,6300.0,RB
86,George Kittle,6300.0,TE
44,AJ Brown,6000.0,WR
45,Courtland Sutton,5800.0,WR
1,Tyrod Taylor,5700.0,QB
46,Alshon Jeffery,5600.0,WR
2,Jimmy Garoppolo,5600.0,QB
47,Sterling Shepard,5300.0,WR
48,Jamison Crowder,5300.0,WR
3,Drew Lock,5300.0,QB
21,James White,5300.0,RB
22,Le'Veon Bell,5100.0,RB
49,Henry Ruggs,5000.0,WR
50,Deebo Samuel,5000.0,WR
4,Jarrett Stidham,5000.0,QB
23,Phillip Lindsay,4900.0,RB
87,Dallas Goedert,4900.0,TE
5,Alex Smith,4700.0,QB
7,Joe Flacco,4600.0,QB
6,Marcus Mariota,4600.0,QB
24,Zack Moss,4500.0,RB
25,Sony Michel,4400.0,RB
8,Will Grier,4400.0,QB
26,Tarik Cohen,4300.0,RB
27,Tevin Coleman,4200.0,RB
28,Cam Akers,4200.0,RB
9,Jake Fromm,4200.0,QB
51,Jalen Reagor,4200.0,WR
10,Nate Sudfeld,4100.0,QB
29,Damien Harris,4100.0,RB
88,David Njoku,4100.0,TE
11,PJ Walker,4100.0,QB
52,Parris Campbell,4100.0,WR
15,Ryan Griffin,4000.0,QB
53,Jalen Hurd,4000.0,WR
54,Steven Sims,4000.0,WR
89,Jordan Reed,4000.0,TE
55,Michael Pittman,4000.0,WR
42,TJ Logan,4000.0,RB
12,Josh Dobbs,4000.0,QB
13,James Morgan,4000.0,QB
41,Rashaad Penny,4000.0,RB
40,Bo Scarbrough,4000.0,RB
39,Ty Johnson,4000.0,RB
38,DJ Foster,4000.0,RB
37,Bruce Anderson,4000.0,RB
36,Kalen Ballage,4000.0,RB
35,La'Mical Perine,4000.0,RB
34,Marlon Mack,4000.0,RB
33,Bryce Love,4000.0,RB
32,Scottie Phillips,4000.0,RB
31,Duke Johnson,4000.0,RB
14,Ben DiNucci,4000.0,QB
30,Trayveon Williams,4000.0,RB
56,Breshad Perriman,3900.0,WR
57,Phillip Dorsett,3800.0,WR
90,CJ Uzomah,3600.0,TE
58,Josh Gordon,3600.0,WR
59,Justin Watson,3500.0,WR
91,OJ Howard,3500.0,TE
92,Dawson Knox,3400.0,TE
60,Riley Ridley,3100.0,WR
78,Isaiah Hodgins,3000.0,WR
63,Tyrell Williams,3000.0,WR
61,Gunner Olszewski,3000.0,WR
85,John Franklin,3000.0,WR
84,John Hurst,3000.0,WR
83,Reece Fountain,3000.0,WR
82,Jeff Smith,3000.0,WR
81,Denzel Mims,3000.0,WR
80,Vyncint Smith,3000.0,WR
79,Omar Bayless,3000.0,WR
62,Quincy Adeboyejo,3000.0,WR
77,Trishton Jackson,3000.0,WR
69,Isaiah Coulter,3000.0,WR
76,Jordan Veasy,3000.0,WR
64,Quez Watkins,3000.0,WR
66,Chris Thompson,3000.0,WR
67,Tavon Austin,3000.0,WR
68,David Sills,3000.0,WR
65,Mohamed Sanu,3000.0,WR
70,Tajae Sharpe,3000.0,WR
72,Cameron Batson,3000.0,WR
73,Donovan Peoples-Jones,3000.0,WR
74,Kelvin Harmon,3000.0,WR
71,KJ Osborn,3000.0,WR
75,Emanuel Hall,3000.0,WR
93,Trey Burton,2900.0,TE
94,Maxx Williams,2800.0,TE
109,Blake Jarwin,2500.0,TE
106,Brycen Hopkins,2500.0,TE
107,Colin Thompson,2500.0,TE
108,Hunter Bryant,2500.0,TE
112,Tanner Hudson,2500.0,TE
110,Colby Parkinson,2500.0,TE
111,Tyler Ott,2500.0,TE
104,Beau Brinkley,2500.0,TE
105,Thaddeus Moss,2500.0,TE
96,Nick O'Leary,2500.0,TE
103,Geoff Swaim,2500.0,TE
102,Zach Gentry,2500.0,TE
101,Eric Tomlinson,2500.0,TE
100,Kyle Nelson,2500.0,TE
99,Clark Harris,2500.0,TE
98,Joshua Perkins,2500.0,TE
97,Darion Clark,2500.0,TE
95,Dalton Keene,2500.0,TE
113,Austin Fort,2500.0,TE
