,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Kyler Murray,ARI,QB,6800.0,Kyler Murray (15456806) (LOCKED),17.11,25.948999999999998,34.83
1,Carson Wentz,PHI,QB,5800.0,Carson Wentz (15456817) (LOCKED),17.156,21.147000000000002,25.630000000000003
2,Cam Newton,NE,QB,6700.0,Cam Newton (15456807) (LOCKED),18.639999999999997,24.151000000000003,30.839999999999996
0,Devin Singletary,BUF,RB,4900.0,Devin Singletary (15456934) (LOCKED),10.57,14.93,19.849999999999994
1,Miles Sanders,PHI,RB,6400.0,Miles Sanders (15456892) (LOCKED),15.300000000000002,19.27,24.59
2,Jerick McKinnon,SF,RB,4900.0,Jerick McKinnon (15456936) (LOCKED),7.17,13.719999999999999,18.88
3,Kenyan Drake,ARI,RB,6000.0,Kenyan Drake (15456900) (LOCKED),11.81,16.31,21.849999999999998
4,Mike Davis,CAR,RB,5100.0,Mike Davis (15456922) (LOCKED),7.54,13.799999999999999,19.209999999999997
5,Derrick Henry,TEN,RB,7800.0,Derrick Henry (15456874) (LOCKED),15.595,20.82,24.200000000000003
6,Joe Mixon,CIN,RB,5900.0,Joe Mixon (15456902) (LOCKED),11.910000000000002,15.67,20.7
7,Ezekiel Elliott,DAL,RB,8300.0,Ezekiel Elliott (15456872) (LOCKED),14.64,21.814999999999998,30.099999999999994
8,Jonathan Taylor,IND,RB,7000.0,Jonathan Taylor (15456880) (LOCKED),12.219999999999999,17.97,27.669999999999998
13,Dalvin Cook,MIN,RB,7600.0,Dalvin Cook (15456876) (LOCKED),12.600000000000001,18.16,23.159999999999997
0,Calvin Ridley,ATL,WR,7200.0,Calvin Ridley (15457112) (LOCKED),16.27,21.825,28.1
1,DeAndre Hopkins,ARI,WR,7900.0,DeAndre Hopkins (15457108) (LOCKED),18.999999999999996,23.599999999999994,28.4
2,Braxton Berrios,NYJ,WR,3600.0,Braxton Berrios (15457278) (LOCKED),7.170000000000001,10.379999999999999,13.500000000000002
3,Diontae Johnson,PIT,WR,5400.0,Diontae Johnson (15457172) (LOCKED),12.360000000000001,15.31,19.9
4,Amari Cooper,DAL,WR,6500.0,Amari Cooper (15457124) (LOCKED),14.970000000000002,18.174999999999997,25.25
5,Damiere Byrd,NE,WR,3000.0,Damiere Byrd (15457454) (LOCKED),4.9,8.27,11.780000000000001
6,Russell Gage,ATL,WR,5100.0,Russell Gage (15457186) (LOCKED),9.98,13.960000000000003,16.67
7,Adam Humphries,TEN,WR,3900.0,Adam Humphries (15457244) (LOCKED),7.3100000000000005,10.650000000000002,13.69
8,N'Keal Harry,NE,WR,4200.0,N'Keal Harry (15457220) (LOCKED),7.5,11.38,14.350000000000001
9,Terry McLaurin,WAS,WR,5900.0,Terry McLaurin (15457154) (LOCKED),12.800000000000002,15.600000000000001,20.999999999999996
0,Hunter Henry,LAC,TE,4800.0,Hunter Henry (15457488) (LOCKED),10.540000000000001,13.56,20.0
1,Chris Herndon,NYJ,TE,3400.0,Chris Herndon (15457524) (LOCKED),6.03,9.340000000000002,11.600000000000001
2,Zach Ertz,PHI,TE,5100.0,Zach Ertz (15457482) (LOCKED),11.24,13.75,19.240000000000002
3,Darren Waller,LV,TE,5700.0,Darren Waller (15457474) (LOCKED),11.8,14.930000000000001,24.199999999999996
0,Giants,NYG,DST,2700.0,Giants  (15457709) (LOCKED),4.428571428571429,6.6,8.242857142857144
1,Panthers,CAR,DST,2200.0,Panthers  (15457715) (LOCKED),3.6142857142857143,5.328571428571429,7.185714285714288
2,Eagles,PHI,DST,2800.0,Eagles  (15457707) (LOCKED),4.628571428571428,6.585714285714286,7.971428571428572
