,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
0,Kyler Murray,ARI,QB,6800.0,Kyler Murray (15456806) (LOCKED),28.38,17.11,25.949,34.83,15.61,23.744,31.58,16.610000000000007,24.544,32.28,397.42840444184685,262.05248757177543,195.23399368360612,1,1,1,1,1,2,24.7,71.79,275.30364372469637
1,Carson Wentz,PHI,QB,5800.0,Carson Wentz (15456817) (LOCKED),17.96,17.156,21.147,25.630000000000006,14.736,18.282,21.980000000000004,15.735999999999999,19.082,22.680000000000003,338.07414315691307,274.2705821156665,226.29730784237216,8,3,2,1,1,4,23.5,0.53,246.80851063829786
2,Cam Newton,NE,QB,6700.0,Cam Newton (15456807) (LOCKED),25.49,18.64,24.151000000000003,30.84,17.339999999999996,22.756,28.840000000000003,18.34,23.556000000000004,29.44,359.44206008583694,277.4212247940044,217.25032425421531,4,1,3,2,1,3,12.18,3.19,550.0821018062397
3,Russell Wilson,SEA,QB,7300.0,Russell Wilson (15456803) (LOCKED),36.33,21.5,25.76400000000001,31.34,19.25,23.13400000000001,28.24,19.85,23.53400000000001,28.24,339.53488372093017,283.34109610308946,232.92916400765802,2,1,4,2,1,3,39.8,9.6,183.4170854271357
4,Dak Prescott,DAL,QB,7200.0,Dak Prescott (15456804) (LOCKED),31.64,19.941,24.886,29.26,16.945999999999998,21.086,26.26,17.846,21.686,26.26,361.06514216939973,289.3192959897131,246.06971975393026,3,1,5,2,1,3,33.48,7.38,215.05376344086022
5,Matthew Stafford,DET,QB,6300.0,Matthew Stafford (15456811) (LOCKED),17.61,17.29,21.735,25.5,14.69,18.31,21.700000000000006,15.69,19.110000000000007,22.4,364.37246963562757,289.8550724637681,247.05882352941174,6,2,6,2,2,4,18.5,0.46,340.5405405405405
6,Jared Goff,LAR,QB,5600.0,Jared Goff (15456822) (LOCKED),22.24,14.95,19.105,23.34,12.950000000000005,16.48,19.79,14.050000000000002,17.380000000000006,20.59,374.5819397993311,293.1169850824392,239.9314481576693,13,4,7,2,2,6,31.24,0.29,179.25736235595392
7,Ben Roethlisberger,PIT,QB,6400.0,Ben Roethlisberger (15456810) (LOCKED),21.16,16.799999999999994,21.508,24.549,14.950000000000005,18.598,20.844,15.95,19.398,21.644,380.95238095238096,297.56369722893817,260.70308362866103,7,2,8,2,2,4,19.18,0.42,333.68091762252345
8,Matt Ryan,ATL,QB,6600.0,Matt Ryan (15456808) (LOCKED),22.95,18.687,21.944000000000006,24.9,14.971999999999998,17.964000000000006,21.200000000000006,16.171999999999993,18.764000000000006,21.8,353.1867073366512,300.7655851257747,265.06024096385545,5,2,9,3,2,5,12.42,0.35,531.4009661835748
9,Justin Herbert,LAC,QB,5900.0,Justin Herbert (15456816) (LOCKED),22.97,13.65,19.319,27.42,11.749999999999998,17.413999999999998,23.520000000000003,12.95,18.414,24.32,432.23443223443223,305.398830167193,215.1714077315828,11,4,10,3,3,7,19.7,0.8,299.49238578680206
10,Nick Mullens,SF,QB,5100.0,Nick Mullens (15456830) (LOCKED),11.18,11.24,16.378999999999998,25.74,9.44,14.624000000000002,22.64,11.04,15.624,22.64,453.7366548042705,311.37432077660424,198.13519813519812,19,7,11,4,4,11,20.72,0.51,246.13899613899616
11,Tom Brady,TB,QB,6100.0,Tom Brady (15456813) (LOCKED),19.01,15.899999999999995,19.316000000000006,24.6,14.3,17.146000000000004,22.0,15.099999999999998,17.646000000000004,22.0,383.6477987421385,315.80037274798093,247.96747967479683,12,4,12,4,4,8,23.88,0.45,255.44388609715244
12,Ryan Tannehill,TEN,QB,5900.0,Ryan Tannehill (15456815) (LOCKED),20.95,15.22,18.34,23.234,14.02,17.390000000000004,22.004,14.92,17.990000000000006,22.004,387.6478318002629,321.701199563795,253.93819402599635,15,5,13,5,5,10,16.74,0.86,352.44922341696537
