,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Steelers,4.8,3.1,3.8,1.2,0.8,0.9,1.0,0.5,0.7,1.4,0.9,1.1,0.2,0.0,0.1,0.1,0.0,0.0,21.5,15.2,19.1,296.0,342.8,324.2,10.4,7.5,8.9,3,DST
1,Buccaneers,3.7,2.6,3.0,1.3,0.8,0.9,1.0,0.6,0.7,1.5,1.0,1.3,0.3,0.1,0.2,0.1,0.0,0.0,21.4,17.1,19.0,243.0,312.6,281.5,9.6,6.7,8.4,3,DST
2,Colts,3.5,2.5,2.8,1.2,0.9,1.1,0.7,0.5,0.6,1.2,0.9,1.0,0.3,0.1,0.2,0.1,0.0,0.1,20.1,12.7,16.5,247.0,315.2,291.2,9.4,6.5,8.3,3,DST
3,49ers,3.4,2.3,2.8,1.1,0.8,0.9,1.2,0.5,0.7,1.6,0.9,1.2,0.2,0.1,0.1,0.1,0.0,0.1,20.3,17.7,19.4,297.0,323.6,309.8,8.7,6.7,8.0,3,DST
4,Browns,3.8,1.8,3.0,1.1,0.7,0.9,0.7,0.5,0.6,1.1,0.9,1.0,0.2,0.1,0.1,0.1,0.0,0.0,22.2,17.6,19.3,272.0,326.3,300.1,9.2,6.9,7.9,3,DST
5,Chargers,3.3,1.7,2.6,0.9,0.8,0.9,0.8,0.4,0.5,1.1,0.6,0.8,0.2,0.0,0.2,0.1,0.0,0.0,19.3,15.2,17.7,337.0,352.0,345.4,8.0,6.1,7.4,3,DST
6,Patriots,2.7,2.1,2.3,1.2,0.6,0.8,0.8,0.5,0.6,1.1,0.8,0.9,0.2,0.0,0.1,0.1,0.0,0.0,21.3,16.4,18.9,337.8,345.7,341.2,7.4,5.5,7.0,3,DST
7,Rams,3.6,2.5,2.8,1.0,0.8,0.9,1.0,0.5,0.7,1.4,0.8,1.0,0.2,0.1,0.1,0.1,0.0,0.0,24.0,20.0,22.3,341.3,354.8,349.0,7.9,6.1,6.8,3,DST
8,Giants,3.0,2.1,2.4,1.6,0.8,1.1,0.7,0.5,0.6,0.8,0.7,0.7,0.2,0.0,0.2,0.0,0.0,0.0,23.9,21.9,22.8,333.7,351.6,340.8,8.5,5.8,6.7,3,DST
9,Cardinals,3.2,2.5,2.8,1.0,0.7,0.8,0.8,0.5,0.6,1.3,0.8,1.1,0.2,0.1,0.2,0.0,0.0,0.0,25.0,20.5,22.7,349.0,380.0,366.6,7.6,6.1,6.7,3,DST
10,Jaguars,3.4,1.3,2.4,1.2,0.7,1.0,0.7,0.4,0.5,0.9,0.6,0.8,0.2,0.1,0.2,0.0,0.0,0.0,23.7,21.2,22.5,357.8,368.1,363.6,7.8,6.2,6.5,3,DST
11,Team,2.8,1.6,2.4,1.2,0.9,1.0,0.7,0.5,0.6,1.2,0.9,1.0,0.2,0.0,0.1,0.0,0.0,0.0,26.9,22.6,24.8,347.2,368.0,358.7,7.2,6.0,6.5,3,DST
12,Vikings,3.9,2.5,3.0,0.9,0.5,0.7,0.8,0.4,0.6,1.1,0.5,0.8,0.2,0.0,0.1,0.1,0.0,0.0,26.3,20.9,23.0,331.6,359.7,344.4,7.9,5.8,6.4,3,DST
13,Eagles,3.1,2.2,2.7,0.9,0.4,0.8,1.0,0.5,0.6,1.4,0.8,1.0,0.2,0.1,0.2,0.1,0.0,0.0,22.3,19.8,20.8,319.0,355.7,339.3,7.8,6.2,6.4,3,DST
14,Bears,2.9,2.0,2.5,1.2,0.6,0.8,0.9,0.4,0.6,1.2,0.6,1.0,0.2,0.0,0.1,0.1,0.0,0.0,24.9,19.7,23.2,368.0,375.5,372.8,7.7,6.1,6.3,3,DST
