,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,DeAndre Hopkins,ARI,8.5,6.8,7.6,109.0,82.8,95.6,1.0,0.6,0.7,0.3,0.0,0.1,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,16.9,11.7,13.9,3,WR
1,Calvin Ridley,ATL,8.0,5.6,6.7,105.0,77.7,89.7,1.1,0.5,0.8,0.5,0.1,0.3,2.4,0.6,1.5,0.0,0.0,0.0,0.0,0.1,0.1,16.3,11.0,13.6,3,WR
2,Amari Cooper,DAL,7.0,5.4,5.9,97.0,72.7,83.1,1.0,0.4,0.6,0.1,0.0,0.1,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,15.7,9.7,11.6,3,WR
3,Tyreek Hill,KC,6.0,4.7,5.4,91.0,64.0,76.6,1.0,0.4,0.6,1.3,0.3,0.7,9.3,2.0,4.2,0.1,0.0,0.0,0.0,0.1,0.0,15.1,9.7,11.5,3,WR
4,DK Metcalf,SEA,7.0,3.4,4.8,88.0,58.0,72.5,1.0,0.5,0.7,0.1,0.0,0.1,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,14.8,8.5,11.2,3,WR
5,Tyler Lockett,SEA,6.5,4.7,5.5,93.0,66.0,76.4,1.0,0.4,0.6,0.7,0.0,0.2,4.7,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.0,15.3,10.1,11.2,3,WR
6,Adam Thielen,MIN,6.2,4.6,5.5,83.0,64.4,75.3,1.0,0.4,0.6,0.3,0.0,0.2,1.6,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,13.7,9.5,10.9,3,WR
7,Stefon Diggs,BUF,7.0,5.0,5.5,80.0,66.8,74.7,1.0,0.4,0.5,0.5,0.0,0.2,4.7,0.0,1.6,0.0,0.0,0.0,0.0,0.1,0.0,14.0,8.8,10.6,3,WR
8,Terry McLaurin,WAS,6.0,4.3,5.0,84.0,68.0,76.0,1.0,0.3,0.5,0.2,0.0,0.1,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,14.4,8.9,10.6,3,WR
9,DeVante Parker,MIA,5.3,4.5,4.8,79.4,64.4,72.7,1.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,8.5,10.5,3,WR
10,Julian Edelman,NE,6.4,5.2,5.7,80.1,69.8,74.6,1.0,0.1,0.4,0.7,0.4,0.5,5.8,2.0,4.0,0.0,0.0,0.0,0.0,0.1,0.1,13.3,9.4,10.5,3,WR
11,Chris Godwin,TB,6.0,4.4,5.3,81.6,62.0,74.1,1.0,0.3,0.5,0.1,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,14.0,8.2,10.4,3,WR
12,Allen Robinson,CHI,7.0,5.1,5.8,88.0,61.7,73.2,1.0,0.3,0.5,0.4,0.1,0.2,1.5,0.1,0.8,0.0,0.0,0.0,0.0,0.1,0.1,14.8,8.6,10.3,3,WR
13,Mike Evans,TB,5.2,4.5,4.9,80.4,61.0,70.1,1.0,0.4,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,8.7,10.3,3,WR
14,DJ Moore,CAR,6.6,5.0,6.0,90.2,70.4,78.0,1.0,0.1,0.4,0.7,0.4,0.5,8.2,2.3,3.8,0.0,0.0,0.0,0.0,0.2,0.1,13.4,8.5,10.2,3,WR
15,JuJu Smith-Schuster,PIT,6.0,4.8,5.3,86.0,49.8,68.2,1.0,0.3,0.5,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,14.6,7.1,9.9,3,WR
16,Diontae Johnson,PIT,6.4,4.8,5.4,75.0,54.6,64.1,1.0,0.4,0.6,0.3,0.0,0.2,3.4,0.2,1.5,0.0,0.0,0.0,0.0,0.3,0.1,13.5,8.6,9.8,3,WR
17,Keenan Allen,LAC,7.0,5.2,5.8,78.0,59.6,70.0,1.0,0.3,0.4,0.3,0.2,0.3,2.1,1.3,1.8,0.0,0.0,0.0,0.0,0.1,0.1,13.8,8.0,9.8,3,WR
18,Odell Beckham,CLE,6.0,3.8,4.8,77.5,56.0,66.0,1.0,0.3,0.5,0.3,0.0,0.1,1.6,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,13.5,7.4,9.7,3,WR
19,TY Hilton,IND,6.0,4.0,4.8,77.7,59.9,68.0,1.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,8.1,9.7,3,WR
