,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Ezekiel Elliott,DAL,22.0,16.3,19.5,96.8,72.0,85.1,1.0,0.3,0.7,5.3,3.0,4.0,43.0,28.4,33.4,0.4,0.0,0.2,0.1,0.2,0.2,18.6,15.5,16.6,3,RB
1,Alvin Kamara,NO,15.0,10.4,12.7,68.1,52.0,61.0,1.0,0.5,0.7,7.0,5.2,6.0,54.9,43.3,49.7,0.3,0.0,0.2,0.0,0.2,0.1,17.8,14.7,16.4,3,RB
2,Derrick Henry,TEN,23.0,18.0,21.0,111.0,89.9,98.4,1.0,0.5,0.8,2.0,1.3,1.6,16.0,10.2,13.2,0.1,0.0,0.1,0.1,0.2,0.1,18.4,14.1,16.0,3,RB
3,Miles Sanders,PHI,19.6,11.1,16.5,84.0,73.0,77.9,1.0,0.4,0.6,3.7,3.0,3.4,41.9,28.0,34.8,0.3,0.0,0.2,0.1,0.2,0.2,16.7,15.0,15.6,3,RB
4,Jonathan Taylor,IND,23.0,15.7,19.2,104.0,58.0,78.1,1.0,0.4,0.7,4.0,2.3,2.9,31.7,20.2,25.6,0.2,0.0,0.1,0.1,0.3,0.1,18.5,12.2,14.8,3,RB
5,Dalvin Cook,MIN,19.1,16.0,17.1,83.6,67.0,75.5,1.0,0.4,0.7,3.8,2.0,3.2,33.6,17.0,27.1,0.2,0.0,0.1,0.1,0.2,0.1,16.0,12.4,14.6,3,RB
6,Aaron Jones,GB,18.0,9.1,13.5,84.0,39.0,63.5,1.0,0.3,0.7,4.1,3.1,3.6,36.9,20.4,30.4,0.2,0.0,0.2,0.1,0.2,0.1,18.0,9.9,14.3,3,RB
7,Josh Jacobs,LV,22.0,15.4,18.7,98.7,67.9,83.2,1.0,0.3,0.6,3.2,2.2,2.7,27.0,17.0,21.5,0.1,0.0,0.0,0.1,0.2,0.1,17.5,12.3,14.0,3,RB
8,Chris Carson,SEA,18.3,13.3,15.8,84.8,56.4,67.5,1.0,0.4,0.6,4.0,2.4,3.1,25.1,17.8,23.0,0.4,0.0,0.2,0.1,0.2,0.1,15.1,11.9,13.5,3,RB
9,Kenyan Drake,ARI,18.0,12.0,15.2,77.5,56.1,69.9,1.0,0.5,0.6,3.9,2.1,2.9,31.0,13.0,23.2,0.2,0.0,0.1,0.1,0.2,0.1,15.1,12.1,13.5,3,RB
