,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
0,Jimmy Garoppolo,SF,QB,5800,Jimmy Garoppolo (15033413),15.6,16.145,20.120000000000005,23.86,14.27,17.520000000000003,20.360000000000007,15.27,18.320000000000004,21.06,359.2443480953856,288.27037773359837,243.08466051969825,7,4,1,1,1,5,19.26,3.13,301.1422637590862
1,Matt Ryan,ATL,QB,6700,Matt Ryan (15033400),21.29,20.904000000000003,22.7,24.84,16.924000000000003,18.8,21.140000000000004,17.924000000000003,19.6,21.74,320.51282051282044,295.15418502202647,269.7262479871176,3,2,2,2,2,4,27.9,4.1,240.14336917562724
2,Drew Brees,NO,QB,6800,Drew Brees (15033399),21.22,18.079,22.652,26.644,15.974000000000006,18.952,23.644,16.774000000000004,19.552,23.644,376.1269981746778,300.19424333392203,255.21693439423507,4,2,3,2,2,4,14.4,2.97,472.22222222222223
3,Ryan Fitzpatrick,MIA,QB,5300,Ryan Fitzpatrick (15033422),17.9,12.767999999999999,17.307000000000002,23.48,11.167999999999996,15.142,19.380000000000006,12.568,16.242,20.380000000000006,415.1002506265664,306.2344716010863,225.7240204429301,20,7,4,3,3,10,8.44,0.38,627.9620853080569
4,Russell Wilson,SEA,QB,7000,Russell Wilson (15033398),21.7,19.288999999999994,22.84200000000001,27.05,17.784000000000002,20.802000000000007,24.700000000000006,18.384,21.202000000000005,24.700000000000006,362.9011353621236,306.453025129148,258.7800369685767,2,2,5,3,2,5,34.78,5.76,201.26509488211616
5,Carson Wentz,PHI,QB,6300,Carson Wentz (15033405),17.94,15.864,20.474000000000004,24.239999999999995,14.564000000000002,18.194000000000006,20.74,15.564000000000002,18.894000000000005,21.34,397.125567322239,307.7073361336328,259.90099009901,6,3,6,3,3,6,16.0,3.11,393.75
6,Cam Newton,NE,QB,6100,Cam Newton (15033407),11.34,14.634,19.805,26.29000000000001,13.334,18.180000000000003,23.19,14.434000000000001,19.180000000000003,24.09000000000001,416.8375017083504,308.0030295379955,232.02738683910226,8,4,7,3,3,7,25.7,12.21,237.35408560311285
7,Mitchell Trubisky,CHI,QB,5400,Mitchell Trubisky (15033420),14.72,13.04,17.490000000000002,24.64,11.84,15.99,20.840000000000003,12.84,16.790000000000006,21.540000000000006,414.1104294478527,308.7478559176672,219.15584415584416,18,7,8,3,3,10,24.28,2.9,222.40527182866555
8,Gardner Minshew,JAC,QB,5800,Gardner Minshew II (15033412),17.73,12.956,18.613,23.56,11.456,16.578,20.860000000000007,12.456,17.377999999999997,21.260000000000005,447.6690336523618,311.61016493848393,246.17996604414262,13,5,9,4,4,9,20.82,1.16,278.57829010566763
9,Matthew Stafford,DET,QB,6200,Matthew Stafford (15033406),23.32,17.900999999999996,19.707,23.53,15.255999999999998,17.192,21.08,16.156,17.692,21.08,346.34936595720916,314.6090221748617,263.49341266468343,9,4,10,4,4,8,17.18,0.99,360.8847497089639
