QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST
Matt Ryan (13974233),Joe Mixon (13974308),Patrick Laird (13974340),Julio Jones (13974472),Michael Thomas (13974470),Mike Williams (13974532),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Joe Mixon (13974308),Melvin Gordon III (13974322),Michael Thomas (13974470),Keenan Allen (13974490),Mike Williams (13974532),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Ryan Fitzpatrick (13974235),Melvin Gordon III (13974322),Patrick Laird (13974340),Julio Jones (13974472),Michael Thomas (13974470),Courtland Sutton (13974498),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Matt Ryan (13974233),Melvin Gordon III (13974322),Patrick Laird (13974340),Julio Jones (13974472),Michael Thomas (13974470),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Ryan Fitzpatrick (13974235),Joe Mixon (13974308),Austin Ekeler (13974316),Michael Thomas (13974470),Keenan Allen (13974490),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Melvin Gordon III (13974322),Patrick Laird (13974340),Julio Jones (13974472),Michael Thomas (13974470),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Philip Rivers (13974241),Joe Mixon (13974308),Melvin Gordon III (13974322),Michael Thomas (13974470),Keenan Allen (13974490),Terry McLaurin (13974496),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Ryan Fitzpatrick (13974235),Joe Mixon (13974308),Melvin Gordon III (13974322),Michael Thomas (13974470),Jamison Crowder (13974524),Terry McLaurin (13974496),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
Matt Ryan (13974233),Austin Ekeler (13974316),Adrian Peterson (13974332),Julio Jones (13974472),Michael Thomas (13974470),Mike Williams (13974532),Austin Hooper (13974760),Noah Fant (13974772),Jaguars  (13974924)
Philip Rivers (13974241),Melvin Gordon III (13974322),Adrian Peterson (13974332),Julio Jones (13974472),Michael Thomas (13974470),Jamison Crowder (13974524),Austin Hooper (13974760),Noah Fant (13974772),Redskins  (13974916)
