"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Dak Prescott","DAL","32.1","23.8","276.6","2.3","0.4","4.7","25.3","0.3","0.2","23.4"
"Patrick Mahomes","KC","36.4","23.6","307.7","2.5","0.5","2.3","8.3","0.1","0.2","22.1"
"Lamar Jackson","BAL","34.2","21.7","249.5","1.6","0.6","9.2","48.3","0.2","0.3","20.9"
"Josh Allen","BUF","32.5","19.5","244.2","1.6","1.0","7.3","41.1","0.4","0.3","20.0"
"Deshaun Watson","HOU","32.9","21.9","262.9","1.7","0.9","5.7","31.0","0.2","0.3","19.3"
"Jameis Winston","TB","35.0","23.2","292.6","1.9","1.2","3.8","17.9","0.1","0.2","19.2"
"Tom Brady","NE","34.3","23.2","272.5","2.2","0.4","1.0","2.1","0.1","0.1","19.2"
"Russell Wilson","SEA","31.1","21.4","254.1","1.9","0.4","4.2","21.7","0.1","0.2","19.1"
"Aaron Rodgers","GB","33.6","22.4","264.5","1.8","0.3","3.4","15.7","0.1","0.2","19.0"
"Matt Ryan","ATL","37.6","27.4","294.2","1.8","0.5","1.6","7.0","0.0","0.2","18.6"
"Carson Wentz","PHI","36.2","23.6","275.1","1.9","0.9","3.0","10.9","0.1","0.2","18.2"
"Philip Rivers","LAC","35.6","24.4","281.0","2.0","0.6","1.0","2.5","0.0","0.1","18.1"
"Kyler Murray","ARI","37.0","22.0","268.5","1.7","1.1","3.8","19.4","0.1","0.2","17.8"
"Kirk Cousins","MIN","31.2","20.9","245.0","1.9","0.8","2.2","8.1","0.1","0.2","16.8"
"Jared Goff","LAR","34.6","22.8","274.1","1.5","0.6","1.9","4.9","0.0","0.2","16.4"
"Matthew Stafford","DET","36.4","23.7","271.4","1.5","0.5","1.7","7.2","0.0","0.2","16.3"
"Baker Mayfield","CLE","36.4","23.2","276.8","1.7","1.0","1.7","6.2","0.0","0.2","16.3"
"Jimmy Garoppolo","SF","32.5","21.2","248.1","1.8","0.9","1.9","5.4","0.0","0.1","15.7"
"Jacoby Brissett","IND","33.0","20.8","227.7","1.5","0.5","3.0","13.0","0.1","0.2","15.7"
"Mitch Trubisky","CHI","33.7","22.0","242.1","1.4","0.9","3.5","19.5","0.1","0.2","15.5"
"Andy Dalton","CIN","38.2","23.5","255.4","1.5","1.0","1.6","5.9","0.0","0.2","14.6"
"Mason Rudolph","PIT","37.5","23.3","271.8","1.3","1.2","1.3","5.5","0.0","0.2","13.9"
"Kyle Allen","CAR","35.4","21.1","235.7","1.5","1.2","2.2","8.9","0.1","0.2","13.7"
"Daniel Jones","NYG","35.0","22.9","240.3","1.3","1.0","2.1","10.2","0.0","0.2","13.7"
"Marcus Mariota","TEN","28.9","18.4","202.5","1.0","0.8","4.7","26.1","0.1","0.2","13.5"
"Gardner Minshew","JAC","32.4","22.0","220.5","1.1","0.8","4.0","16.8","0.1","0.2","13.1"
"Derek Carr","OAK","33.7","22.7","235.5","1.1","0.7","1.6","6.1","0.0","0.2","12.8"
"Case Keenum","WAS","34.2","22.1","224.9","1.1","0.9","1.7","5.3","0.1","0.2","12.4"
"Joe Flacco","DEN","36.0","21.3","244.5","1.1","1.0","0.8","2.2","0.0","0.1","12.2"
"Teddy Bridgewater","NO","32.5","21.2","211.9","1.1","0.9","1.5","6.2","0.0","0.2","11.4"
"Josh Rosen","MIA","30.1","18.0","188.9","0.9","1.2","1.5","8.7","0.0","0.2","9.2"
"Luke Falk","NYJ","32.8","18.7","203.7","0.6","0.9","1.4","4.6","0.0","0.2","8.7"
"Taysom Hill","NO","4.0","2.7","24.2","0.1","0.1","2.4","10.6","0.0","0.1","2.5"
"Will Grier","CAR","3.7","2.2","22.4","0.1","0.1","0.2","0.8","0.0","0.0","1.2"
"Dwayne Haskins","WAS","3.3","2.1","20.6","0.1","0.1","0.2","0.5","0.0","0.0","1.1"
