,Player,Position,Salary,DK_Points,DK_Value
0,Jameis Winston,QB,5400,22.274000000000004,242.43512615605633
1,Dak Prescott,QB,6500,25.974000000000007,250.2502502502502
2,Kyle Allen,QB,4000,15.518,257.76517592473255
3,Josh Allen,QB,5900,22.367999999999995,263.7696709585122
4,Carson Wentz,QB,5600,21.174000000000003,264.47529989609893
5,Kirk Cousins,QB,5100,18.799999999999997,271.2765957446809
6,Matt Ryan,QB,5700,20.948,272.1023486729043
7,Mason Rudolph,QB,4800,17.202,279.03732124171603
8,Philip Rivers,QB,5800,20.77,279.24891670678863
9,Matthew Stafford,QB,5500,18.856,291.6843445057276
10,Patrick Mahomes,QB,7600,26.038,291.8810968584377
11,Kyler Murray,QB,5800,19.77,293.3737986848761
12,Aaron Rodgers,QB,6100,20.44,298.4344422700587
13,Deshaun Watson,QB,6400,21.406,298.98159394562276
14,Tom Brady,QB,6600,21.990000000000006,300.13642564802177
15,Russell Wilson,QB,6300,20.924,301.0896578092143
16,Lamar Jackson,QB,7000,22.5,311.1111111111111
17,Jacoby Brissett,QB,5200,16.308000000000003,318.8619082658817
18,Andy Dalton,QB,5300,16.596,319.35406121957095
19,Daniel Jones,QB,5000,15.622000000000002,320.06145179874534
20,Joe Flacco,QB,4600,14.290000000000001,321.9034289713086
21,Jimmy Garoppolo,QB,6200,17.653999999999996,351.19519655602136
22,Derek Carr,QB,4900,13.530000000000001,362.1581670362158
23,Teddy Bridgewater,QB,4700,12.396,379.1545659890287
24,Josh Rosen,QB,4500,10.626000000000001,423.48955392433646
25,Luke Falk,QB,4600,9.908000000000001,464.27129592248684
26,Christian McCaffrey,RB,8700,26.64,326.57657657657654
27,Phillip Lindsay,RB,4300,12.75,337.2549019607843
28,Miles Sanders,RB,3900,11.459999999999999,340.3141361256545
29,Ezekiel Elliott,RB,8900,25.939999999999998,343.09946029298385
30,Chris Carson,RB,5900,17.110000000000003,344.8275862068965
31,Frank Gore,RB,4400,12.3,357.7235772357723
32,Dalvin Cook,RB,7800,21.720000000000002,359.1160220994475
33,Austin Ekeler,RB,7200,19.880000000000003,362.17303822937623
34,David Johnson,RB,6800,18.470000000000002,368.16459122902
35,Le'Veon Bell,RB,7000,18.400000000000002,380.4347826086956
36,Peyton Barber,RB,4600,12.070000000000002,381.1101905550952
37,Kerryon Johnson,RB,5600,14.440000000000001,387.81163434903044
38,Aaron Jones,RB,6100,15.450000000000001,394.82200647249186
39,Saquon Barkley,RB,9100,22.659999999999997,401.5887025595764
40,Devonta Freeman,RB,4900,11.950000000000001,410.04184100418405
41,Rex Burkhead,RB,3900,9.42,414.0127388535032
42,Marlon Mack,RB,5800,13.870000000000001,418.168709444845
43,Sony Michel,RB,6000,14.280000000000003,420.1680672268907
44,Royce Freeman,RB,4400,10.38,423.8921001926782
45,James Conner,RB,6400,14.92,428.9544235924933
46,James White,RB,5100,11.840000000000002,430.74324324324317
47,Duke Johnson,RB,4300,9.74,441.4784394250513
48,Alvin Kamara,RB,8000,18.12,441.5011037527594
49,LeSean McCoy,RB,5000,11.25,444.44444444444446
50,Darwin Thompson,RB,3000,6.720000000000001,446.4285714285714
51,Matt Breida,RB,5400,11.96,451.505016722408
