"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.6","81.8","0.7","0.1","12.1"
"Zach Ertz","PHI","7.0","77.4","0.6","0.1","11.2"
"George Kittle","SF","5.8","68.6","0.5","0.1","9.8"
"Mark Andrews","BAL","4.7","62.3","0.5","0.0","9.5"
"Evan Engram","NYG","5.4","60.4","0.5","0.1","9.0"
"Delanie Walker","TEN","4.6","48.1","0.5","0.1","7.5"
"Greg Olsen","CAR","3.7","46.0","0.4","0.0","7.2"
"Jason Witten","DAL","3.6","35.5","0.5","0.0","6.8"
"Darren Waller","OAK","5.0","50.5","0.2","0.1","5.8"
"Austin Hooper","ATL","4.8","45.1","0.2","0.0","5.5"
"T.J. Hockenson","DET","3.9","43.4","0.2","0.1","5.3"
"Vance McDonald","PIT","4.1","39.5","0.2","0.0","5.2"
"O.J. Howard","TB","2.9","36.7","0.2","0.1","4.7"
"Vernon Davis","WAS","3.5","37.6","0.2","0.0","4.7"
"Jared Cook","NO","3.3","35.9","0.2","0.0","4.6"
"Eric Ebron","IND","3.0","31.7","0.2","0.0","4.6"
"Kyle Rudolph","MIN","3.0","30.7","0.2","0.0","4.3"
"Jimmy Graham","GB","2.9","33.8","0.2","0.0","4.3"
"Will Dissly","SEA","2.5","29.1","0.2","0.0","4.0"
"Gerald Everett","LAR","2.9","29.8","0.2","0.0","3.9"
"Tyler Eifert","CIN","2.7","26.2","0.2","0.0","3.5"
"Demetrius Harris","CLE","2.4","26.4","0.1","0.0","3.5"
"Noah Fant","DEN","2.6","30.3","0.1","0.1","3.4"
"Jack Doyle","IND","2.9","25.7","0.1","0.1","3.3"
"Blake Jarwin","DAL","1.8","21.9","0.2","0.0","3.1"
"Trey Burton","CHI","2.1","21.3","0.1","0.0","2.9"
"Virgil Green","LAC","2.2","22.3","0.1","0.1","2.8"
"Ryan Griffin","NYJ","2.2","23.8","0.1","0.0","2.8"
"Mike Gesicki","MIA","2.3","23.1","0.1","0.1","2.7"
"Cameron Brate","TB","1.6","16.4","0.2","0.0","2.6"
"James O'Shaughnessy","JAC","2.4","20.3","0.1","0.0","2.5"
"Dawson Knox","BUF","1.6","17.3","0.1","0.0","2.5"
"Hayden Hurst","BAL","1.6","18.3","0.1","0.0","2.5"
"Jordan Akins","HOU","1.6","19.4","0.1","0.0","2.4"
"Geoff Swaim","JAC","2.4","18.9","0.1","0.0","2.3"
"Dallas Goedert","PHI","1.3","15.7","0.1","0.0","2.3"
"Ricky Seals-Jones","CLE","1.4","17.8","0.1","0.0","2.3"
"C.J. Uzomah","CIN","1.8","18.1","0.1","0.0","2.2"
"Marcedes Lewis","GB","1.2","13.9","0.1","0.0","2.2"
"Jeff Heuerman","DEN","1.6","15.5","0.1","0.0","2.1"
"Tommy Sweeney","BUF","1.4","14.3","0.1","0.0","1.9"
"Jesse James","DET","1.4","13.2","0.1","0.0","1.8"
"Darren Fells","HOU","1.0","10.7","0.1","0.0","1.8"
