,Player,Salary
0,Antonio Brown,7100
1,Tyreek Hill,7000
2,Melvin Gordon,6900
3,A.J. Green,6800
4,Cam Newton,6000
5,Drew Brees,6000
6,DJ Moore,5900
7,DeSean Jackson,5800
8,Michael Gallup,5700
9,Ben Roethlisberger,5600
10,Damien Williams,5200
11,Sam Darnold,5000
12,Tevin Coleman,4800
13,DK Metcalf,4700
14,Golden Tate,4600
15,Trevor Siemian,4500
16,Devin Singletary,4300
17,Jake Dolegala,4000
18,DeVante Parker,4000
19,Brandon Allen,4000
20,Chad Kelly,4000
21,Trace McSorley,4000
22,DeShone Kizer,4000
23,Josh Johnson,4000
24,David Blough,4000
25,Nate Sudfeld,4000
26,Alex Tanney,4000
27,Blaine Gabbert,4000
28,Alex McGough,4000
29,Easton Stick,4000
30,Geno Smith,4000
31,C.J. Beathard,4000
32,Ronald Jones,3900
33,Hunter Henry,3900
34,Albert Wilson,3800
35,JJ Arcega-Whiteside,3500
36,Benny Snell,3500
37,Demaryius Thomas,3300
38,Ben Watson,3300
39,C.J. Anderson,3200
40,Keith Kirkwood,3200
41,Trayveon Williams,3000
42,Pharoh Cooper,3000
43,Tavon Austin,3000
44,Andy Janovich,3000
45,Danny Vitale,3000
46,Juwann Winfree,3000
47,Darrius Shepherd,3000
48,Olamide Zaccheaus,3000
49,Jaleel Scott,3000
50,Isaiah Crowell,3000
51,C.J. Ham,3000
52,Dwayne Harris,3000
53,Jalin Marshall,3000
54,Laquon Treadwell,3000
55,James Develin,3000
56,Matthew Slater,3000
57,N'Keal Harry,3000
58,Corey Clement,3000
59,Travis Fulgham,3000
60,Darius Slayton,3000
61,Scotty Miller,3000
62,Andre Patton,3000
63,Gary Jennings,3000
64,Roosevelt Nix,3000
65,Johnny Holton,3000
66,Trent Taylor,3000
67,Jalen Hurd,3000
68,Tyler Kroft,2700
69,Irv Smith,2600
70,Clark Harris,2500
71,Hale Hentges,2500
72,James Winchester,2500
73,Tyler Conklin,2500
74,Garrett Dickerson,2500
75,Tyler Ott,2500
