"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Alvin Kamara","NO","12.5","56.9","0.7","6.0","51.1","0.4","0.2","17.1"
"Christian McCaffrey","CAR","14.7","68.5","0.5","6.4","52.4","0.3","0.2","16.8"
"Saquon Barkley","NYG","16.9","77.2","0.6","6.2","44.5","0.2","0.2","16.6"
"Nick Chubb","CLE","18.0","90.1","0.7","2.0","15.8","0.2","0.2","15.7"
"Dalvin Cook","MIN","16.2","78.2","0.6","3.9","30.3","0.1","0.2","15.0"
"Ezekiel Elliott","DAL","18.2","82.8","0.6","3.5","27.9","0.1","0.2","15.0"
"Chris Carson","SEA","18.7","85.4","0.7","2.8","19.5","0.1","0.2","14.5"
"David Johnson","ARI","15.1","58.9","0.6","4.1","37.9","0.2","0.2","14.1"
"Leonard Fournette","JAC","17.8","70.8","0.6","3.5","28.0","0.1","0.2","13.9"
"Kerryon Johnson","DET","15.2","74.5","0.6","3.8","26.3","0.1","0.2","13.7"
"James Conner","PIT","15.0","65.9","0.6","3.7","30.9","0.1","0.2","13.6"
"Le'Veon Bell","NYJ","17.0","72.1","0.5","3.5","27.5","0.1","0.2","13.4"
"Todd Gurley","LAR","14.4","64.3","0.6","2.8","25.4","0.1","0.1","13.3"
"Joe Mixon","CIN","15.7","71.0","0.5","3.2","25.1","0.1","0.2","12.7"
"Josh Jacobs","OAK","14.5","61.9","0.5","3.1","24.9","0.1","0.1","12.2"
"Derrick Henry","TEN","16.2","72.5","0.7","1.0","9.4","0.0","0.1","12.1"
"Austin Ekeler","LAC","10.8","50.5","0.5","4.2","31.9","0.2","0.1","12.0"
"Sony Michel","NE","17.8","76.5","0.6","1.1","7.4","0.0","0.2","11.8"
"Mark Ingram","BAL","14.8","68.1","0.5","1.9","17.0","0.1","0.2","11.8"
"Phillip Lindsay","DEN","12.4","61.2","0.5","2.7","21.6","0.1","0.1","11.6"
"Devonta Freeman","ATL","13.7","58.4","0.5","3.0","24.0","0.1","0.1","11.5"
"Aaron Jones","GB","12.2","60.1","0.6","2.5","17.7","0.1","0.1","11.4"
"David Montgomery","CHI","13.9","60.4","0.5","1.8","18.5","0.1","0.2","11.2"
"Damien Williams","KC","10.0","43.4","0.5","3.0","26.2","0.2","0.1","11.2"
"Marlon Mack","IND","14.8","64.5","0.5","1.6","11.6","0.0","0.2","10.8"
"Matt Breida","SF","11.3","53.7","0.4","2.1","18.3","0.1","0.1","9.9"
"Jordan Howard","PHI","13.7","55.8","0.4","1.3","9.3","0.0","0.1","9.0"
"Tevin Coleman","SF","11.2","49.9","0.3","2.6","19.1","0.1","0.1","9.0"
"Duke Johnson","HOU","9.0","36.9","0.1","3.8","35.3","0.1","0.1","8.7"
"Miles Sanders","PHI","10.3","45.4","0.2","2.5","19.5","0.1","0.2","8.0"
"Derrius Guice","WAS","12.1","50.3","0.2","1.7","14.8","0.0","0.2","7.8"
"James White","NE","4.5","18.6","0.1","4.6","39.1","0.2","0.1","7.7"
"Tarik Cohen","CHI","5.3","22.4","0.1","4.2","38.7","0.2","0.2","7.6"
"Justin Jackson","LAC","10.7","44.2","0.3","1.6","15.3","0.0","0.1","7.5"
