"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.5","74.4","0.7","0.1","11.3"
"George Kittle","SF","5.4","74.4","0.5","0.1","10.3"
"Zach Ertz","PHI","6.1","56.2","0.6","0.1","9.0"
"Evan Engram","NYG","5.1","60.0","0.5","0.1","8.7"
"O.J. Howard","TB","4.0","53.5","0.6","0.1","8.6"
"Jared Cook","NO","3.7","44.3","0.5","0.0","7.6"
"Vance McDonald","PIT","4.2","47.1","0.5","0.1","7.4"
"David Njoku","CLE","3.6","40.3","0.5","0.0","6.9"
"Mark Andrews","BAL","3.1","39.0","0.4","0.0","6.5"
"Hunter Henry","LAC","4.3","48.5","0.2","0.0","6.3"
"Darren Waller","OAK","3.4","38.0","0.4","0.1","6.1"
"Will Dissly","SEA","2.1","30.5","0.5","0.0","6.0"
"Eric Ebron","IND","3.2","32.5","0.4","0.0","5.9"
"Delanie Walker","TEN","3.6","36.9","0.4","0.1","5.8"
"Vernon Davis","WAS","3.1","39.9","0.1","0.1","4.6"
"Jimmy Graham","GB","3.4","35.7","0.2","0.0","4.6"
"Austin Hooper","ATL","3.6","33.7","0.2","0.0","4.5"
"Adam Shaheen","CHI","2.7","29.2","0.2","0.0","4.2"
"Greg Olsen","CAR","2.6","29.4","0.2","0.0","4.2"
"Tyler Eifert","CIN","2.9","33.4","0.1","0.0","4.1"
"Noah Fant","DEN","2.5","31.4","0.2","0.1","4.1"
"Kyle Rudolph","MIN","3.1","28.8","0.2","0.0","4.0"
"Dallas Goedert","PHI","2.1","21.2","0.3","0.0","3.9"
"Geoff Swaim","JAC","3.0","27.3","0.2","0.0","3.7"
"T.J. Hockenson","DET","3.0","27.9","0.2","0.1","3.7"
"Jack Doyle","IND","3.1","28.1","0.1","0.1","3.4"
"Jason Witten","DAL","2.7","25.9","0.1","0.0","3.4"
"Mike Gesicki","MIA","2.3","25.4","0.1","0.1","3.1"
"Matt LaCosse","NE","2.3","23.4","0.1","0.0","3.1"
"Gerald Everett","LAR","2.0","22.1","0.1","0.0","3.1"
"Cameron Brate","TB","2.0","18.4","0.2","0.1","2.9"
"Charles Clay","ARI","2.4","23.9","0.1","0.1","2.8"
"Jeff Heuerman","DEN","1.7","17.6","0.2","0.0","2.7"
"Dawson Knox","BUF","1.6","18.8","0.1","0.0","2.5"
"Tyler Higbee","LAR","1.4","16.6","0.1","0.0","2.4"
"Garrett Celek","SF","0.7","12.1","0.2","0.0","2.4"
"Blake Jarwin","DAL","1.6","16.0","0.1","0.0","2.4"
"Nick Vannett","SEA","1.6","14.3","0.2","0.0","2.4"
"Foster Moreau","OAK","1.6","17.8","0.1","0.0","2.4"
"Ryan Griffin","NYJ","1.6","19.8","0.1","0.0","2.3"
"Hayden Hurst","BAL","1.5","16.6","0.1","0.0","2.3"
"Jonnu Smith","TEN","1.3","14.8","0.1","0.0","2.2"
"Ian Thomas","CAR","1.6","15.9","0.1","0.0","2.2"
"Luke Stocker","ATL","1.2","12.7","0.1","0.0","2.1"
"Nick O'Leary","MIA","1.2","14.0","0.1","0.0","2.1"
"Drew Sample","CIN","1.4","14.8","0.1","0.0","2.1"
"Irv Smith Jr.","MIN","1.6","15.4","0.1","0.1","2.1"
"Zach Gentry","PIT","1.1","13.6","0.1","0.0","2.0"
"Jesse James","DET","1.5","14.2","0.1","0.0","2.0"
"C.J. Uzomah","CIN","1.4","15.1","0.1","0.0","1.9"
"Darren Fells","HOU","1.1","11.2","0.1","0.0","1.9"
"James O'Shaughnessy","JAC","1.7","15.0","0.1","0.0","1.8"
"Jordan Akins","HOU","1.2","15.7","0.0","0.0","1.8"
"Jake Butt","DEN","1.1","12.9","0.1","0.0","1.8"
"Maxx Williams","ARI","1.2","11.3","0.1","0.0","1.6"
"Demetrius Harris","CLE","0.8","9.2","0.1","0.0","1.6"
"Eric Saubert","OAK","1.0","9.5","0.1","0.0","1.5"
"Mo Alie-Cox","IND","0.7","10.5","0.1","0.0","1.5"
"Marcedes Lewis","GB","0.9","9.7","0.1","0.0","1.4"
"Rhett Ellison","NYG","1.2","11.5","0.0","0.0","1.4"
"Josh Hill","NO","1.0","9.5","0.1","0.0","1.4"
"Lee Smith","BUF","0.9","8.5","0.1","0.0","1.4"
"Trevon Wesco","NYJ","0.8","7.8","0.1","0.0","1.4"
"Robert Tonyan","GB","0.7","8.9","0.1","0.0","1.3"
"Garrett Griffin","NO","0.8","6.9","0.1","0.0","1.3"
