,Player,Position,Salary,DK_Points,DK_Value
0,Dak Prescott,QB,5900,20.852,282.94648
1,Carson Wentz,QB,5700,20.01,284.8575712
2,Kyler Murray,QB,5600,19.642,285.10335
3,Lamar Jackson,QB,6000,20.914,286.8891652
4,Jameis Winston,QB,6600,22.91,288.0838062
5,Jared Goff,QB,6200,21.266,291.5451895
6,Kirk Cousins,QB,5500,18.79,292.7088877
7,Nick Foles,QB,5300,17.814,297.5188054
8,Philip Rivers,QB,5900,19.736,298.9460884
9,Baker Mayfield,QB,6400,21.388,299.2332149
10,Jimmy Garoppolo,QB,5800,19.148,302.9036975
11,Patrick Mahomes,QB,7200,23.706,303.7205771
12,Jacoby Brissett,QB,4400,14.374,306.108251
13,Matt Ryan,QB,6100,19.916,306.2864029
14,Matthew Stafford,QB,5400,17.55,307.6923077
15,Cam Newton,QB,6500,21.124,307.7068737
16,Russell Wilson,QB,6300,19.872,317.0289855
17,Josh Allen,QB,5600,17.498,320.0365756
18,Sam Darnold,QB,5100,14.858,343.2494279
19,Andy Dalton,QB,5000,14.056,355.7199772
20,Ryan Fitzpatrick,QB,4900,13.632,359.4483568
21,Marcus Mariota,QB,5200,14.374,361.7642966
22,Case Keenum,QB,4900,12.89,380.1396431
23,Eli Manning,QB,5000,13.08,382.2629969
24,Chris Carson,RB,5700,18.88,301.9067797
25,Dalvin Cook,RB,6000,18.75,320
26,Nick Chubb,RB,6400,19.77,323.7228123
27,Kerryon Johnson,RB,5800,17.88,324.3847875
28,Matt Breida,RB,4000,12.2,327.8688525
29,Austin Ekeler,RB,5500,16.54,332.5272068
30,Leonard Fournette,RB,6100,17.38,350.9781358
31,Devonta Freeman,RB,5300,14.74,359.5658073
32,Miles Sanders,RB,3900,10.59,368.2719547
33,Mark Ingram,RB,5100,13.81,369.2976104
34,Christian McCaffrey,RB,8800,23.09,381.1173668
35,Saquon Barkley,RB,9000,22.97,391.8154114
36,Devin Singletary,RB,3600,9.02,399.113082
37,Chris Thompson,RB,3500,8.53,410.3165299
38,Joe Mixon,RB,6700,16.21,413.325108
39,Jordan Howard,RB,4200,10.11,415.4302671
40,David Johnson,RB,7700,18.38,418.9336235
41,Le'Veon Bell,RB,7100,16.86,421.1150652
42,Tevin Coleman,RB,5000,11.8,423.7288136
43,Justin Jackson,RB,4000,9.25,432.4324324
44,Derrick Henry,RB,5900,13.29,443.9428141
45,Damien Williams,RB,6300,14.06,448.0796586
46,Marlon Mack,RB,5600,12.01,466.2781016
47,Ezekiel Elliott,RB,9200,19.56,470.3476483
48,Derrius Guice,RB,4400,9.21,477.7415852
49,Kenyan Drake,RB,4700,9.46,496.8287526
50,Peyton Barber,RB,4000,8.05,496.8944099
51,Todd Gurley,RB,7900,15.87,497.794581
52,Dion Lewis,RB,4700,9.43,498.4093319
53,Nyheim Hines,RB,3900,7.65,509.8039216
54,Ryquell Armstead,RB,3000,5.82,515.4639175
55,Frank Gore,RB,3800,7.03,540.5405405
56,C.J. Anderson,RB,3900,7.18,543.1754875
57,Ty Montgomery,RB,3200,5.65,566.3716814
58,Justice Hill,RB,3600,6.24,576.9230769
59,Rashaad Penny,RB,4900,8.18,599.0220049
60,T.J. Yeldon,RB,3300,5.39,612.244898
61,Giovani Bernard,RB,4100,6.51,629.8003072
62,Tony Pollard,RB,4500,6.95,647.4820144
63,Kalen Ballage,RB,4500,6.9,652.173913
