,Player,Salary
0,A.J. Green,7200
1,Andrew Luck,6700
2,Golden Tate,4800
3,Chad Henne,4600
4,LeSean McCoy,4600
5,Taylor Heinicke,4500
6,Cooper Rush,4400
7,Jerick McKinnon,4300
8,Carlos Hyde,4100
9,Jeff Driskel,4100
10,Brandon Allen,4000
11,Kyle Allen,4000
12,John Wolford,4000
13,Garrett Gilbert,4000
14,Logan Woodside,4000
15,Tanner Lee,4000
16,Alex McGough,4000
17,John Lovett,4000
18,Chase Litton,4000
19,Kyle Shurmur,4000
20,Kenny Stills,4000
21,Jake Rudock,4000
22,Trace McSorley,4000
23,Kyle Sloter,4000
24,Kurt Benkert,4000
25,Jake Browning,4000
26,Davis Webb,4000
27,Luke Falk,4000
28,Tyree Jackson,4000
29,Alex Smith,4000
30,Colt McCoy,4000
31,Cody Kessler,4000
32,Josh Woodrum,4000
33,Nate Sudfeld,4000
34,Clayton Thorson,4000
35,Chad Kelly,4000
36,Cardale Jones,4000
37,Phillip Walker,4000
38,Easton Stick,4000
39,Geno Smith,4000
40,Paxton Lynch,4000
41,Jake Dolegala,4000
42,DK Metcalf,4000
43,Tom Savage,4000
44,David Fales,4000
45,Charles Kanoff,4000
46,David Blough,4000
47,Drew Anderson,4000
48,Alex Tanney,4000
49,Mike White,4000
50,Kyle Lauletta,4000
51,Taryn Christion,4000
52,Blaine Gabbert,4000
53,C.J. Beathard,4000
54,Wilton Speight,4000
55,Nick Fitzgerald,4000
56,DeVante Parker,3900
57,Josh Doctson,3900
58,Ronald Jones,3900
59,Jordan Reed,3600
60,Duke Johnson,3500
61,David Moore,3500
62,JJ Arcega-Whiteside,3400
63,Antonio Callaway,3300
64,Spencer Ware,3200
65,Darius Slayton,3200
66,Bruce Anderson,3200
67,Kenneth Dixon,3100
68,Elijah McGuire,3100
69,Josh Adams,3100
70,Hakeem Butler,3100
71,Torrey Smith,3000
72,Aldrick Robinson,3000
73,DeAndrew White,3000
74,Rashad Ross,3000
75,Jaydon Mickens,3000
76,Cameron Artis-Payne,3000
77,Justin Davis,3000
78,Andre Levrone,3000
79,Jonathan Lloyd,3000
80,Jalen Greene,3000
81,Austin Proehl,3000
82,Terry Godwin,3000
83,Damion Jeanpiere,3000
84,Alex Bachman,3000
85,Matt Colburn,3000
86,Braxton Miller,3000
87,Blake Jackson,3000
88,Cody Hollister,3000
