"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","2.6","1.1","0.6","0.9","0.2","0.0","17.0","290.5","8.2"
"New York Jets","","2.8","1.1","0.6","0.9","0.2","0.0","18.8","319.8","8.1"
"Cleveland Browns","","2.7","0.9","0.7","1.4","0.2","0.0","19.6","309.0","7.9"
"Seattle Seahawks","","2.6","0.9","0.6","1.0","0.2","0.0","17.6","316.5","7.8"
"Dallas Cowboys","","2.9","0.9","0.6","1.2","0.1","0.0","17.9","317.9","7.8"
"Philadelphia Eagles","","2.6","0.9","0.6","0.8","0.2","0.0","17.2","315.4","7.6"
"New Orleans Saints","","3.5","0.9","0.7","1.1","0.2","0.0","21.4","351.2","7.5"
"Detroit Lions","","3.1","0.9","0.6","1.0","0.2","0.0","20.7","322.6","7.3"
"San Francisco 49ers","","2.8","1.1","0.6","1.0","0.2","0.0","24.5","365.8","7.3"
"Denver Broncos","","3.1","0.8","0.8","1.4","0.2","0.0","20.1","343.9","7.2"
"Los Angeles Chargers","","2.4","0.9","0.6","0.8","0.1","0.0","17.6","326.7","7.2"
"Kansas City Chiefs","","2.9","0.8","0.8","1.4","0.2","0.1","22.3","341.1","7.2"
"Tampa Bay Buccaneers","","2.9","0.9","0.7","1.2","0.2","0.0","24.3","387.5","7.1"
"New England Patriots","","1.8","1.0","0.6","1.1","0.1","0.1","19.8","394.3","7.0"
"Buffalo Bills","","2.5","1.1","0.6","1.1","0.2","0.0","21.2","297.2","7.0"
"Los Angeles Rams","","2.5","1.0","0.6","0.9","0.2","0.0","22.6","362.6","6.7"
"Chicago Bears","","3.4","0.6","0.6","0.9","0.1","0.0","20.5","326.3","6.6"
"Minnesota Vikings","","2.9","0.8","0.6","0.9","0.1","0.0","20.0","339.6","6.5"
"Green Bay Packers","","2.5","0.9","0.6","0.9","0.1","0.0","23.5","350.0","6.5"
"Arizona Cardinals","","2.9","0.8","0.6","1.0","0.1","0.0","23.5","341.4","6.4"
"Miami Dolphins","","2.2","0.9","0.6","0.9","0.2","0.0","23.5","376.9","6.2"
"Atlanta Falcons","","2.4","0.8","0.6","1.0","0.1","0.0","23.6","351.4","6.1"
"Washington Redskins","","2.5","0.8","0.7","1.2","0.1","0.0","26.1","362.7","6.1"
"Tennessee Titans","","2.5","0.9","0.6","0.8","0.1","0.0","23.5","369.4","6.0"
"New York Giants","","2.6","0.7","0.6","0.8","0.1","0.0","24.8","349.8","6.0"
"Carolina Panthers","","2.2","0.9","0.6","1.1","0.1","0.1","25.6","403.3","5.9"
"Jacksonville Jaguars","","2.4","0.8","0.5","0.7","0.1","0.0","24.8","362.5","5.8"
"Indianapolis Colts","","2.3","0.8","0.6","1.0","0.1","0.0","25.0","365.8","5.8"
"Cincinnati Bengals","","2.7","0.6","0.5","0.4","0.1","0.0","25.5","360.2","5.7"
"Oakland Raiders","","1.8","0.9","0.5","0.9","0.1","0.0","22.3","372.7","5.6"
"Houston Texans","","2.0","0.7","0.6","1.1","0.1","0.0","26.7","366.3","5.4"
"Pittsburgh Steelers","","2.1","0.7","0.5","0.7","0.1","0.0","24.9","369.5","5.0"
""
""
