,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,7.0,4.7,6.0,86.2,57.0,73.2,1.0,0.4,0.6,0.0,0.1,0.0,13.7,8.2,10.8,2,TE
1,Mark Andrews,BAL,6.0,4.2,4.8,71.8,58.5,63.7,1.0,0.6,0.7,0.0,0.1,0.0,12.9,9.4,10.4,2,TE
2,Darren Waller,LV,6.2,4.4,5.2,75.0,50.7,61.7,1.0,0.2,0.4,0.0,0.1,0.1,12.4,6.4,8.7,2,TE
3,Jared Cook,NO,6.0,3.0,4.3,64.0,46.0,55.5,1.0,0.3,0.5,0.0,0.0,0.0,11.5,7.2,8.6,2,TE
4,Zach Ertz,PHI,6.8,4.5,5.2,71.4,47.4,55.6,1.0,0.3,0.5,0.0,0.1,0.0,12.1,6.8,8.4,2,TE
5,Jonnu Smith,TEN,5.0,3.0,3.7,52.0,34.2,42.7,1.0,0.3,0.5,0.0,0.0,0.0,11.2,5.7,7.1,2,TE
6,TJ Hockenson,DET,5.0,3.2,4.0,56.0,38.5,47.2,1.0,0.2,0.4,0.0,0.0,0.0,11.6,5.4,7.1,2,TE
7,Chris Herndon,NYJ,5.8,3.9,4.6,58.0,45.3,50.1,1.0,0.2,0.4,0.0,0.5,0.1,11.8,5.8,7.0,2,TE
8,Hunter Henry,LAC,5.0,3.9,4.4,61.0,44.8,52.4,0.4,0.0,0.3,0.0,0.1,0.0,7.6,6.1,6.8,2,TE
9,Tyler Higbee,LAR,5.9,3.4,4.6,67.4,38.5,52.9,0.4,0.0,0.2,0.0,0.0,0.0,9.0,5.1,6.6,2,TE
10,Hayden Hurst,ATL,5.0,3.0,3.9,59.0,32.8,44.9,0.5,0.0,0.2,0.0,0.0,0.0,6.8,4.8,6.0,2,TE
11,Noah Fant,DEN,4.0,3.2,3.7,56.1,36.0,46.2,0.4,0.0,0.2,0.0,0.1,0.0,7.9,5.2,5.8,2,TE
12,Evan Engram,NYG,5.1,3.7,4.2,58.8,40.0,45.0,0.3,0.0,0.2,0.0,0.0,0.0,6.8,4.0,5.7,2,TE
13,Austin Hooper,CLE,5.6,3.0,3.6,57.9,31.8,41.9,0.4,0.0,0.2,0.0,0.0,0.0,7.0,3.8,5.6,2,TE
14,Mike Gesicki,MIA,5.3,3.3,4.0,55.7,31.8,42.8,0.3,0.0,0.2,0.0,0.1,0.1,6.9,4.4,5.2,2,TE
15,Rob Gronkowski,TB,4.4,2.5,3.2,48.7,31.2,40.0,0.4,0.0,0.2,0.0,0.0,0.0,5.9,4.1,5.2,2,TE
16,Logan Thomas,WAS,5.0,2.0,3.3,54.0,19.2,34.9,0.4,0.0,0.2,0.0,0.0,0.0,5.8,3.1,4.5,2,TE
17,Jimmy Graham,CHI,3.8,1.9,2.9,44.6,20.2,34.0,0.3,0.0,0.2,0.0,0.0,0.0,5.6,2.5,4.4,2,TE
18,Darren Fells,HOU,4.0,1.6,2.4,47.0,15.8,24.9,1.0,0.1,0.3,0.0,0.0,0.0,10.7,2.4,4.3,2,TE
19,Eric Ebron,PIT,4.4,2.4,2.9,50.2,28.0,34.3,0.2,0.0,0.1,0.0,0.0,0.0,4.8,3.5,4.3,2,TE
20,Greg Olsen,SEA,3.8,2.0,2.7,46.5,25.0,32.0,0.3,0.0,0.2,0.0,0.0,0.0,5.2,3.0,4.2,2,TE
