,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
0,Dak Prescott,DAL,QB,6800,Dak Prescott (15355527),17.64,21.570999999999998,25.531,30.272,18.026,21.786000000000005,27.272,18.926,22.386,27.272,315.2380510871077,266.34287728643613,224.63002114164902,2,1,1,1,1,2,43.8,8.51,155.25114155251143
1,Kyler Murray,ARI,QB,6100,Kyler Murray (15355534),27.3,16.274,22.358999999999995,31.273,15.074000000000002,21.054000000000002,28.688,16.074,21.854,29.388,374.8310188029986,272.820788049555,195.05643846129246,6,3,2,1,1,4,33.14,70.63,184.06759203379602
2,Matt Ryan,ATL,QB,6600,Matt Ryan (15355529),27.9,20.768,23.700000000000006,26.08,16.468,19.700000000000006,22.380000000000006,17.468,20.500000000000004,22.98,317.7966101694915,278.4810126582278,253.06748466257667,4,2,3,1,1,3,28.52,2.07,231.4165497896213
3,Jared Goff,LAR,QB,5800,Jared Goff (15355541),11.5,16.674999999999994,20.125000000000007,24.1,13.900000000000002,16.850000000000005,20.200000000000006,15.000000000000002,17.750000000000007,21.000000000000004,347.82608695652186,288.1987577639751,240.66390041493776,10,5,4,2,2,7,23.98,0.58,241.86822351959967
4,Josh Allen,BUF,QB,6700,Josh Allen (15355528),33.18,17.686000000000003,22.866,31.15,16.186000000000003,21.766,29.000000000000004,17.186000000000003,22.565999999999995,29.700000000000006,378.8307135587469,293.0114580600018,215.08828250401282,5,3,5,2,2,5,37.48,2.65,178.76200640341517
5,Deshaun Watson,HOU,QB,6400,Deshaun Watson (15355531),21.82,14.919999999999998,21.346,28.75,13.62,19.226000000000006,25.15,14.62,20.026,25.75,428.95442359249336,299.8219806989601,222.6086956521739,8,4,6,3,3,7,15.7,0.33,407.64331210191085
6,Patrick Mahomes,KC,QB,7700,Patrick Mahomes (15355525),20.44,19.68,25.255,28.93,17.48,22.130000000000006,25.93,18.18,22.630000000000006,25.93,391.26016260162595,304.89012076816465,266.1596958174905,3,1,7,3,1,4,30.48,0.9,252.6246719160105
7,Tom Brady,TB,QB,6500,Tom Brady (15355530),22.46,16.160000000000004,21.285999999999994,26.34,14.91,18.866,23.24,15.810000000000004,19.366,23.24,402.2277227722772,305.36502865733354,246.77296886864087,9,4,8,3,3,7,10.68,0.38,608.6142322097378
8,Aaron Rodgers,GB,QB,6900,Aaron Rodgers (15355526),33.76,17.954,22.346999999999998,27.58,16.024,19.882,24.480000000000004,16.824,20.282000000000004,24.480000000000004,384.3154728751253,308.7662773526648,250.18129079042785,7,3,9,3,3,6,19.2,3.37,359.375
9,Mitchell Trubisky,CHI,QB,5500,Mitchell Trubisky (15355544),24.28,13.378,17.691,24.05,12.078,16.596000000000004,21.5,13.078,17.396,22.200000000000006,411.1227388249365,310.89254423153017,228.69022869022868,17,6,10,3,3,9,15.2,0.67,361.8421052631579
10,Lamar Jackson,BAL,QB,8200,Lamar Jackson (15355524),27.5,20.706000000000003,25.89,33.980000000000004,19.506,25.09,33.18,20.305999999999997,25.59,33.18,396.0204771563797,316.72460409424485,241.31842260153027,1,1,11,4,1,5,17.56,3.9,466.9703872437358
11,Carson Wentz,PHI,QB,6000,Carson Wentz (15355535),16.0,14.872,18.840999999999994,22.450999999999997,13.332,16.796,20.055999999999997,14.332,17.595999999999997,20.656,403.44271113501884,318.45443447800017,267.2486748919871,12,6,12,4,4,10,14.38,0.53,417.24617524339357
12,Matthew Stafford,DET,QB,6200,Matthew Stafford (15355533),17.18,16.569999999999997,19.373,23.19,14.12,16.637999999999998,19.940000000000005,15.22,17.438000000000002,20.540000000000006,374.17018708509363,320.033035668198,267.3566192324278,11,5,13,4,4,9,17.16,0.24,361.3053613053613
13,Ryan Tannehill,TEN,QB,5900,Ryan Tannehill (15355538),19.36,14.54,18.01,22.914,13.44,17.210000000000004,21.884000000000004,14.24,17.810000000000006,21.884000000000004,405.7771664374141,327.5957801221544,257.4845072881208,14,6,14,5,5,11,26.76,0.38,220.47832585949178
14,Teddy Bridgewater,CAR,QB,5800,Teddy Bridgewater (15355539),19.36,11.564,17.621,24.78,10.564,15.926000000000002,21.78,11.364,16.526000000000003,21.78,501.55655482531995,329.152715509903,234.0597255851493,18,6,15,5,5,11,14.68,0.06,395.09536784741147
15,Tyrod Taylor,LAC,QB,5300,Tyrod Taylor (15355546),9.02,11.792,16.074000000000005,22.29,10.392000000000001,15.174000000000001,21.14,11.392000000000001,15.874000000000004,21.540000000000006,449.4572591587517,329.72502177429385,237.7747868999552,21,7,16,5,5,12,0.0,1.81,1000.0
