,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Kyler Murray,ARI,QB,6100,Kyler Murray (15355534),16.274,22.358999999999995,31.272999999999996
1,Matt Ryan,ATL,QB,6600,Matt Ryan (15355529),20.768,23.700000000000003,26.08
2,Jared Goff,LAR,QB,5800,Jared Goff (15355541),16.674999999999997,20.125000000000007,24.1
0,Derrick Henry,TEN,RB,7900,Derrick Henry (15355598),19.680000000000003,24.200000000000003,28.400000000000002
1,Jonathan Taylor,IND,RB,5700,Jonathan Taylor (15355620),12.010000000000002,16.279999999999998,22.25
2,Melvin Gordon,DEN,RB,5200,Melvin Gordon III (15355634),10.54,14.760000000000002,19.77
3,Kenyan Drake,ARI,RB,5900,Kenyan Drake (15355616),11.310000000000002,16.14,21.069999999999997
4,Ezekiel Elliott,DAL,RB,8200,Ezekiel Elliott (15355596),15.330000000000002,22.394999999999996,29.180000000000003
5,Ronald Jones,TB,RB,5200,Ronald Jones II (15355636),10.520000000000001,14.100000000000001,18.48
6,David Johnson,HOU,RB,5800,David Johnson (15355618),10.55,15.410000000000002,21.7
7,James Robinson,JAC,RB,4400,James Robinson (15355680),6.98,11.430000000000001,14.610000000000001
14,Christian McCaffrey,CAR,RB,10000,Christian McCaffrey (15355592),16.939999999999998,23.209999999999997,29.814999999999998
0,Corey Davis,TEN,WR,4000,Corey Davis (15355960),9.2,12.570000000000002,18.12
1,Julio Jones,ATL,WR,7400,Julio Jones (15355834),18.525,23.25,29.3
2,Davante Adams,GB,WR,8100,Davante Adams (15355828),20.374999999999996,25.15,28.96
3,Diontae Johnson,PIT,WR,4500,Diontae Johnson (15355932),10.5,13.070000000000002,17.060000000000002
4,Adam Humphries,TEN,WR,3400,Adam Humphries (15356020),6.300000000000001,9.77,12.850000000000001
5,Mike Williams,LAC,WR,4200,Mike Williams (15355946),9.280000000000001,11.910000000000002,19.6
6,Amari Cooper,DAL,WR,6300,Amari Cooper (15355854),14.55,17.449999999999996,24.25
7,Parris Campbell,IND,WR,4500,Parris Campbell (15355930),9.4,12.32,18.21
8,Breshad Perriman,NYJ,WR,3800,Breshad Perriman (15355972),7.4,10.350000000000001,14.780000000000001
9,TY Hilton,IND,WR,5700,T.Y. Hilton (15355876),12.14,15.16,20.075
0,Chris Herndon,NYJ,TE,3400,Chris Herndon (15356226),9.129999999999999,11.91,17.6
1,Jonnu Smith,TEN,TE,4200,Jonnu Smith (15356204),8.219999999999999,10.97,16.2
0,Jets,NYJ,DST,2000,Jets  (15356411),4.042857142857143,5.428571428571429,7.442857142857144
1,Dolphins,MIA,DST,2100,Dolphins  (15356409),4.585714285714286,5.242857142857144,7.171428571428572
2,Cardinals,ARI,DST,3000,Cardinals  (15356396),5.385714285714286,7.342857142857143,9.142857142857142
