,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank,FPTS,%Drafted
0,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Jets  (15356411),49800.0,125.03385714285713,157.38957142857143,199.40485714285717,3,1,155,159,5,126.49999999999999,43.28999999999999
1,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Dolphins  (15356409),49900.0,125.57671428571429,157.20385714285715,199.1334285714286,1,2,187,190,7,124.49999999999999,44.651111111111106
2,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),50000.0,125.11385714285713,156.7295714285714,200.88485714285716,2,3,69,74,3,117.3,40.871111111111105
3,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),50000.0,123.68671428571429,156.62385714285716,201.16485714285716,12,4,58,74,4,106.1,28.534444444444446
4,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49900.0,122.17385714285713,156.27957142857142,196.84485714285717,39,5,446,490,45,122.89999999999998,36.27333333333333
5,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49500.0,123.81385714285713,156.2295714285714,201.94485714285716,10,6,36,52,1,106.69999999999999,39.15555555555555
6,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),50000.0,122.71671428571429,156.09385714285713,196.5734285714286,21,7,495,523,52,120.89999999999998,37.63444444444444
7,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Dolphins  (15356409),49600.0,124.35671428571429,156.04385714285712,201.67342857142862,6,8,42,56,2,104.69999999999999,40.516666666666666
8,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),49700.0,122.17671428571428,156.00385714285716,196.89485714285718,38,9,440,487,44,124.09999999999998,36.58333333333333
9,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49800.0,119.77685714285715,155.9075714285714,203.11585714285718,191,10,9,210,10,109.03999999999999,45.79111111111111
10,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),49900.0,120.3197142857143,155.72185714285712,202.84442857142858,135,11,14,160,6,107.03999999999999,47.152222222222214
11,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Jets  (15356411),49600.0,124.23085714285713,155.5585714285714,195.21285714285716,8,12,708,728,88,111.22,42.57444444444444
12,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Dolphins  (15356409),49700.0,124.77371428571428,155.37285714285713,194.94142857142865,5,13,757,775,96,109.22,43.93555555555555
13,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),49900.0,122.25671428571428,155.34385714285716,198.37485714285717,37,14,258,309,19,114.89999999999999,34.16444444444445
14,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Mike Williams (15355946),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),50000.0,119.85685714285714,155.24757142857143,204.59585714285717,183,15,5,203,8,99.84,43.37222222222222
15,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49500.0,123.64385714285713,155.20957142857142,198.40485714285717,13,16,255,284,16,111.7,32.62555555555556
16,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Breshad Perriman (15355972),Jets  (15356411),49600.0,123.23385714285715,155.1695714285714,196.06485714285716,15,17,582,614,64,117.1,42.38666666666666
17,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49900.0,122.30385714285713,155.15957142857144,194.66985714285718,34,18,809,861,118,106.69999999999999,28.24888888888889
18,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49600.0,121.80671428571428,155.06385714285716,196.34485714285717,56,19,536,611,63,105.89999999999999,30.049999999999997
19,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Dolphins  (15356409),49600.0,124.18671428571429,155.02385714285714,198.13342857142857,9,20,285,314,21,109.7,33.986666666666665
20,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),49700.0,122.00671428571428,154.98385714285718,193.35485714285716,44,21,1076,1141,191,129.1,30.053333333333327
21,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Breshad Perriman (15355972),Dolphins  (15356409),49700.0,123.77671428571428,154.98385714285712,195.7934285714286,11,22,621,654,73,115.1,43.74777777777777
22,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),T.Y. Hilton (15355876),Dolphins  (15356409),50000.0,122.84671428571428,154.97385714285716,194.39842857142855,20,23,870,913,130,104.69999999999999,29.61
23,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),49800.0,119.85971428571429,154.97185714285715,204.64585714285718,180,24,4,208,9,101.04,43.68222222222222
24,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49800.0,124.31085714285715,154.89857142857142,196.69285714285718,7,25,473,505,50,102.02000000000001,40.15555555555555
25,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),49800.0,122.88371428571428,154.79285714285714,196.97285714285718,19,26,426,471,40,90.82000000000001,27.818888888888882
26,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49800.0,119.90685714285713,154.78757142857143,200.94085714285717,175,27,65,267,15,92.83999999999999,37.76666666666666
27,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49900.0,122.47371428571428,154.75285714285715,194.63285714285718,29,28,818,875,120,96.22,37.58
28,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Dolphins  (15356409),49900.0,124.85371428571429,154.71285714285713,196.42142857142858,4,29,524,557,55,100.02000000000001,41.516666666666666
29,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),50000.0,122.67371428571428,154.67285714285714,191.64285714285717,24,30,1384,1438,307,119.42,37.58333333333333
30,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Diontae Johnson (15355932),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),49900.0,119.98885714285713,154.63457142857143,199.62485714285717,163,31,139,333,25,143.1,45.16555555555555
31,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Cardinals  (15356396),49600.0,119.60971428571429,154.61185714285716,199.62585714285717,214,32,138,384,29,115.24,39.5711111111111
32,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),T.Y. Hilton (15355876),Dolphins  (15356409),49900.0,120.44971428571428,154.60185714285714,200.66942857142857,128,33,74,235,13,90.83999999999999,39.127777777777766
33,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Diontae Johnson (15355932),Chris Herndon (15356226),Ezekiel Elliott (15355596),Dolphins  (15356409),50000.0,120.53171428571429,154.44885714285715,199.3534285714286,124,34,161,319,22,141.1,46.526666666666664
34,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49700.0,121.37085714285715,154.44857142857143,192.65285714285716,78,35,1204,1317,252,107.62,35.55777777777777
35,Dak Prescott (15355527),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49800.0,119.46385714285714,154.42457142857143,202.72485714285716,231,36,17,284,17,121.5,37.50333333333333
36,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Mike Williams (15355946),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49800.0,121.88671428571428,154.4038571428572,197.82485714285718,52,37,315,404,32,96.7,27.63111111111111
37,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Amari Cooper (15355854),Jets  (15356411),49800.0,119.41685714285713,154.2775714285714,199.84585714285717,236,38,118,392,30,109.24,37.82666666666666
38,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),49800.0,121.91371428571428,154.26285714285714,192.38142857142861,48,39,1252,1339,270,105.62,36.91888888888889
39,Dak Prescott (15355527),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Amari Cooper (15355854),Cardinals  (15356396),49900.0,121.28671428571428,154.24385714285714,199.66485714285716,83,40,135,258,14,135.29999999999998,30.313333333333333
40,Dak Prescott (15355527),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Mike Williams (15355946),Dolphins  (15356409),49900.0,120.00671428571428,154.23885714285709,202.45342857142862,160,41,25,226,11,119.5,38.864444444444445
41,Dak Prescott (15355527),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),50000.0,117.82671428571429,154.19885714285715,197.67485714285718,495,42,339,876,121,138.9,34.93111111111111
42,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),49500.0,121.37371428571429,154.17285714285714,192.70285714285717,77,43,1190,1310,247,108.82,35.867777777777775
43,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Mike Williams (15355946),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),50000.0,119.98685714285715,154.12757142857143,202.42085714285716,164,44,27,235,12,83.64,35.34777777777777
44,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Amari Cooper (15355854),Dolphins  (15356409),49900.0,119.95971428571428,154.09185714285712,199.57442857142857,169,45,145,359,27,107.24,39.18777777777777
45,Dak Prescott (15355527),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Jets  (15356411),49600.0,119.21385714285714,154.0645714285714,197.70485714285718,267,46,333,646,70,135.7,33.39222222222222
46,Kyler Murray (15355534),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),49800.0,119.68971428571429,153.95185714285716,201.10585714285716,202,47,61,310,20,106.04,37.152222222222214
47,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49900.0,119.27971428571428,153.91185714285714,198.76585714285716,257,48,221,526,53,111.44,46.91333333333333
48,Dak Prescott (15355527),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Dolphins  (15356409),49700.0,119.75671428571428,153.87885714285713,197.4334285714286,193,49,372,614,65,133.7,34.75333333333334
49,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Davante Adams (15355828),Mike Williams (15355946),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),49800.0,119.14885714285714,153.8545714285714,199.34485714285717,277,50,165,492,46,119.89999999999999,36.511111111111106
50,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Breshad Perriman (15355972),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),49900.0,118.73885714285713,153.8145714285714,197.00485714285716,340,51,425,816,103,125.29999999999998,46.27222222222221
51,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49500.0,120.37671428571429,153.78385714285716,193.55485714285717,133,52,1043,1228,223,114.69999999999999,35.68
52,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Davante Adams (15355828),Diontae Johnson (15355932),Amari Cooper (15355854),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49900.0,122.39885714285714,153.77957142857142,196.00485714285716,32,53,590,675,77,144.89999999999998,41.65777777777777
53,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Jonnu Smith (15356204),Mike Williams (15355946),Jets  (15356411),49800.0,121.43385714285714,153.76957142857142,198.06485714285716,74,54,293,421,33,124.0,24.455555555555556
54,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Jets  (15356411),49900.0,119.88085714285714,153.7535714285714,195.99285714285716,177,55,595,827,106,126.02,40.92222222222222
55,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Davante Adams (15355828),Diontae Johnson (15355932),Adam Humphries (15356020),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),50000.0,118.93885714285715,153.73457142857143,194.01485714285718,308,56,954,1318,253,148.49999999999997,46.27555555555554
56,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Breshad Perriman (15355972),Cardinals  (15356396),49900.0,122.30371428571428,153.73285714285714,191.09285714285718,35,57,1494,1586,370,101.22,31.049999999999997
57,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Jonnu Smith (15356204),Breshad Perriman (15355972),Jets  (15356411),49900.0,121.02385714285714,153.7295714285714,195.72485714285716,95,58,631,784,97,129.39999999999998,34.21666666666667
58,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Breshad Perriman (15355972),Chris Herndon (15356226),Melvin Gordon III (15355634),Jets  (15356411),49600.0,117.97685714285713,153.68757142857143,199.77585714285718,470,59,124,653,72,99.63999999999999,44.88777777777777
59,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Amari Cooper (15355854),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49900.0,122.69885714285715,153.67957142857142,197.36985714285717,22,60,380,462,39,123.69999999999997,40.16333333333333
60,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Davante Adams (15355828),Mike Williams (15355946),Chris Herndon (15356226),Ezekiel Elliott (15355596),Dolphins  (15356409),49900.0,119.69171428571428,153.66885714285712,199.0734285714286,200,61,194,455,37,117.89999999999999,37.87222222222222
61,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Jonnu Smith (15356204),Adam Humphries (15356020),Jets  (15356411),50000.0,121.22385714285713,153.64957142857142,192.73485714285718,85,62,1185,1332,265,152.6,34.22
62,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Ezekiel Elliott (15355596),Cardinals  (15356396),50000.0,117.51171428571428,153.62885714285716,194.29485714285718,554,63,891,1508,334,137.29999999999998,33.93888888888889
63,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Breshad Perriman (15355972),Chris Herndon (15356226),Ezekiel Elliott (15355596),Dolphins  (15356409),50000.0,119.28171428571429,153.62885714285713,196.73342857142862,256,64,466,786,98,123.29999999999998,47.633333333333326
64,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Davante Adams (15355828),Diontae Johnson (15355932),Amari Cooper (15355854),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),50000.0,122.94171428571428,153.59385714285713,195.73342857142862,18,65,628,711,84,142.89999999999998,43.01888888888888
65,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Jonnu Smith (15356204),Mike Williams (15355946),Dolphins  (15356409),49900.0,121.97671428571428,153.58385714285714,197.7934285714286,45,66,323,434,34,122.0,25.81666666666667
66,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Chris Herndon (15356226),Diontae Johnson (15355932),Dolphins  (15356409),50000.0,120.42371428571428,153.56785714285712,195.72142857142862,129,67,632,828,107,124.02,42.28333333333333
67,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Jonnu Smith (15356204),Adam Humphries (15356020),Cardinals  (15356396),50000.0,119.79671428571429,153.54385714285718,193.01485714285718,188,68,1141,1397,288,141.4,21.883333333333336
68,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Davante Adams (15355828),Jonnu Smith (15356204),Breshad Perriman (15355972),Dolphins  (15356409),50000.0,121.56671428571428,153.54385714285712,195.45342857142862,65,69,672,806,100,127.39999999999999,35.577777777777776
69,Dak Prescott (15355527),Derrick Henry (15355598),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Diontae Johnson (15355932),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49900.0,120.11885714285715,153.51457142857143,197.44985714285718,150,70,368,588,60,126.89999999999999,37.14111111111111
70,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),Mike Williams (15355946),Cardinals  (15356396),49700.0,121.45371428571428,153.51285714285714,194.18285714285716,71,71,919,1061,164,99.62,33.44888888888889
71,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49700.0,118.47685714285713,153.50757142857142,198.15085714285718,380,72,283,735,91,101.63999999999999,43.39666666666666
72,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Amari Cooper (15355854),Cardinals  (15356396),49700.0,122.40171428571428,153.50385714285716,196.05485714285717,31,73,584,688,79,146.09999999999997,41.96777777777777
73,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Breshad Perriman (15355972),Chris Herndon (15356226),Melvin Gordon III (15355634),Dolphins  (15356409),49700.0,118.51971428571429,153.50185714285715,199.5044285714286,372,74,149,595,62,97.63999999999999,46.248888888888885
74,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Amari Cooper (15355854),Chris Herndon (15356226),T.Y. Hilton (15355876),Dolphins  (15356409),50000.0,123.24171428571431,153.49385714285708,197.09842857142857,14,75,412,501,49,121.69999999999997,41.524444444444434
75,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Mike Williams (15355946),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),49600.0,118.76885714285713,153.4745714285714,202.16485714285716,337,76,33,446,35,123.3,41.03111111111111
76,Dak Prescott (15355527),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Mike Williams (15355946),Jets  (15356411),49800.0,119.29385714285715,153.40457142857142,199.18485714285717,253,77,182,512,51,126.5,30.973333333333333
77,Dak Prescott (15355527),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Breshad Perriman (15355972),Jets  (15356411),49900.0,118.88385714285715,153.36457142857142,196.84485714285717,317,78,445,840,111,131.9,40.73444444444444
78,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Ezekiel Elliott (15355596),Jets  (15356411),49900.0,116.54185714285713,153.3625714285714,200.28585714285717,742,79,90,911,129,134.64,55.79333333333332
79,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Diontae Johnson (15355932),Chris Herndon (15356226),Adam Humphries (15356020),Cardinals  (15356396),49500.0,118.17971428571428,153.33185714285716,196.83585714285712,437,80,449,966,140,124.03999999999999,45.2011111111111
80,Dak Prescott (15355527),Derrick Henry (15355598),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Diontae Johnson (15355932),Chris Herndon (15356226),T.Y. Hilton (15355876),Dolphins  (15356409),50000.0,120.6617142857143,153.32885714285715,197.17842857142855,115,81,396,592,61,124.89999999999999,38.50222222222222
81,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),T.Y. Hilton (15355876),Jets  (15356411),49700.0,121.50085714285713,153.32857142857142,190.47785714285718,69,82,1605,1756,434,91.41999999999999,27.53333333333333
82,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Julio Jones (15355834),Davante Adams (15355828),Adam Humphries (15356020),Chris Herndon (15356226),T.Y. Hilton (15355876),Dolphins  (15356409),49800.0,119.01971428571429,153.32185714285714,197.87942857142858,296,83,308,687,78,99.63999999999999,44.75777777777777
83,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Amari Cooper (15355854),Chris Herndon (15356226),Melvin Gordon III (15355634),Cardinals  (15356396),49700.0,120.5917142857143,153.29385714285718,199.10485714285716,120,84,189,393,31,137.1,33.84111111111111
84,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Corey Davis (15355960),Julio Jones (15355834),Mike Williams (15355946),Chris Herndon (15356226),Ezekiel Elliott (15355596),Dolphins  (15356409),49700.0,119.31171428571429,153.28885714285713,201.89342857142861,250,85,37,372,28,121.3,42.392222222222216
