,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank,FPTS,%Drafted
1925,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Julio Jones (15355834),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49900.0,113.64871428571428,144.35285714285715,188.62285714285716,1384,1926,1844,5154,1878,147.72,17.317777777777778
1926,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,108.55185714285714,144.35257142857142,194.33585714285718,2101,1927,883,4911,1805,158.34000000000003,36.26
1927,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Mike Williams (15355946),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49900.0,112.3687142857143,144.34785714285715,191.41142857142862,1657,1928,1433,5018,1833,131.92000000000002,25.86888888888889
1928,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Adam Humphries (15356020),Mike Williams (15355946),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49900.0,110.59871428571431,144.34785714285715,188.97285714285712,1916,1929,1807,5652,2046,145.92000000000002,12.174444444444447
1929,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Adam Humphries (15356020),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49900.0,107.62185714285715,144.3425714285714,192.94085714285717,2134,1930,1155,5219,1907,147.94,22.12222222222222
1930,Dak Prescott (15355527),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Corey Davis (15355960),Diontae Johnson (15355932),Amari Cooper (15355854),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49900.0,111.54671428571429,144.33885714285714,190.84485714285717,1798,1931,1543,5272,1919,192.4,20.693333333333335
1931,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,114.15585714285713,144.3385714285714,186.58285714285716,1284,1932,2039,5255,1915,144.92,23.418888888888887
1932,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Davante Adams (15355828),Adam Humphries (15356020),Mike Williams (15355946),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,111.10585714285715,144.33357142857142,186.93285714285716,1855,1933,2005,5793,2087,143.12,18.275555555555556
1933,Kyler Murray (15355534),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Adam Humphries (15356020),Amari Cooper (15355854),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49700.0,109.90471428571428,144.33185714285713,191.54585714285716,1994,1934,1410,5338,1943,167.14,26.948888888888895
1934,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Davante Adams (15355828),Adam Humphries (15356020),Mike Williams (15355946),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,108.62471428571428,144.32685714285714,194.33442857142862,2094,1935,885,4914,1807,151.34,35.49999999999999
1935,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Adam Humphries (15356020),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),50000.0,110.1887142857143,144.30785714285716,186.63285714285718,1962,1936,2034,5932,2115,151.32000000000002,21.935555555555556
1936,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Mike Williams (15355946),Amari Cooper (15355854),Chris Herndon (15356226),DeAndre Hopkins (15355830),Cardinals  (15356396),49600.0,113.2037142857143,144.30785714285713,192.01285714285717,1469,1937,1320,4726,1735,150.62,32.25888888888888
1937,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Mike Williams (15355946),T.Y. Hilton (15355876),DeAndre Hopkins (15355830),Jonnu Smith (15356204),Melvin Gordon III (15355634),Dolphins  (15356409),49500.0,114.27671428571428,144.30385714285708,190.58842857142858,1260,1938,1585,4783,1753,147.0,24.832222222222224
1938,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Corey Davis (15355960),Amari Cooper (15355854),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,115.93371428571429,144.30285714285714,186.91642857142855,877,1939,2007,4823,1768,137.92000000000002,21.186666666666667
1939,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,110.22685714285713,144.30257142857138,195.98085714285716,1960,1940,596,4496,1636,152.64000000000001,42.206666666666656
1940,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Mike Williams (15355946),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Dolphins  (15356409),49900.0,114.04371428571429,144.29785714285714,193.05642857142857,1303,1941,1133,4377,1586,126.22,31.81555555555555
1941,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Davante Adams (15355828),Adam Humphries (15356020),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49700.0,110.69585714285715,144.29357142857143,184.59285714285718,1903,1942,2121,5966,2122,148.52,28.036666666666665
1942,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Mike Williams (15355946),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49600.0,114.3467142857143,144.28385714285713,191.74485714285717,1247,1943,1364,4554,1662,154.0,25.55333333333333
1943,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Mike Williams (15355946),Amari Cooper (15355854),Jonnu Smith (15356204),T.Y. Hilton (15355876),Jets  (15356411),49600.0,114.51085714285715,144.28357142857143,188.28785714285718,1211,1944,1880,5035,1839,139.92000000000002,28.605555555555554
1944,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Corey Davis (15355960),Julio Jones (15355834),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49500.0,113.03871428571428,144.28285714285715,187.78785714285712,1510,1945,1944,5399,1961,143.92,15.545555555555556
1945,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Corey Davis (15355960),Diontae Johnson (15355932),Adam Humphries (15356020),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49500.0,111.63371428571428,144.26785714285714,183.88285714285718,1783,1946,2139,5868,2097,165.92000000000002,26.247777777777777
1946,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Adam Humphries (15356020),T.Y. Hilton (15355876),DeAndre Hopkins (15355830),Jonnu Smith (15356204),Melvin Gordon III (15355634),Cardinals  (15356396),49600.0,112.0967142857143,144.26385714285715,185.80985714285717,1715,1947,2084,5746,2073,166.39999999999998,20.89888888888889
1947,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Adam Humphries (15356020),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Cardinals  (15356396),50000.0,111.86371428571431,144.25785714285715,188.27785714285716,1755,1948,1881,5584,2029,145.62,27.88222222222222
1948,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Corey Davis (15355960),Adam Humphries (15356020),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49800.0,112.47371428571431,144.25785714285715,184.92642857142857,1629,1949,2110,5688,2056,141.52,25.804444444444446
1949,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Corey Davis (15355960),Julio Jones (15355834),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49600.0,107.12471428571428,144.24685714285715,194.61585714285712,2147,1950,825,4922,1810,147.14000000000001,23.923333333333332
1950,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Diontae Johnson (15355932),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Cardinals  (15356396),49700.0,112.37371428571429,144.23785714285714,184.86285714285717,1655,1951,2113,5719,2069,155.32,27.52444444444444
1951,Matt Ryan (15355529),Derrick Henry (15355598),Melvin Gordon III (15355634),Amari Cooper (15355854),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Dolphins  (15356409),50000.0,113.2137142857143,144.22785714285715,185.9064285714286,1467,1952,2079,5498,1997,130.92,27.081111111111106
1952,Kyler Murray (15355534),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Mike Williams (15355946),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Dolphins  (15356409),49500.0,108.75471428571429,144.22685714285709,194.47942857142857,2086,1953,848,4887,1796,136.93999999999997,35.004444444444445
1953,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Adam Humphries (15356020),Amari Cooper (15355854),Jonnu Smith (15356204),T.Y. Hilton (15355876),Dolphins  (15356409),49600.0,112.4287142857143,144.21785714285713,187.35642857142855,1639,1954,1980,5573,2025,145.12,26.36111111111111
1954,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Julio Jones (15355834),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Cardinals  (15356396),49800.0,110.31871428571431,144.20785714285716,186.77785714285716,1948,1955,2020,5923,2112,136.92000000000002,21.439999999999998
1955,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Davante Adams (15355828),Mike Williams (15355946),Amari Cooper (15355854),Jonnu Smith (15356204),Breshad Perriman (15355972),Cardinals  (15356396),49600.0,108.82471428571431,144.20685714285716,195.63585714285716,2079,1956,649,4684,1717,143.94,35.72555555555555
1956,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Mike Williams (15355946),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49600.0,109.5047142857143,144.20685714285713,196.40442857142855,2026,1957,526,4509,1645,150.94000000000003,27.859999999999996
1957,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Corey Davis (15355960),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Cardinals  (15356396),49600.0,108.79971428571429,144.19685714285714,196.26085714285716,2084,1958,553,4595,1681,141.44,29.86999999999999
