,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Derrick Henry,TEN,24.0,18.2,21.9,110.0,95.3,102.6,1.0,0.9,1.0,2.4,1.3,1.7,21.6,9.6,14.8,0.1,0.0,0.1,0.1,0.2,0.1,19.0,17.0,17.8,6,RB
1,Ezekiel Elliott,DAL,22.0,18.2,20.3,97.8,70.7,87.3,1.0,0.6,0.8,4.0,3.1,3.5,34.1,22.3,28.2,0.2,0.0,0.1,0.1,0.2,0.1,18.5,14.7,16.8,6,RB
2,Kareem Hunt,CLE,19.0,11.6,16.7,87.0,61.9,75.1,1.0,0.4,0.7,4.0,2.4,3.2,30.6,20.6,26.8,0.3,0.0,0.2,0.0,0.2,0.1,17.4,14.2,15.2,6,RB
3,Alexander Mattison,MIN,24.0,13.8,18.7,132.2,77.8,92.4,1.0,0.0,0.6,4.0,1.0,2.7,29.0,7.0,22.5,0.2,0.0,0.1,0.1,0.2,0.1,19.3,11.0,15.1,6,RB
4,Aaron Jones,GB,16.0,12.4,14.3,74.0,50.7,63.8,1.0,0.5,0.8,4.0,3.2,3.7,35.0,20.5,29.9,0.2,0.0,0.2,0.1,0.2,0.1,16.9,14.2,14.9,6,RB
5,Mike Davis,CAR,18.1,12.8,16.1,78.0,61.1,69.2,1.0,0.3,0.6,6.7,4.4,5.2,45.1,27.9,36.1,0.3,0.0,0.2,0.1,0.2,0.1,17.9,12.8,14.9,6,RB
6,Clyde Edwards-Helaire,KC,16.0,12.7,14.8,75.8,65.5,68.9,1.0,0.4,0.6,4.2,2.8,3.6,38.2,23.5,30.7,0.2,0.0,0.2,0.0,0.2,0.1,15.7,13.6,14.3,6,RB
7,James Robinson,JAC,18.0,14.1,16.1,80.4,63.8,71.0,1.0,0.4,0.6,4.0,2.3,3.2,34.7,23.0,27.5,0.2,0.0,0.1,0.1,0.2,0.1,15.7,12.9,14.2,6,RB
8,Jonathan Taylor,IND,19.4,14.0,16.2,87.0,66.0,73.6,1.0,0.5,0.7,3.1,1.8,2.2,23.3,15.7,19.0,0.2,0.0,0.1,0.1,0.2,0.1,16.1,12.2,14.1,6,RB
9,James Conner,PIT,19.0,12.8,15.2,75.2,54.8,65.5,1.0,0.5,0.7,4.4,2.8,3.2,28.9,23.3,25.4,0.2,0.0,0.1,0.1,0.2,0.1,16.0,12.8,13.9,6,RB
10,David Montgomery,CHI,18.0,14.2,16.5,74.3,58.5,67.6,1.0,0.3,0.6,3.8,2.0,2.7,27.6,16.0,20.7,0.2,0.0,0.1,0.1,0.2,0.1,15.7,11.0,13.1,6,RB
11,Todd Gurley,ATL,15.9,13.8,14.8,67.7,61.0,64.0,1.0,0.5,0.7,3.5,1.6,2.3,24.7,12.0,16.6,0.1,0.0,0.1,0.1,0.2,0.1,13.4,11.1,12.4,6,RB
12,Antonio Gibson,WAS,16.1,11.7,14.3,69.7,43.7,60.1,1.0,0.4,0.6,3.2,2.6,2.9,28.1,19.4,23.9,0.1,0.0,0.1,0.0,0.2,0.1,15.0,10.2,12.2,6,RB
13,Ronald Jones,TB,15.4,13.7,14.5,75.3,60.3,66.5,1.0,0.3,0.6,3.1,2.0,2.5,25.2,14.0,20.0,0.1,0.0,0.1,0.1,0.2,0.1,13.6,10.9,12.2,6,RB
14,Kenyan Drake,ARI,16.0,11.5,14.4,67.6,57.3,63.4,1.0,0.4,0.6,3.1,1.0,1.7,25.9,8.0,12.8,0.1,0.0,0.1,0.1,0.2,0.1,13.2,10.4,11.6,6,RB
15,David Johnson,HOU,15.8,14.0,15.1,68.4,56.9,61.0,0.6,0.0,0.3,3.7,2.4,2.9,37.4,19.0,25.8,0.2,0.0,0.1,0.1,0.2,0.1,12.7,7.6,11.2,6,RB
16,Devin Singletary,BUF,15.0,9.5,12.1,73.6,42.8,60.6,1.0,0.2,0.4,3.7,2.0,2.7,25.1,15.7,21.6,0.2,0.0,0.1,0.1,0.1,0.1,14.4,9.1,11.2,6,RB
17,Devonta Freeman,NYG,15.0,11.4,13.7,64.0,37.3,54.4,1.0,0.3,0.5,3.4,2.0,2.6,26.3,16.0,20.6,0.2,0.0,0.1,0.1,0.1,0.1,14.0,8.5,10.8,6,RB
18,Myles Gaskin,MIA,16.0,11.7,13.6,67.0,40.8,55.0,0.6,0.0,0.4,5.0,2.9,3.8,29.3,22.7,26.9,0.2,0.0,0.1,0.0,0.2,0.1,13.1,8.2,10.8,6,RB
19,Adrian Peterson,DET,17.8,12.0,15.0,75.9,51.0,64.0,1.0,0.3,0.5,1.8,0.0,1.0,12.7,3.0,8.1,0.1,0.0,0.0,0.1,0.2,0.1,11.4,9.5,10.2,6,RB
20,Phillip Lindsay,DEN,17.0,12.7,14.0,67.0,58.9,62.3,0.4,0.0,0.3,3.0,2.0,2.5,24.0,13.7,17.5,0.1,0.0,0.0,0.0,0.2,0.1,11.3,9.1,9.8,6,RB
21,Darrell Henderson,LAR,12.0,10.5,11.3,71.6,41.8,54.6,0.5,0.0,0.3,3.7,0.9,2.0,27.8,10.6,18.0,0.1,0.0,0.1,0.0,0.1,0.0,12.1,6.9,9.4,6,RB
22,Damien Harris,NE,19.0,10.3,13.6,72.0,49.3,57.5,1.0,0.1,0.4,2.6,0.0,1.0,15.3,2.5,7.2,0.1,0.0,0.0,0.1,0.2,0.1,13.5,7.8,9.0,6,RB
23,Mark Ingram,BAL,12.4,9.2,10.7,52.1,43.4,47.2,0.5,0.0,0.3,2.5,0.7,1.3,15.1,5.0,9.3,0.1,0.0,0.1,0.1,0.1,0.1,9.1,5.1,7.6,6,RB
24,Frank Gore,NYJ,13.8,11.0,12.6,57.4,38.3,49.3,0.3,0.0,0.2,1.8,0.8,1.3,11.5,4.0,8.7,0.1,0.0,0.0,0.0,0.1,0.0,9.0,4.6,6.9,6,RB
25,Chase Edmonds,ARI,7.5,4.5,5.4,37.4,12.0,23.2,0.3,0.0,0.2,3.8,2.1,3.1,28.5,20.4,23.6,0.4,0.0,0.2,0.0,0.1,0.0,8.9,4.3,6.5,6,RB
26,James White,NE,4.6,2.9,3.7,18.0,10.1,14.3,0.2,0.0,0.1,5.0,3.4,4.2,39.2,26.9,33.4,0.2,0.0,0.1,0.0,0.1,0.0,6.4,4.9,5.8,6,RB
27,D'Andre Swift,DET,7.2,3.3,4.8,30.0,15.2,20.0,0.2,0.0,0.1,4.1,2.5,3.1,31.4,20.4,26.0,0.2,0.0,0.1,0.0,0.1,0.1,7.2,4.3,5.7,6,RB
28,Rex Burkhead,NE,7.7,3.0,6.4,32.1,14.0,24.5,0.4,0.0,0.2,2.7,1.8,2.1,23.5,15.8,18.3,0.1,0.0,0.1,0.0,0.1,0.1,7.1,3.0,5.6,6,RB
29,Jerick McKinnon,SF,9.2,4.6,6.4,33.8,16.4,25.0,0.2,0.0,0.1,4.0,1.8,2.6,25.3,15.3,19.2,0.1,0.0,0.1,0.0,0.1,0.1,6.3,4.4,5.4,6,RB
30,Nyheim Hines,IND,5.7,3.0,4.7,23.8,11.5,19.0,0.2,0.0,0.1,3.9,2.7,3.1,29.9,19.4,23.7,0.2,0.0,0.1,0.0,0.1,0.0,7.0,3.7,5.3,6,RB
