,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Davante Adams,GB,8.0,6.9,7.3,102.0,87.4,92.3,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,16.2,13.1,13.8,6,WR
1,Adam Thielen,MIN,7.0,5.3,6.3,93.3,73.8,84.6,1.1,0.6,0.8,0.6,0.3,0.5,3.7,1.7,2.3,0.0,0.0,0.0,0.0,0.1,0.1,15.2,11.9,13.4,6,WR
2,Tyreek Hill,KC,6.1,4.6,5.5,106.0,70.4,83.6,1.0,0.5,0.7,1.4,0.9,1.2,10.7,3.7,7.2,0.1,0.0,0.1,0.0,0.1,0.0,16.6,11.6,13.4,6,WR
3,DeAndre Hopkins,ARI,9.0,6.4,7.7,109.0,81.2,93.6,1.0,0.5,0.7,0.1,0.0,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,16.9,11.0,13.3,6,WR
4,Calvin Ridley,ATL,7.0,5.2,5.9,95.0,77.9,83.1,1.0,0.5,0.7,0.5,0.1,0.3,2.9,0.7,1.8,0.0,0.0,0.0,0.0,0.1,0.0,15.5,10.9,12.4,6,WR
5,Stefon Diggs,BUF,7.0,5.4,6.1,93.0,80.1,86.3,1.0,0.3,0.6,0.5,0.0,0.3,3.9,0.2,2.1,0.0,0.0,0.0,0.0,0.1,0.1,15.3,10.3,12.1,6,WR
6,Kenny Golladay,DET,8.0,4.2,5.4,96.0,66.6,79.6,1.0,0.5,0.7,0.1,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,15.6,10.2,12.0,6,WR
7,Mike Evans,TB,7.0,4.4,5.3,86.0,63.4,75.6,1.0,0.5,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,9.8,11.5,6,WR
8,Allen Robinson,CHI,7.1,6.1,6.6,88.0,68.7,77.7,1.0,0.4,0.5,0.3,0.1,0.1,1.5,0.1,0.6,0.0,0.0,0.0,0.0,0.1,0.0,14.8,9.6,11.0,6,WR
9,Terry McLaurin,WAS,5.7,4.5,5.3,88.1,66.1,79.7,1.0,0.2,0.5,0.3,0.1,0.2,1.6,0.2,0.8,0.0,0.0,0.0,0.0,0.1,0.0,13.2,8.2,10.9,6,WR
