,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Ryan Fitzpatrick,MIA,QB,5900.0,Ryan Fitzpatrick (15607545),16.792,21.409999999999997,25.772999999999996
1,Matthew Stafford,DET,QB,6300.0,Matthew Stafford (15607542),17.772999999999996,22.585,26.779999999999994
2,Ryan Tannehill,TEN,QB,5900.0,Ryan Tannehill (15607546),16.304,20.295,23.290999999999993
0,Derrick Henry,TEN,RB,7300.0,Derrick Henry (15607597),19.285,22.939999999999998,25.06
1,Mike Davis,CAR,RB,7000.0,Mike Davis (15607603),14.900000000000002,20.429999999999996,26.71
2,Phillip Lindsay,DEN,RB,4300.0,Phillip Lindsay (15607651),9.060000000000002,12.180000000000001,15.100000000000001
3,Antonio Gibson,WAS,RB,5500.0,Antonio Gibson (15607625),11.110000000000001,15.4,19.580000000000005
4,Alexander Mattison,MIN,RB,7200.0,Alexander Mattison (15607599),9.280000000000001,20.15,30.219999999999995
5,Devonta Freeman,NYG,RB,4900.0,Devonta Freeman (15607639),9.03,13.600000000000001,19.529999999999998
6,Myles Gaskin,MIA,RB,5400.0,Myles Gaskin (15607629),9.05,14.889999999999999,19.43
7,Kareem Hunt,CLE,RB,6900.0,Kareem Hunt (15607605),12.850000000000001,18.689999999999998,24.610000000000007
8,David Montgomery,CHI,RB,5800.0,David Montgomery (15607623),11.05,15.629999999999999,21.09
0,Davante Adams,GB,WR,8000.0,Davante Adams (15607803),20.849999999999998,23.175,27.200000000000003
1,Terry McLaurin,WAS,WR,5700.0,Terry McLaurin (15607841),12.209999999999999,16.27,21.725
2,Kenny Golladay,DET,WR,6200.0,Kenny Golladay (15607831),13.76,17.56,26.0
3,Darius Slayton,NYG,WR,5400.0,Darius Slayton (15607849),12.47,15.08,21.75
4,Adam Thielen,MIN,WR,7300.0,Adam Thielen (15607807),16.18,20.149999999999995,24.924999999999997
5,Jeff Smith,NYJ,WR,3000.0,Jeff Smith (15608077),5.050000000000001,8.17,12.34
6,Tyler Boyd,CIN,WR,5800.0,Tyler Boyd (15607839),12.24,15.590000000000002,22.2
7,Darnell Mooney,CHI,WR,3000.0,Darnell Mooney (15608011),5.57,8.02,10.3
8,AJ Brown,TEN,WR,5600.0,A.J. Brown (15607845),12.53,14.92,21.375
9,TY Hilton,IND,WR,5000.0,T.Y. Hilton (15607861),10.48,13.22,18.02
0,Eric Ebron,PIT,TE,4100.0,Eric Ebron (15608131),7.420000000000001,10.579999999999998,13.750000000000002
1,Jonnu Smith,TEN,TE,5200.0,Jonnu Smith (15608115),10.38,13.28,16.25
0,Vikings,MIN,DST,2300.0,Vikings  (15608300),4.371428571428571,5.342857142857143,6.914285714285715
1,Giants,NYG,DST,3200.0,Giants  (15608289),6.028571428571429,7.371428571428572,8.685714285714285
2,Dolphins,MIA,DST,2900.0,Dolphins  (15608293),5.128571428571429,6.671428571428572,7.871428571428572
