Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Ryan Fitzpatrick,MIA,QB,5900.0,Ryan Fitzpatrick (15607545),23.57,16.792,21.409999999999997,25.772999999999996,14.952,18.91,22.738,16.152,19.91,23.538,351.357789423535,275.5721625408688,228.92173980522256,7,3,1,1,1,4
Matthew Stafford,DET,QB,6300.0,Matthew Stafford (15607542),19.04,17.772999999999996,22.585,26.779999999999994,16.087999999999997,19.810000000000002,23.88,16.787999999999997,20.310000000000002,23.88,354.47026388341874,278.94620323223376,235.25018670649743,2,1,2,1,1,2
Ryan Tannehill,TEN,QB,5900.0,Ryan Tannehill (15607546),23.22,16.304,20.295,23.290999999999993,15.104,18.77,20.945999999999998,16.104,19.470000000000002,21.445999999999998,361.87438665358195,290.7119980290712,253.31673178480966,10,4,3,2,2,6
Gardner Minshew,JAC,QB,6400.0,Gardner Minshew II (15607541),21.85,18.560000000000002,21.459000000000003,23.64,16.01,18.754,20.790000000000003,17.01,19.554000000000002,21.490000000000002,344.8275862068965,298.24316137751055,270.72758037225043,5,3,4,2,2,5
Tom Brady,TB,QB,6500.0,Tom Brady (15607540),21.52,18.311,21.435000000000002,25.217999999999996,15.816,18.860000000000003,22.657999999999998,16.616,19.360000000000003,22.657999999999998,354.9778821473431,303.24236062514575,257.75239908002226,6,3,5,3,3,6
Kirk Cousins,MIN,QB,6100.0,Kirk Cousins (15607543),15.36,15.404000000000002,19.799000000000007,23.740000000000002,14.104000000000003,17.794000000000004,21.190000000000005,15.104000000000003,18.594000000000005,21.790000000000003,396.001038691249,308.09636850345964,256.95029486099406,12,4,6,3,3,7
Matt Ryan,ATL,QB,6600.0,Matt Ryan (15607538),17.84,18.26,21.022,24.378,15.360000000000001,17.432,20.678000000000004,16.360000000000003,18.232,21.278000000000002,361.4457831325301,313.9568071544097,270.73590942653215,9,3,7,3,3,6
Ben Roethlisberger,PIT,QB,6700.0,Ben Roethlisberger (15607537),21.21,17.785999999999994,21.329,24.652,15.216,18.374000000000002,21.462000000000003,16.215999999999998,19.174000000000003,22.162000000000003,376.70077589115044,314.1263069060903,271.7832224565958,8,3,8,3,3,6
Daniel Jones,NYG,QB,5400.0,Daniel Jones (15607553),11.89,13.332,17.14,20.589999999999996,11.332000000000003,15.34,18.94,12.532000000000002,16.34,19.740000000000002,405.040504050405,315.05250875145856,262.2632345798932,14,5,9,3,3,8
Deshaun Watson,HOU,QB,7000.0,Deshaun Watson (15607536),21.87,17.596999999999998,22.090999999999994,25.250000000000004,14.931999999999999,19.496,22.8,16.131999999999998,20.396,23.500000000000004,397.7950787065978,316.8711239871442,277.22772277227716,4,2,10,3,2,5
Joe Burrow,CIN,QB,5400.0,Joe Burrow (15607554),18.93,12.788,16.806,20.450999999999993,11.388,15.236000000000002,18.956,12.388,16.036,19.456,422.2708789490147,321.31381649410923,264.0457679331085,15,6,11,4,4,10
Cam Newton,NE,QB,6500.0,Cam Newton (15607539),25.49,12.98,19.974000000000004,29.157999999999994,11.879999999999999,19.074,27.148,12.78,19.774000000000004,27.148,500.7704160246533,325.4230499649544,222.92338294807604,11,4,12,4,4,8
Aaron Rodgers,GB,QB,7500.0,Aaron Rodgers (15607535),27.52,18.659,22.177999999999997,25.88,16.954,19.718,22.78,17.554,20.118000000000002,22.78,401.9508012219305,338.17296419875555,289.79907264296753,3,2,13,5,2,7
Lamar Jackson,BAL,QB,7700.0,Lamar Jackson (15607534),20.15,15.482,22.686000000000003,28.594,14.382000000000003,21.986000000000004,28.494000000000003,15.182,22.486000000000004,28.494000000000003,497.35176333807004,339.4163801463457,269.28726306218084,1,1,14,5,1,6
Teddy Bridgewater,CAR,QB,6000.0,Teddy Bridgewater (15607544),19.94,13.72,17.384999999999998,20.717,11.97,15.460000000000003,18.652,12.97,16.26,19.252,437.3177842565597,345.1251078515962,289.61722257083557,13,5,15,5,5,10
Nick Foles,CHI,QB,5800.0,Nick Foles (15607548),14.57,12.6,16.637999999999998,20.29,11.200000000000001,15.327999999999996,18.44,12.3,16.228,19.14,460.3174603174603,348.59959129703094,285.85510103499263,17,6,16,6,6,12
Carson Wentz,PHI,QB,5600.0,Carson Wentz (15607550),19.14,12.120000000000001,15.969999999999999,21.644000000000002,10.52,14.32,18.864000000000004,11.72,15.22,19.564000000000004,462.046204620462,350.65748278021294,258.73221216041395,19,7,17,6,6,13
Philip Rivers,IND,QB,5900.0,Philip Rivers (15607547),12.64,12.544,16.693999999999996,19.619000000000007,11.344,15.114,17.814000000000007,12.344,16.014,18.514000000000006,470.34438775510205,353.42039055948254,300.72888526428454,16,6,18,6,6,12
Baker Mayfield,CLE,QB,5700.0,Baker Mayfield (15607549),14.85,12.620000000000003,16.066,18.671,11.22,14.966000000000001,17.576,12.420000000000002,15.966000000000001,18.476000000000003,451.66402535657676,354.78650566413546,305.28627282952175,18,7,19,6,6,13
Kyle Allen,WAS,QB,5100.0,Kyle Allen (15607561),9.66,9.97,14.019999999999998,18.193999999999996,8.47,12.719999999999999,16.664,9.47,13.719999999999999,17.564,511.5346038114343,363.7660485021399,280.3121908321425,20,8,20,7,7,15
Joe Flacco,NYJ,QB,5100.0,Joe Flacco (15607560),7.22,10.312000000000003,13.68,17.058999999999997,8.912,12.68,15.654,10.112000000000002,13.58,16.354000000000003,494.5694336695111,372.8070175438597,298.96242452664285,21,8,21,7,7,15
Drew Lock,DEN,QB,5400.0,Drew Lock (15607555),6.47,10.979999999999999,13.152,16.798,9.28,11.952,15.438,10.579999999999998,12.852,16.138,491.80327868852464,410.5839416058394,321.4668412906299,22,8,22,8,8,16
Derrick Henry,TEN,RB,7300.0,Derrick Henry (15607597),19.2,19.285,22.939999999999998,25.06,16.14,18.990000000000002,20.76,16.790000000000003,19.84,21.96,378.5325382421571,318.2214472537054,291.3008778930567,1,1,1,1,1,2
Mike Davis,CAR,RB,7000.0,Mike Davis (15607603),18.12,14.900000000000002,20.429999999999996,26.71,12.499999999999998,17.73,23.260000000000005,14.700000000000001,20.33,26.610000000000003,469.79865771812075,342.63338228095944,262.0741295394983,2,2,2,2,2,4
