QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Jeff Smith (15608077),Vikings  (15608300),49900.0,113.76942857142856,146.45857142857142,186.72785714285715,3,1,102,106,2
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Antonio Gibson (15607625),Dolphins  (15608293),49900.0,112.51057142857142,145.93471428571428,184.60442857142854,29,2,159,190,17
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Tyler Boyd (15607839),Vikings  (15608300),50000.0,113.78942857142857,145.91857142857143,187.20285714285717,2,3,91,96,1
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Terry McLaurin (15607841),Davante Adams (15607803),Jeff Smith (15608077),Eric Ebron (15608131),Antonio Gibson (15607625),Dolphins  (15608293),49800.0,111.98657142857144,145.90571428571428,181.32642857142858,37,4,221,262,46
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Terry McLaurin (15607841),Davante Adams (15607803),Jeff Smith (15608077),Jonnu Smith (15608115),Antonio Gibson (15607625),Vikings  (15608300),49900.0,113.15342857142856,145.8675714285714,181.56085714285717,11,5,218,234,36
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Antonio Gibson (15607625),Terry McLaurin (15607841),Davante Adams (15607803),Kenny Golladay (15607831),Eric Ebron (15608131),Devonta Freeman (15607639),Vikings  (15608300),49900.0,113.34342857142856,145.83757142857144,185.79085714285716,8,6,126,140,4
Matthew Stafford (15607542),Derrick Henry (15607597),Antonio Gibson (15607625),Terry McLaurin (15607841),Davante Adams (15607803),Jeff Smith (15608077),Eric Ebron (15608131),Alexander Mattison (15607599),Dolphins  (15608293),50000.0,106.66657142857143,145.7657142857143,184.80642857142854,122,7,154,283,61
Ryan Fitzpatrick (15607545),Derrick Henry (15607597),Mike Davis (15607603),Terry McLaurin (15607841),Davante Adams (15607803),Jeff Smith (15608077),Jonnu Smith (15608115),Devonta Freeman (15607639),Dolphins  (15608293),49900.0,111.71057142857143,145.6547142857143,182.88942857142857,48,8,196,252,40
Matthew Stafford (15607542),Derrick Henry (15607597),Mike Davis (15607603),Davante Adams (15607803),Kenny Golladay (15607831),Jeff Smith (15608077),Eric Ebron (15608131),Antonio Gibson (15607625),Vikings  (15608300),49700.0,112.77942857142857,145.5885714285714,184.47285714285715,18,9,163,190,16
Matthew Stafford (15607542),Derrick Henry (15607597),Antonio Gibson (15607625),Davante Adams (15607803),Kenny Golladay (15607831),Adam Thielen (15607807),Eric Ebron (15608131),Jeff Smith (15608077),Vikings  (15608300),50000.0,114.35942857142857,145.49857142857144,182.85785714285714,1,10,197,208,30
