,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
58,Ty Johnson,NYJ,101.1,58.0,81.9,438.0,245.0,354.5,2.6,2.0,2.3,23.0,12.5,17.6,159.0,90.5,119.2,1.0,0.4,0.7,0.3,0.3,0.3,72.9,58.4,65.2,dynasty_draft,2021,RB
59,Qadree Ollison,ATL,106.0,79.0,94.1,408.8,315.0,366.6,4.0,2.0,3.1,13.0,9.1,10.8,117.0,64.0,82.1,1.0,0.0,0.5,0.4,1.0,0.7,77.1,49.9,64.6,dynasty_draft,2021,RB
60,Rhamondre Stevenson,NE,100.0,75.3,87.5,458.0,323.0,373.0,4.0,2.3,3.2,14.0,7.7,10.4,113.0,53.8,78.9,1.0,0.0,0.4,0.3,2.0,1.2,87.1,52.9,64.4,dynasty_draft,2021,RB
61,Carlos Hyde,JAC,109.7,83.0,94.2,452.0,335.1,382.5,3.4,2.0,2.6,20.5,12.0,15.8,118.9,57.0,96.0,0.9,0.0,0.3,0.6,1.0,0.8,76.1,60.3,64.1,dynasty_draft,2021,RB
62,Tarik Cohen,CHI,92.0,20.9,48.5,345.0,90.9,197.8,2.0,0.6,1.1,65.0,32.6,42.0,394.0,236.8,284.5,2.0,1.0,1.4,0.3,2.0,1.2,97.9,44.7,61.0,dynasty_draft,2021,RB
63,Boston Scott,PHI,75.5,51.0,60.4,318.3,223.2,255.6,2.2,1.6,2.0,26.2,16.0,21.6,205.8,129.5,170.6,1.1,0.0,0.7,0.3,1.0,0.7,69.0,47.5,56.9,dynasty_draft,2021,RB
64,Devontae Booker,NYG,106.0,54.7,77.6,472.0,234.2,328.5,3.0,1.5,2.0,17.3,5.0,11.8,128.5,33.0,78.4,0.5,0.0,0.2,0.4,1.0,0.7,71.5,39.3,52.5,dynasty_draft,2021,RB
65,Joshua Kelley,LAC,138.0,57.3,90.4,462.0,236.0,338.5,3.0,1.7,2.2,19.0,3.0,9.3,139.0,20.0,66.6,0.3,0.0,0.2,0.4,2.0,1.2,66.2,42.6,52.0,dynasty_draft,2021,RB
66,Mark Ingram,HOU,79.5,32.2,61.7,345.4,157.4,252.2,3.0,1.0,1.9,18.0,6.0,12.3,176.0,39.0,101.7,2.0,0.0,0.7,0.3,1.0,0.7,72.3,33.0,49.8,dynasty_draft,2021,RB
67,Marlon Mack,IND,85.0,54.9,68.6,356.0,239.5,294.4,3.0,2.0,2.4,11.0,4.0,8.7,75.0,29.9,62.2,0.5,0.0,0.2,0.2,1.0,0.6,61.1,46.3,49.8,dynasty_draft,2021,RB
68,Jeff Wilson,SF,79.0,33.6,56.3,340.0,152.7,246.3,4.0,2.0,3.0,5.7,5.0,5.4,53.0,44.8,48.9,1.0,0.3,0.6,1.0,1.0,1.0,69.3,32.4,49.2,dynasty_draft,2021,RB
69,Chuba Hubbard,CAR,89.0,38.6,61.8,363.0,168.5,261.1,3.0,1.3,2.0,17.0,5.5,10.6,155.0,34.5,85.8,1.0,0.0,0.4,0.3,2.0,1.1,75.8,29.1,46.7,dynasty_draft,2021,RB
70,Justice Hill,BAL,74.0,33.8,54.7,355.0,144.9,247.0,2.0,1.2,1.6,22.0,10.7,15.1,134.0,80.9,100.0,0.8,0.0,0.4,0.1,0.1,0.1,60.9,32.6,46.6,dynasty_draft,2021,RB
71,Cordarrelle Patterson,ATL,64.6,25.5,45.1,294.4,117.4,205.9,1.9,0.7,1.3,17.5,12.5,15.0,156.1,107.5,131.8,0.8,0.6,0.7,0.2,0.2,0.2,60.3,29.9,45.4,dynasty_draft,2021,RB
72,Salvon Ahmed,MIA,65.6,59.0,63.3,281.8,235.0,265.3,2.1,1.0,1.7,13.7,7.0,10.0,96.5,48.0,66.1,0.5,0.0,0.3,0.3,0.3,0.3,52.7,34.3,44.9,dynasty_draft,2021,RB
73,Wayne Gallman,SF,113.0,9.6,51.2,522.0,41.1,226.0,6.0,0.3,2.3,21.0,2.0,9.7,167.0,17.0,74.4,1.0,0.0,0.4,0.3,1.0,0.6,110.9,9.8,44.9,dynasty_draft,2021,RB
74,Xavier Jones,LAR,125.0,10.2,55.0,514.0,43.7,226.4,5.0,0.3,2.2,19.0,4.4,10.7,167.0,32.9,85.7,1.0,0.0,0.4,0.2,2.0,1.1,104.1,11.0,44.6,dynasty_draft,2021,RB
75,Rex Burkhead,HOU,72.0,7.8,33.2,306.0,32.7,140.2,3.0,0.2,1.3,35.0,2.1,16.7,347.0,17.6,157.8,3.0,0.2,1.2,0.1,1.0,0.6,101.3,7.0,43.9,dynasty_draft,2021,RB
76,Kyle Juszczyk,SF,17.0,9.4,13.9,60.4,40.0,52.6,1.0,0.3,0.7,35.0,12.3,21.9,406.0,120.0,231.3,5.0,0.7,2.0,0.3,1.0,0.7,81.9,21.3,43.1,dynasty_draft,2021,RB
77,DeeJay Dallas,SEA,97.0,17.6,44.0,372.0,75.8,174.9,3.0,0.5,1.4,32.0,4.2,14.5,244.0,31.0,107.1,2.0,0.0,0.8,0.1,1.0,0.6,91.6,22.0,40.2,dynasty_draft,2021,RB
78,Trayveon Williams,CIN,107.0,7.9,48.0,455.0,34.5,205.3,3.0,0.2,1.3,30.0,4.6,14.1,251.0,33.8,113.1,1.0,0.2,0.5,0.1,3.0,1.5,94.6,9.0,39.6,dynasty_draft,2021,RB
79,Kenneth Gainwell,PHI,109.0,9.6,48.1,533.0,42.5,219.7,4.0,0.2,1.5,19.0,5.7,10.9,131.0,42.2,85.4,1.0,0.0,0.4,0.1,2.0,1.1,95.4,11.4,39.6,dynasty_draft,2021,RB
80,Samaje Perine,CIN,70.9,27.0,50.8,290.2,130.0,214.8,2.0,1.0,1.5,19.1,1.0,9.1,135.3,8.0,61.7,0.6,0.0,0.2,0.0,0.2,0.1,44.7,25.8,37.5,dynasty_draft,2021,RB
81,Mike Boone,DEN,61.0,32.1,47.6,326.0,143.8,226.3,2.0,0.9,1.6,11.0,2.0,6.5,81.0,8.0,43.9,0.4,0.0,0.1,0.1,1.0,0.6,45.4,23.6,36.0,dynasty_draft,2021,RB
82,Peyton Barber,WAS,77.0,33.5,57.1,259.0,121.4,201.9,3.0,1.2,2.2,6.0,4.5,5.0,34.4,31.8,33.1,0.2,0.0,0.1,0.1,1.0,0.6,47.2,23.1,35.8,dynasty_draft,2021,RB
83,Brandon Bolden,NE,28.5,22.0,25.2,124.0,123.7,123.9,4.0,1.0,2.5,5.0,3.6,4.3,61.0,26.7,43.9,1.0,0.2,0.6,0.0,0.0,0.0,48.5,22.1,35.3,dynasty_draft,2021,RB
84,Matt Breida,BUF,92.0,25.5,45.1,413.0,115.6,198.9,2.0,0.4,1.0,24.0,3.0,10.5,189.0,26.0,83.4,1.0,0.0,0.5,0.2,2.0,1.1,78.2,18.8,35.0,dynasty_draft,2021,RB
85,Benny Snell,PIT,94.0,23.9,56.0,330.0,94.5,206.7,3.0,0.7,1.6,8.0,4.0,5.5,55.0,25.0,37.2,0.2,0.0,0.1,0.2,1.0,0.6,53.5,18.2,33.6,dynasty_draft,2021,RB
86,Tony Jones,NO,69.1,51.1,57.4,224.0,49.8,164.1,1.3,1.0,1.2,12.0,1.9,8.0,87.0,4.0,58.6,0.4,0.0,0.3,0.2,0.2,0.2,40.4,14.4,30.2,dynasty_draft,2021,RB
87,Johnny Stanton,CLE,20.0,20.0,20.0,100.0,100.0,100.0,1.0,1.0,1.0,9.0,9.0,9.0,70.0,70.0,70.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,29.0,29.0,dynasty_draft,2021,RB
88,Larry Rountree,LAC,36.8,36.8,36.8,154.8,154.8,154.8,1.4,1.4,1.4,4.6,4.6,4.6,34.9,34.9,34.9,0.2,0.2,0.2,0.2,0.2,0.2,28.0,28.0,28.1,dynasty_draft,2021,RB
89,JJ Taylor,NE,40.3,25.1,32.7,173.6,108.1,140.8,1.5,0.8,1.2,7.9,5.1,6.5,60.8,35.1,48.0,0.3,0.2,0.2,0.2,0.2,0.2,33.9,20.1,26.8,dynasty_draft,2021,RB
90,Jalen Richard,LV,34.0,11.5,23.7,149.0,52.2,103.7,1.0,0.0,0.5,25.0,9.0,13.1,185.0,76.9,104.4,1.0,0.0,0.4,0.2,1.0,0.6,34.2,16.7,25.0,dynasty_draft,2021,RB
91,Jermar Jefferson,DET,33.0,22.8,27.9,133.0,94.5,113.8,1.0,0.6,0.8,12.0,9.4,10.7,88.0,71.4,79.7,0.3,0.0,0.1,0.1,0.1,0.1,28.1,21.7,24.8,dynasty_draft,2021,RB
92,Elijah Mitchell,SF,35.0,18.6,26.8,170.0,78.3,124.1,1.0,0.6,0.8,7.4,4.0,5.7,59.1,44.0,51.5,0.3,0.0,0.2,0.0,0.1,0.1,27.4,19.1,23.3,dynasty_draft,2021,RB
93,Rico Dowdle,DAL,33.0,33.0,33.0,136.0,136.0,136.0,1.0,1.0,1.0,4.0,4.0,4.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,dynasty_draft,2021,RB
94,Jaylen Samuels,PIT,37.0,15.9,26.4,155.8,66.1,111.0,0.9,0.4,0.6,10.3,5.0,7.6,70.6,31.1,50.8,0.4,0.3,0.3,0.1,0.1,0.1,25.1,18.2,21.8,dynasty_draft,2021,RB
95,Anthony McFarland,PIT,55.0,12.3,33.3,188.1,52.9,129.0,1.2,0.0,0.6,10.0,2.4,6.2,79.0,16.1,48.9,0.3,0.0,0.1,0.2,1.0,0.6,32.8,9.4,21.0,dynasty_draft,2021,RB
96,Alex Collins,SEA,39.5,0.9,20.2,165.6,3.8,84.7,1.6,0.0,0.8,12.2,0.9,6.5,90.3,6.3,48.3,0.6,0.0,0.3,0.3,0.3,0.3,38.3,1.5,19.4,dynasty_draft,2021,RB
97,Jeremy McNichols,TEN,50.4,1.2,27.1,207.7,5.2,117.5,1.6,0.0,0.6,7.5,0.9,4.6,57.4,5.3,31.4,0.4,0.0,0.1,0.0,0.2,0.1,37.9,1.5,19.1,dynasty_draft,2021,RB
98,Jerick McKinnon,KC,27.0,17.8,21.5,128.0,73.4,95.1,0.7,0.0,0.4,9.5,4.7,6.8,74.8,34.7,48.2,0.4,0.0,0.2,0.1,0.1,0.1,21.5,16.3,18.1,dynasty_draft,2021,RB
