,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
183,Chester Rogers,TEN,3.9,3.9,3.9,38.0,38.0,38.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,5.7,dynasty_draft,2021,WR
184,Gunner Olszewski,NE,3.9,1.7,2.8,45.9,21.5,33.7,0.2,0.1,0.2,2.3,1.3,1.8,12.5,6.9,9.7,0.1,0.0,0.1,0.0,0.0,0.0,7.0,4.5,5.7,dynasty_draft,2021,WR
185,Zay Jones,LV,3.3,3.3,3.3,39.6,35.0,37.3,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.1,5.5,dynasty_draft,2021,WR
186,Trent Taylor,CIN,4.0,3.9,3.9,40.2,39.7,40.0,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,5.4,dynasty_draft,2021,WR
187,Mike Strachan,IND,2.9,2.9,2.9,37.4,37.4,37.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,dynasty_draft,2021,WR
188,Equanimeous St,GB,3.5,1.3,2.4,49.8,17.1,33.5,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2.4,4.9,dynasty_draft,2021,WR
189,Marcus Kemp,KC,4.0,0.9,2.4,51.4,9.6,30.5,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.4,4.2,dynasty_draft,2021,WR
190,Isaac Whitney,ARI,2.1,2.1,2.1,24.1,24.1,24.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,3.4,dynasty_draft,2021,WR
191,Justin Watson,TB,1.9,1.9,1.9,23.3,23.3,23.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,3.3,dynasty_draft,2021,WR
192,Terry Godwin,JAC,2.0,2.0,2.0,22.5,22.5,22.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.3,dynasty_draft,2021,WR
193,Ben Skowronek,LAR,1.9,1.9,1.9,24.5,24.5,24.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,3.2,dynasty_draft,2021,WR
194,JJ Arcega-Whiteside,PHI,1.7,1.6,1.6,23.3,23.2,23.2,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.2,dynasty_draft,2021,WR
195,Dezmon Patmon,IND,1.8,1.8,1.8,22.9,22.9,22.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,dynasty_draft,2021,WR
196,KJ Hill,LAC,2.0,0.8,1.4,24.0,9.4,16.7,0.1,0.0,0.1,2.1,0.0,1.0,12.5,0.0,6.2,0.1,0.0,0.0,0.0,0.0,0.0,4.9,1.4,2.9,dynasty_draft,2021,WR
197,Braxton Berrios,NYJ,1.8,1.2,1.5,21.3,13.6,17.5,0.1,0.0,0.1,2.1,0.0,1.0,11.5,0.0,5.7,0.1,0.0,0.0,0.0,0.0,0.0,4.2,1.9,2.9,dynasty_draft,2021,WR
198,Allen Hurns,MIA,1.6,1.6,1.6,16.7,16.7,16.7,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.8,dynasty_draft,2021,WR
