,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
62,Ian Book,NO,18.0,18.0,18.0,12.0,12.0,12.0,120.0,120.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,7.2,dynasty_draft,2021,QB
63,Chase Daniel,LAC,31.1,0.0,18.3,20.4,0.0,11.4,221.7,0.0,130.7,1.5,0.0,0.6,0.0,1.0,0.5,5.0,0.0,1.5,19.0,0.0,5.8,0.1,0.0,0.0,0.0,0.2,0.1,13.3,0.0,7.2,dynasty_draft,2021,QB
64,CJ Beathard,JAC,31.0,0.0,18.7,19.0,0.0,11.3,221.3,0.0,125.1,1.2,0.0,0.7,0.0,0.7,0.2,4.0,0.0,1.6,16.0,0.0,6.5,0.0,0.0,0.0,0.3,1.0,0.6,12.0,0.0,6.9,dynasty_draft,2021,QB
65,Joe Flacco,PHI,49.0,0.0,24.3,33.0,0.0,15.3,355.0,0.0,165.3,1.0,0.0,0.7,0.0,1.0,0.7,4.0,0.0,1.3,20.0,0.0,6.7,0.0,0.0,0.0,1.0,1.0,1.0,21.8,0.0,6.6,dynasty_draft,2021,QB
66,Chris Streveler,ARI,31.7,0.0,15.9,18.8,0.0,9.4,211.0,0.0,105.5,1.2,0.0,0.6,0.0,0.9,0.5,3.2,0.0,1.6,13.5,0.0,6.7,0.2,0.0,0.1,0.2,0.2,0.2,13.4,0.0,6.5,dynasty_draft,2021,QB
67,Blaine Gabbert,TB,27.0,0.0,16.0,16.0,0.0,9.7,183.0,0.0,110.3,1.0,0.0,0.3,0.0,0.0,0.0,4.0,0.0,1.3,16.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,6.3,dynasty_draft,2021,QB
68,Tyler Huntley,BAL,18.0,0.0,9.0,11.0,0.0,5.5,127.0,0.0,63.5,1.0,0.0,0.5,0.0,0.0,0.0,6.0,0.0,3.0,33.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,6.2,dynasty_draft,2021,QB
69,Matt Barkley,TEN,26.6,0.0,13.3,16.7,0.0,8.4,196.0,0.0,98.0,1.5,0.0,0.7,0.0,0.7,0.3,0.8,0.0,0.4,2.7,0.0,1.4,0.0,0.0,0.0,0.2,0.2,0.2,12.5,0.0,6.0,dynasty_draft,2021,QB
70,Mike Glennon,NYG,30.7,0.0,18.7,19.8,0.0,11.7,213.8,0.0,125.4,1.2,0.0,0.6,0.0,1.0,0.4,4.0,0.0,1.2,19.0,0.0,5.6,0.0,0.0,0.0,0.3,1.0,0.6,12.0,0.0,5.7,dynasty_draft,2021,QB
71,David Blough,DET,31.0,0.0,15.5,18.9,0.0,9.5,210.7,0.0,105.3,1.1,0.0,0.5,0.0,0.8,0.4,1.1,0.0,0.6,5.0,0.0,2.5,0.0,0.0,0.0,0.2,0.2,0.2,11.5,0.0,5.6,dynasty_draft,2021,QB
72,Josh Rosen,ATL,27.0,0.0,13.5,17.0,0.0,8.5,181.0,0.0,90.5,1.0,0.0,0.5,0.0,1.0,0.5,4.0,0.0,2.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,5.4,dynasty_draft,2021,QB
73,Colt McCoy,ARI,24.0,0.0,12.0,16.0,0.0,8.0,169.0,0.0,84.5,1.0,0.0,0.5,0.0,1.0,0.5,3.0,0.0,1.5,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,5.2,dynasty_draft,2021,QB
