,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,6.9,6.0,6.5,93.3,77.0,84.9,1.0,0.4,0.6,0.0,0.1,0.0,13.7,10.9,11.9,14,TE
1,Darren Waller,LV,6.9,6.0,6.4,76.7,63.3,69.1,1.0,0.5,0.6,0.0,0.1,0.1,13.1,9.2,10.3,14,TE
2,TJ Hockenson,DET,6.0,4.1,4.6,61.0,47.7,52.6,1.0,0.3,0.5,0.0,0.0,0.0,12.1,6.8,8.4,14,TE
3,Mark Andrews,BAL,6.0,3.3,4.3,65.0,41.9,52.3,1.0,0.2,0.5,0.0,0.0,0.0,12.5,7.2,8.2,14,TE
4,Robert Tonyan,GB,5.0,3.3,3.7,54.0,36.7,44.4,1.0,0.4,0.6,0.0,0.0,0.0,11.4,5.8,7.8,14,TE
5,Rob Gronkowski,TB,5.0,3.2,3.8,68.5,41.4,50.4,1.0,0.2,0.4,0.0,0.0,0.0,11.8,5.8,7.6,14,TE
6,Dallas Goedert,PHI,5.3,3.0,3.9,56.8,35.0,44.0,1.0,0.0,0.3,0.0,0.1,0.0,10.5,5.3,6.4,14,TE
7,Hunter Henry,LAC,5.0,3.3,4.2,58.0,37.5,47.9,0.4,0.0,0.3,0.0,0.1,0.0,6.8,5.3,6.4,14,TE
8,Evan Engram,NYG,5.4,3.9,4.6,61.1,44.2,50.8,0.4,0.0,0.2,0.0,0.1,0.0,7.0,5.6,6.1,14,TE
9,Eric Ebron,PIT,5.5,3.7,4.6,61.2,38.5,48.6,0.4,0.0,0.2,0.0,0.1,0.0,7.5,5.3,6.0,14,TE
10,Mike Gesicki,MIA,5.1,3.0,3.8,59.9,38.1,45.6,0.3,0.0,0.2,0.0,0.1,0.0,6.3,4.6,5.7,14,TE
11,Noah Fant,DEN,4.7,3.6,4.1,58.3,40.4,46.9,0.3,0.0,0.2,0.0,0.1,0.0,6.2,4.9,5.6,14,TE
12,Hayden Hurst,ATL,4.5,3.5,4.0,51.7,38.6,44.0,0.3,0.0,0.2,0.0,0.0,0.0,6.6,4.4,5.6,14,TE
13,Jordan Akins,HOU,4.0,2.7,3.3,46.1,31.6,37.4,1.0,0.0,0.3,0.0,0.0,0.0,10.2,4.2,5.5,14,TE
14,Logan Thomas,WAS,5.7,3.3,4.2,55.0,32.8,41.3,0.4,0.0,0.2,0.0,0.0,0.0,5.8,5.4,5.4,14,TE
15,Jordan Reed,SF,5.6,2.9,3.9,54.8,26.8,38.8,0.4,0.0,0.2,0.0,0.1,0.0,6.4,4.1,5.0,14,TE
16,Dalton Schultz,DAL,4.9,3.0,3.8,48.9,33.2,39.3,0.3,0.0,0.2,0.0,0.1,0.1,6.1,3.5,4.9,14,TE
17,Tyler Higbee,LAR,3.7,2.8,3.1,40.5,30.2,34.3,0.3,0.0,0.2,0.0,0.0,0.0,5.5,3.1,4.5,14,TE
18,Austin Hooper,CLE,4.0,2.9,3.3,40.9,28.1,34.8,0.3,0.0,0.2,0.0,0.0,0.0,5.2,3.9,4.4,14,TE
19,Trey Burton,IND,4.0,2.6,2.9,38.2,27.5,31.0,0.4,0.0,0.2,0.0,0.0,0.0,5.3,3.6,4.3,14,TE
20,Jonnu Smith,TEN,3.1,1.7,2.5,34.4,20.8,28.0,0.4,0.0,0.2,0.0,0.0,0.0,5.4,2.6,4.1,14,TE
