,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Saints,3.5,2.7,3.1,1.3,1.0,1.1,0.9,0.4,0.7,1.2,0.6,0.9,0.2,0.1,0.2,0.0,0.0,0.0,19.8,14.6,17.3,281.0,326.3,311.0,9.4,7.0,8.7,14,DST
1,Seahawks,3.4,2.7,2.9,1.4,0.8,1.1,0.8,0.4,0.6,1.2,0.8,1.0,0.3,0.1,0.2,0.1,0.1,0.1,18.6,14.1,16.5,264.0,299.9,285.4,9.1,6.6,8.4,14,DST
2,49ers,3.3,2.6,2.9,1.0,0.5,0.7,1.0,0.4,0.6,1.4,0.8,1.0,0.2,0.0,0.2,0.1,0.0,0.1,20.2,18.4,19.5,279.0,338.9,311.0,8.5,6.0,7.6,14,DST
3,Rams,3.8,2.1,2.5,1.1,0.8,0.9,0.8,0.5,0.6,1.0,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.0,19.5,16.3,18.4,292.0,314.2,306.4,7.4,5.6,7.5,14,DST
4,Buccaneers,2.9,2.3,2.5,1.2,0.7,0.9,1.0,0.6,0.7,1.4,0.9,1.1,0.2,0.1,0.2,0.1,0.0,0.1,23.4,19.2,22.2,320.0,358.8,344.3,7.5,6.3,6.9,14,DST
5,Cowboys,3.3,2.6,2.9,1.6,0.5,0.9,1.0,0.5,0.6,1.4,0.7,1.0,0.3,0.0,0.2,0.0,0.0,0.0,25.0,17.2,20.0,268.0,330.6,309.6,9.8,5.9,6.9,14,DST
6,Steelers,3.3,2.5,2.8,1.3,0.7,1.0,0.9,0.4,0.6,1.2,0.6,0.9,0.2,0.0,0.1,0.1,0.0,0.0,25.1,19.7,22.6,319.0,360.2,342.5,8.9,6.3,6.9,14,DST
7,Team,3.1,2.2,2.6,1.5,0.8,1.1,0.6,0.5,0.6,1.2,0.9,1.0,0.2,0.0,0.1,0.0,0.0,0.0,25.1,21.2,23.1,322.0,368.2,347.9,8.5,6.2,6.7,14,DST
8,Cardinals,3.0,2.4,2.7,1.0,0.8,0.9,0.8,0.3,0.6,1.2,0.5,1.0,0.2,0.0,0.2,0.0,0.0,0.0,23.1,20.6,21.8,302.0,335.4,319.3,7.6,5.8,6.6,14,DST
9,Packers,3.2,2.6,2.9,1.3,0.7,0.9,0.7,0.4,0.5,0.7,0.6,0.7,0.2,0.0,0.1,0.0,0.0,0.0,24.3,21.2,22.7,353.6,356.0,354.6,7.5,5.9,6.6,14,DST
10,Panthers,3.2,1.5,2.1,1.5,0.8,1.0,0.9,0.5,0.7,1.2,0.9,1.0,0.2,0.1,0.2,0.1,0.0,0.0,21.8,17.9,20.2,313.0,362.4,338.6,7.7,6.2,6.6,14,DST
11,Bears,3.2,2.5,2.8,1.0,0.7,0.8,0.7,0.5,0.6,0.9,0.8,0.8,0.2,0.1,0.2,0.1,0.0,0.0,24.0,19.2,20.6,348.0,372.0,359.3,7.2,6.4,6.5,14,DST
12,Chiefs,3.0,2.2,2.6,1.1,0.6,0.8,0.7,0.5,0.6,1.0,0.7,0.9,0.2,0.1,0.2,0.0,0.0,0.0,22.2,20.7,21.6,322.0,331.7,327.5,6.9,5.8,6.4,14,DST
13,Texans,3.4,2.3,2.6,1.0,0.7,0.8,0.7,0.5,0.6,0.9,0.8,0.8,0.2,0.1,0.2,0.0,0.0,0.0,23.9,20.1,22.1,303.0,369.1,335.2,7.0,6.2,6.4,14,DST
14,Giants,3.1,2.0,2.4,1.0,0.8,0.9,0.8,0.4,0.6,1.0,0.8,0.9,0.2,0.0,0.1,0.0,0.0,0.0,24.3,22.2,23.1,354.0,375.0,367.8,7.1,5.6,6.3,14,DST
15,Jets,3.2,2.3,2.8,1.0,0.6,0.7,0.7,0.3,0.6,1.0,0.6,0.8,0.2,0.0,0.1,0.1,0.0,0.1,30.0,23.9,27.3,369.0,390.1,380.6,6.9,4.6,6.2,14,DST
16,Browns,3.0,2.2,2.5,0.9,0.6,0.7,0.8,0.5,0.7,1.1,0.9,1.0,0.2,0.0,0.1,0.0,0.0,0.0,25.0,21.2,23.2,342.0,345.2,343.1,7.1,5.7,6.2,14,DST
17,Titans,3.1,1.6,2.3,1.1,0.7,0.9,0.8,0.4,0.5,1.0,0.5,0.7,0.2,0.0,0.2,0.0,0.0,0.0,22.5,19.2,20.8,328.0,354.4,342.0,6.9,5.9,6.2,14,DST
18,Colts,2.8,2.0,2.2,1.0,0.6,0.7,1.2,0.5,0.7,1.6,0.8,1.1,0.2,0.0,0.2,0.1,0.0,0.0,25.2,20.9,23.4,337.0,361.7,347.3,6.9,5.6,6.2,14,DST
19,Ravens,2.5,1.6,2.1,1.0,0.7,0.9,0.9,0.4,0.7,1.2,0.9,1.1,0.2,0.0,0.2,0.1,0.0,0.0,23.5,19.1,21.0,335.0,350.2,342.2,6.9,6.1,6.1,14,DST
20,Falcons,3.1,1.8,2.4,0.9,0.7,0.8,0.9,0.4,0.6,1.3,0.8,1.0,0.2,0.1,0.2,0.0,0.0,0.0,24.1,22.6,23.6,387.2,409.8,401.3,6.8,5.8,6.1,14,DST
21,Bengals,2.8,1.6,2.3,1.3,0.6,0.9,0.7,0.3,0.5,1.0,0.4,0.7,0.2,0.0,0.2,0.1,0.0,0.0,25.7,19.3,22.1,344.5,403.0,369.3,6.8,6.2,6.1,14,DST
22,Eagles,3.0,2.1,2.7,0.9,0.4,0.7,0.8,0.4,0.6,1.0,0.7,0.8,0.2,0.1,0.1,0.1,0.0,0.0,24.8,21.9,23.5,328.0,357.0,338.9,7.4,5.1,6.0,14,DST
23,Bills,3.0,1.7,2.1,0.9,0.7,0.8,0.9,0.5,0.6,1.3,0.8,1.0,0.2,0.0,0.1,0.1,0.0,0.1,23.3,20.1,21.8,306.0,386.3,359.0,6.2,5.9,6.0,14,DST
24,Broncos,3.4,2.1,2.5,1.0,0.7,0.8,0.6,0.4,0.5,0.7,0.7,0.7,0.2,0.1,0.1,0.0,0.0,0.0,24.9,21.4,22.9,321.0,350.5,334.7,6.8,5.3,5.9,14,DST
25,Chargers,2.8,2.3,2.5,0.9,0.6,0.7,0.5,0.4,0.4,0.7,0.4,0.6,0.2,0.0,0.1,0.0,0.0,0.0,26.7,19.2,23.6,364.7,376.8,368.8,6.4,5.5,5.7,14,DST
26,Patriots,2.5,1.4,1.8,1.1,0.8,0.9,0.8,0.4,0.5,1.1,0.6,0.8,0.2,0.0,0.1,0.1,0.0,0.0,24.0,18.9,22.3,378.7,386.9,383.2,6.4,5.4,5.6,14,DST
27,Raiders,2.5,0.9,1.8,1.0,0.7,0.9,0.6,0.4,0.5,1.0,0.8,0.9,0.2,0.0,0.1,0.1,0.0,0.0,28.8,20.9,24.9,370.4,382.0,374.6,5.8,4.8,5.6,14,DST
28,Vikings,3.1,1.5,2.0,1.0,0.5,0.8,0.8,0.4,0.6,1.1,0.6,0.8,0.2,0.0,0.1,0.0,0.0,0.0,29.8,20.5,25.9,363.9,378.9,368.9,6.2,3.6,5.5,14,DST
29,Dolphins,2.7,1.4,2.0,0.9,0.5,0.7,0.6,0.4,0.5,0.9,0.6,0.8,0.2,0.0,0.1,0.0,0.0,0.0,28.8,22.2,25.4,394.4,423.0,409.6,6.0,3.9,5.2,14,DST
30,Jaguars,2.4,1.7,2.0,0.8,0.6,0.6,0.6,0.3,0.5,0.7,0.5,0.6,0.2,0.0,0.1,0.0,0.0,0.0,30.4,24.3,27.6,373.8,409.1,392.3,6.1,3.8,5.0,14,DST
31,Lions,2.7,1.2,1.9,0.7,0.4,0.5,0.7,0.3,0.5,0.9,0.6,0.8,0.2,0.0,0.1,0.0,0.0,0.0,31.5,23.6,27.8,388.6,410.0,401.3,5.7,2.3,4.7,14,DST
