,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,39.7,35.7,37.4,27.0,23.8,25.3,326.0,296.6,314.1,3.0,2.0,2.3,0.0,0.9,0.5,4.4,3.0,3.8,19.5,16.0,17.8,0.2,0.0,0.2,0.0,0.2,0.1,29.4,21.7,23.1,14,QB
1,Russell Wilson,SEA,36.2,33.0,34.0,25.0,22.0,23.8,299.9,268.8,284.0,2.6,2.0,2.3,0.0,0.8,0.5,6.0,5.2,5.4,33.3,26.8,29.5,0.2,0.0,0.1,0.1,0.3,0.2,25.4,22.0,22.7,14,QB
2,Aaron Rodgers,GB,41.0,34.6,37.1,28.0,22.6,24.8,321.0,277.5,298.4,3.1,2.0,2.4,0.0,0.6,0.4,3.5,2.0,2.5,17.6,7.1,11.0,0.1,0.0,0.1,0.1,0.2,0.2,23.9,21.0,22.0,14,QB
3,Deshaun Watson,HOU,38.0,32.1,35.1,24.1,21.5,23.0,285.7,259.6,272.6,2.0,1.5,1.7,0.7,1.0,0.8,7.4,5.0,6.1,34.7,27.0,32.1,0.4,0.0,0.2,0.0,0.3,0.1,24.6,20.0,20.4,14,QB
4,Kyler Murray,ARI,35.9,32.0,34.2,24.3,22.0,22.9,260.3,231.0,248.2,2.0,1.3,1.6,0.8,1.0,0.9,8.3,6.0,7.1,46.5,34.0,38.9,0.5,0.0,0.4,0.1,0.3,0.2,23.0,19.9,20.3,14,QB
5,Justin Herbert,LAC,41.8,36.4,39.5,27.1,24.7,26.3,323.0,283.5,301.9,2.2,1.7,1.9,0.7,1.0,0.8,3.8,2.0,3.1,15.6,11.0,13.7,0.3,0.0,0.2,0.1,0.3,0.1,24.5,18.9,20.2,14,QB
6,Lamar Jackson,BAL,29.3,24.7,27.0,18.8,15.8,17.1,235.0,187.0,203.6,2.0,1.1,1.5,0.5,1.0,0.7,11.6,8.0,10.0,72.4,47.5,58.1,0.5,0.0,0.3,0.1,0.3,0.3,24.8,19.9,20.0,14,QB
7,Josh Allen,BUF,36.1,31.5,34.3,23.8,19.1,21.9,268.0,223.0,252.1,2.0,1.3,1.7,0.7,1.3,0.9,7.8,4.9,6.8,41.1,19.2,32.9,0.5,0.0,0.3,0.2,0.3,0.3,24.4,17.8,19.9,14,QB
8,Ryan Tannehill,TEN,33.1,27.4,30.3,22.0,17.7,20.3,288.0,227.4,262.8,2.5,1.8,2.1,0.0,0.7,0.5,3.6,2.5,3.0,15.9,10.0,12.8,0.2,0.0,0.1,0.0,0.2,0.1,22.6,18.3,19.6,14,QB
9,Tom Brady,TB,40.3,37.0,38.7,26.0,24.6,25.2,305.0,272.4,287.1,2.3,1.9,2.1,0.0,0.9,0.6,2.0,0.0,1.3,2.8,0.0,1.4,0.2,0.0,0.1,0.0,0.2,0.1,23.3,17.8,19.1,14,QB
10,Taysom Hill,NO,30.7,10.5,24.5,19.8,6.3,15.8,214.0,100.2,182.5,1.5,0.4,1.0,0.2,1.0,0.7,12.5,6.1,8.8,63.9,39.0,49.4,1.6,0.4,0.7,0.2,0.6,0.3,25.2,16.1,18.9,14,QB
11,Ben Roethlisberger,PIT,45.4,37.4,39.4,29.7,24.6,26.2,320.7,234.0,283.1,2.1,1.6,1.8,0.7,1.0,0.9,1.8,0.0,1.2,4.0,0.0,1.9,0.1,0.0,0.0,0.0,0.3,0.1,23.1,14.6,17.2,14,QB
12,Philip Rivers,IND,36.6,35.0,35.9,24.3,22.9,23.6,287.3,267.8,277.7,2.1,1.5,1.9,0.0,1.0,0.8,1.5,0.0,1.0,2.5,0.0,1.4,0.0,0.0,0.0,0.0,0.2,0.1,22.1,15.1,17.1,14,QB
13,Matt Ryan,ATL,39.8,32.0,36.3,26.4,21.0,23.7,283.0,264.0,273.1,2.0,1.5,1.8,0.6,1.0,0.7,2.5,1.0,1.7,8.7,2.0,5.9,0.1,0.0,0.0,0.1,0.2,0.2,21.4,16.4,17.1,14,QB
14,Matthew Stafford,DET,37.0,35.4,36.1,25.0,22.0,23.4,277.0,254.9,270.0,2.0,1.7,1.8,0.7,1.0,0.8,2.3,1.9,2.0,9.0,4.0,6.9,0.1,0.0,0.0,0.1,0.3,0.2,22.3,16.2,16.9,14,QB
15,Derek Carr,LV,34.7,32.0,33.2,23.8,21.3,22.7,263.3,244.6,256.8,2.0,1.6,1.8,0.6,1.0,0.7,3.0,2.1,2.4,12.3,5.0,7.5,0.1,0.0,0.1,0.1,0.5,0.3,21.6,16.4,16.7,14,QB
16,Jared Goff,LAR,37.5,33.0,35.7,24.7,21.0,23.3,295.1,257.0,276.1,2.0,1.3,1.6,0.8,1.1,0.9,3.5,2.0,2.8,13.2,4.0,7.3,0.2,0.0,0.1,0.1,0.3,0.2,21.3,16.1,16.6,14,QB
