,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Justin Herbert,LAC,QB,6800.0,Justin Herbert (15904806),20.115000000000002,24.345999999999997,27.279999999999998
1,Matt Ryan,ATL,QB,5700.0,Matt Ryan (15904815),16.76,19.469,22.24
2,Aaron Rodgers,GB,QB,7500.0,Aaron Rodgers (15904803),20.885,25.556000000000004,30.500000000000004
0,Austin Ekeler,LAC,RB,7000.0,Austin Ekeler (15904885),14.310000000000002,19.370000000000005,27.3
1,JD McKissic,WAS,RB,4900.0,J.D. McKissic (15904941),8.81,13.13,19.07
2,Duke Johnson,HOU,RB,4800.0,Duke Johnson (15904949),7.49,12.780000000000001,19.86
3,Mike Davis,CAR,RB,6400.0,Mike Davis (15904899),11.860000000000001,16.85,25.1
4,Derrick Henry,TEN,RB,8700.0,Derrick Henry (15904877),16.795,22.599999999999998,27.65
5,Melvin Gordon,DEN,RB,5200.0,Melvin Gordon III (15904933),10.060000000000002,13.260000000000002,19.520000000000003
6,Aaron Jones,GB,RB,7600.0,Aaron Jones (15904879),15.34,19.38,22.560000000000002
7,Wayne Gallman,NYG,RB,5700.0,Wayne Gallman Jr. (15904917),10.22,14.45,20.559999999999995
8,James Robinson,JAC,RB,7500.0,James Robinson (15904881),16.18,18.95,23.57
9,Kenyan Drake,ARI,RB,5500.0,Kenyan Drake (15904921),9.82,13.68,19.200000000000003
0,Tim Patrick,DEN,WR,4200.0,Tim Patrick (15905233),8.52,12.33,19.3
1,Davante Adams,GB,WR,9300.0,Davante Adams (15905135),24.124999999999996,27.28,30.400000000000002
2,Breshad Perriman,NYJ,WR,3900.0,Breshad Perriman (15905245),8.84,11.07,14.8
3,Corey Davis,TEN,WR,5700.0,Corey Davis (15905181),12.850000000000001,15.67,20.699999999999996
4,Robby Anderson,CAR,WR,6200.0,Robby Anderson (15905171),14.750000000000002,16.93,24.0
5,Brandin Cooks,HOU,WR,6100.0,Brandin Cooks (15905175),13.97,16.52,22.5
6,Michael Gallup,DAL,WR,3800.0,Michael Gallup (15905255),7.1000000000000005,10.170000000000002,12.68
7,DJ Chark,JAC,WR,5300.0,DJ Chark Jr. (15905191),12.3,14.05,17.8
8,Tyreek Hill,KC,WR,8500.0,Tyreek Hill (15905137),17.75,21.975,25.9
9,Adam Thielen,MIN,WR,7000.0,Adam Thielen (15905155),14.930000000000001,18.04,22.75
0,Jordan Akins,HOU,TE,2900.0,Jordan Akins (15905557),5.86,8.84,14.61
1,Logan Thomas,WAS,TE,3300.0,Logan Thomas (15905539),6.58,9.530000000000001,13.6
2,Robert Tonyan,GB,TE,4200.0,Robert Tonyan (15905517),9.370000000000001,11.74,16.4
0,Cowboys,DAL,DST,2400.0,Cowboys  (15905751),5.0,7.1000000000000005,9.585714285714287
1,Seahawks,SEA,DST,3000.0,Seahawks  (15905738),6.742857142857144,8.2,9.999999999999996
2,Bengals,CIN,DST,2300.0,Bengals  (15905754),3.5,6.0,7.385714285714285
