,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Derrick Henry,TEN,26.1,19.2,23.0,122.2,90.5,110.0,1.4,0.7,1.0,2.0,1.2,1.5,15.3,9.7,12.0,0.1,0.0,0.0,0.1,0.2,0.1,22.3,14.6,18.5,14,RB
1,Dalvin Cook,MIN,21.5,16.0,19.5,95.3,76.8,85.0,1.0,0.6,0.8,5.0,3.5,3.8,38.0,30.5,32.1,0.2,0.0,0.1,0.1,0.2,0.2,18.1,16.4,16.8,14,RB
2,Aaron Jones,GB,15.6,12.9,14.5,76.6,62.6,70.4,1.0,0.6,0.8,4.0,3.2,3.6,31.0,24.8,28.4,0.3,0.0,0.2,0.0,0.2,0.1,16.8,13.5,15.7,14,RB
3,James Robinson,JAC,22.0,16.9,18.8,85.0,73.5,80.4,1.0,0.6,0.7,4.1,3.0,3.5,30.2,24.3,26.5,0.2,0.0,0.1,0.0,0.2,0.1,17.1,14.2,15.3,14,RB
4,Austin Ekeler,LAC,15.0,7.6,11.8,64.0,45.6,54.6,0.4,0.0,0.2,7.0,4.4,5.4,55.0,43.5,50.1,1.0,0.2,0.4,0.0,0.2,0.1,17.9,12.5,14.1,14,RB
5,Chris Carson,SEA,20.0,13.3,16.3,93.0,54.3,70.1,1.0,0.4,0.6,3.4,2.0,2.7,26.9,15.0,21.2,0.3,0.0,0.2,0.1,0.2,0.1,16.8,11.6,13.5,14,RB
6,Alvin Kamara,NO,14.2,10.1,13.0,67.0,50.0,59.0,1.0,0.4,0.6,5.1,2.0,3.7,45.5,15.0,32.0,0.2,0.0,0.1,0.0,0.2,0.1,14.2,13.1,13.5,14,RB
7,Nick Chubb,CLE,20.0,14.5,16.9,94.0,77.1,86.1,1.0,0.5,0.6,2.2,1.0,1.3,14.1,6.0,9.5,0.1,0.0,0.0,0.1,0.2,0.1,16.0,12.3,13.4,14,RB
8,David Montgomery,CHI,18.1,14.2,16.2,80.7,57.2,68.7,1.0,0.4,0.6,3.3,2.5,2.8,27.3,19.1,23.4,0.2,0.0,0.1,0.1,0.2,0.1,15.3,11.2,13.2,14,RB
9,Ezekiel Elliott,DAL,19.4,18.0,18.6,82.3,63.0,76.8,1.0,0.4,0.6,2.9,2.0,2.6,24.7,16.9,20.0,0.1,0.0,0.1,0.1,0.3,0.2,14.9,11.6,13.1,14,RB
10,Mike Davis,CAR,20.0,11.2,15.4,88.0,45.2,63.0,1.0,0.2,0.5,4.9,3.9,4.2,31.0,24.4,28.5,0.2,0.0,0.1,0.1,0.2,0.1,17.9,11.2,12.8,14,RB
11,Ronald Jones,TB,16.0,12.7,14.6,71.0,59.2,66.0,1.0,0.4,0.6,3.0,1.5,2.1,22.2,10.3,16.9,0.1,0.0,0.1,0.0,0.2,0.1,15.3,10.9,12.2,14,RB
12,Wayne Gallman,NYG,19.0,11.8,14.7,81.0,57.2,64.8,1.0,0.5,0.7,3.3,1.0,2.0,19.1,7.0,12.7,0.2,0.0,0.1,0.1,0.2,0.1,14.8,10.7,11.8,14,RB
13,Kenyan Drake,ARI,16.2,12.0,14.0,72.8,54.6,62.2,1.0,0.4,0.6,3.0,1.2,1.9,24.2,8.6,14.6,0.1,0.0,0.1,0.1,0.1,0.1,12.9,9.3,11.4,14,RB
14,Jonathan Taylor,IND,15.7,11.9,13.5,70.0,45.4,56.5,1.0,0.4,0.6,3.3,1.9,2.3,30.1,16.2,20.8,0.1,0.0,0.1,0.1,0.1,0.1,15.0,9.0,11.4,14,RB
15,James Conner,PIT,16.3,10.6,13.3,72.0,47.7,57.9,1.0,0.4,0.6,4.2,2.0,2.6,22.7,13.0,18.0,0.1,0.0,0.1,0.1,0.2,0.1,13.1,9.6,11.1,14,RB
16,Melvin Gordon,DEN,18.0,11.4,14.3,71.0,55.3,61.0,1.0,0.3,0.5,3.5,1.8,2.2,24.2,11.3,15.6,0.1,0.0,0.1,0.1,0.2,0.2,14.7,9.0,11.0,14,RB
17,Raheem Mostert,SF,15.8,10.6,13.1,76.2,49.0,61.6,1.0,0.3,0.5,2.4,1.3,1.8,17.1,10.9,14.1,0.1,0.0,0.1,0.1,0.2,0.1,14.0,8.3,11.0,14,RB
18,D'Andre Swift,DET,14.0,5.4,10.1,65.0,25.6,45.3,1.0,0.1,0.4,3.5,2.3,2.9,34.8,13.9,25.4,0.2,0.0,0.1,0.0,0.1,0.1,14.8,8.7,10.1,14,RB
19,JK Dobbins,BAL,14.0,8.0,11.1,89.9,43.3,59.2,1.0,0.0,0.4,2.8,1.4,1.9,24.4,9.8,14.1,0.1,0.0,0.0,0.0,0.1,0.0,13.4,7.9,9.9,14,RB
20,Giovani Bernard,CIN,14.7,8.6,12.0,60.0,35.9,48.8,0.4,0.0,0.3,3.4,2.0,2.8,34.6,13.0,22.8,0.1,0.0,0.1,0.0,0.2,0.1,11.3,5.7,9.3,14,RB
21,Josh Jacobs,LV,16.5,8.2,12.5,64.9,27.1,49.3,1.0,0.0,0.5,3.0,1.1,2.0,18.0,4.8,13.2,0.1,0.0,0.0,0.1,0.2,0.1,14.0,6.7,9.3,14,RB
22,Duke Johnson,HOU,13.0,4.8,9.7,55.0,21.9,40.1,1.0,0.0,0.3,3.8,3.0,3.5,34.6,24.0,29.7,0.2,0.0,0.1,0.1,0.1,0.1,13.9,8.4,9.2,14,RB
23,Clyde Edwards-Helaire,KC,15.7,9.6,12.0,68.7,45.5,51.2,0.4,0.0,0.3,3.0,1.8,2.5,23.4,14.7,20.5,0.1,0.0,0.1,0.0,0.1,0.0,10.0,7.1,9.2,14,RB
24,Damien Harris,NE,19.0,12.4,15.0,73.5,50.2,62.6,1.0,0.1,0.4,1.0,0.2,0.7,6.5,1.9,4.5,0.0,0.0,0.0,0.0,0.2,0.1,13.6,7.4,9.0,14,RB
