,Player,Salary,Position
18,Antonio Gibson,6700.0,RB
47,Julio Jones,6600.0,WR
19,Alexander Mattison,6400.0,RB
0,Drew Brees,6100.0,QB
48,Kenny Golladay,6000.0,WR
20,Joe Mixon,5900.0,RB
21,Myles Gaskin,5600.0,RB
49,DJ Moore,5600.0,WR
88,George Kittle,5400.0,TE
22,David Johnson,5200.0,RB
1,PJ Walker,5100.0,QB
2,Jimmy Garoppolo,5000.0,QB
3,Chris Streveler,4900.0,QB
4,Ben DiNucci,4800.0,QB
23,Salvon Ahmed,4800.0,RB
5,Jeff Driskel,4600.0,QB
6,Will Grier,4400.0,QB
50,Denzel Mims,4100.0,WR
37,Saquon Barkley,4000.0,RB
38,Matt Breida,4000.0,RB
39,Rashaad Penny,4000.0,RB
34,TJ Logan,4000.0,RB
40,La'Mical Perine,4000.0,RB
36,DJ Foster,4000.0,RB
43,Austin Walter,4000.0,RB
41,Marlon Mack,4000.0,RB
42,Bryce Love,4000.0,RB
32,Reggie Bonnafon,4000.0,RB
44,JaMycal Hasty,4000.0,RB
45,Jason Huntley,4000.0,RB
46,Ty Montgomery,4000.0,RB
33,Jeremy Cox,4000.0,RB
35,Jonathan Ward,4000.0,RB
31,Rodney Smith,4000.0,RB
8,Josh McCown,4000.0,QB
9,Ryan Griffin,4000.0,QB
10,Clayton Thorson,4000.0,QB
11,Dak Prescott,4000.0,QB
12,Joe Burrow,4000.0,QB
13,James Morgan,4000.0,QB
14,Nathan Peterman,4000.0,QB
15,Kyle Allen,4000.0,QB
16,Trevor Siemian,4000.0,QB
17,Easton Stick,4000.0,QB
24,Tyler Ervin,4000.0,RB
25,Patrick Taylor,4000.0,RB
26,Jason Cabinda,4000.0,RB
27,Ryquell Armstead,4000.0,RB
28,Senorise Perry,4000.0,RB
29,Artavis Pierce,4000.0,RB
7,Jordan Love,4000.0,QB
30,Tarik Cohen,4000.0,RB
51,Preston Williams,3800.0,WR
52,Adam Humphries,3300.0,WR
87,Olamide Zaccheaus,3000.0,WR
79,Emanuel Hall,3000.0,WR
73,Dezmon Patmon,3000.0,WR
74,Parris Campbell,3000.0,WR
75,Robert Foster,3000.0,WR
76,Jeff Badet,3000.0,WR
77,Antonio Gandy-Golden,3000.0,WR
78,Kelvin Harmon,3000.0,WR
80,Jalen Hurd,3000.0,WR
86,Bennie Fowler,3000.0,WR
81,Chris Thompson,3000.0,WR
82,JJ Arcega-Whiteside,3000.0,WR
83,Quez Watkins,3000.0,WR
71,Phillip Dorsett,3000.0,WR
84,DeSean Jackson,3000.0,WR
85,Marquez Callaway,3000.0,WR
72,Tyrell Williams,3000.0,WR
58,Isaiah Coulter,3000.0,WR
70,Josh Gordon,3000.0,WR
61,Courtland Sutton,3000.0,WR
69,John Ross,3000.0,WR
53,Tavon Austin,3000.0,WR
55,Cameron Batson,3000.0,WR
56,Will Fuller,3000.0,WR
57,Dwayne Harris,3000.0,WR
59,Randall Cobb,3000.0,WR
60,Omar Bayless,3000.0,WR
54,Dede Westbrook,3000.0,WR
62,Jaydon Mickens,3000.0,WR
64,David Sills,3000.0,WR
65,Cody Core,3000.0,WR
66,Byron Pringle,3000.0,WR
67,Stanley Morgan,3000.0,WR
63,John Franklin,3000.0,WR
68,Auden Tate,3000.0,WR
89,Jace Sternberger,2700.0,TE
110,Nick O'Leary,2500.0,TE
105,CJ Uzomah,2500.0,TE
106,Clark Harris,2500.0,TE
107,Greg Olsen,2500.0,TE
108,Tyler Ott,2500.0,TE
109,Ross Travis,2500.0,TE
113,Thaddeus Moss,2500.0,TE
111,Noah Togiai,2500.0,TE
112,Temarrick Hemingway,2500.0,TE
114,Joshua Perkins,2500.0,TE
115,Garrett Griffin,2500.0,TE
103,James Winchester,2500.0,TE
104,Blake Jarwin,2500.0,TE
94,Ben Ellefson,2500.0,TE
102,Darrell Daniels,2500.0,TE
101,Andrew DePaola,2500.0,TE
100,OJ Howard,2500.0,TE
99,Austin Fort,2500.0,TE
98,Albert Okwuegbunam,2500.0,TE
97,Patrick Scales,2500.0,TE
96,Darion Clark,2500.0,TE
95,Josh Oliver,2500.0,TE
93,Tyler Davis,2500.0,TE
92,John Lovett,2500.0,TE
91,Josiah Deguara,2500.0,TE
90,Dominique Dafney,2500.0,TE
116,Zach Wood,2500.0,TE
